CALENDAR_YEAR,LOCATION_DESCR,Average
2011 Total,CJTS Administration,12.4
2012 Total,CJTS Administration,12.2
2013 Total,CJTS Administration,10.3
2014 Total,CJTS Administration,10.5
2015 Total,CJTS Administration,11
2011 Total,CJTS Fiscal Services,6.9
2012 Total,CJTS Fiscal Services,1
2013 Total,CJTS Fiscal Services,1
2014 Total,CJTS Fiscal Services,1
2011 Total,CJTS Education,57.3
2012 Total,CJTS Education,55
2013 Total,CJTS Education,54.2
2014 Total,CJTS Education,59.8
2015 Total,CJTS Education,58.8
2011 Total,CJTS Food Service,11.7
2012 Total,CJTS Food Service,12.8
2013 Total,CJTS Food Service,13
2014 Total,CJTS Food Service,11.2
2015 Total,CJTS Food Service,10.5
2011 Total,CJTS Repair and Maint.,8.8
2012 Total,CJTS Repair and Maint.,7.8
2013 Total,CJTS Repair and Maint.,7
2014 Total,CJTS Repair and Maint.,6.8
2015 Total,CJTS Repair and Maint.,5.1
2011 Total,CJTS Housekeeping,9
2012 Total,CJTS Housekeeping,7.8
2013 Total,CJTS Housekeeping,7.6
2014 Total,CJTS Housekeeping,7.4
2015 Total,CJTS Housekeeping,7.6
2011 Total,CJTS Security,9.9
2012 Total,CJTS Security,9.3
2013 Total,CJTS Security,9.4
2014 Total,CJTS Security,9.5
2015 Total,CJTS Security,10.6
2011 Total,CJTS Med and Dental,20.3
2012 Total,CJTS Med and Dental,21.9
2013 Total,CJTS Med and Dental,21.9
2014 Total,CJTS Med and Dental,20
2015 Total,CJTS Med and Dental,20.6
2011 Total,CJTS Facility Treat,19.1
2012 Total,CJTS Facility Treat,17.3
2013 Total,CJTS Facility Treat,19.5
2014 Total,CJTS Facility Treat,18.9
2015 Total,CJTS Facility Treat,19.6
2011 Total,CJTS Custody,136.6
2012 Total,CJTS Custody,132.7
2013 Total,CJTS Custody,135.6
2014 Total,CJTS Custody,134.7
2015 Total,CJTS Custody,141.3
2011 Total,CJTS Recreation,11.6
2012 Total,CJTS Recreation,10.4
2013 Total,CJTS Recreation,10.9
2014 Total,CJTS Recreation,10.3
2015 Total,CJTS Recreation,10.3
2011 Total,CJTS Religion,1
2012 Total,CJTS Religion,1
2013 Total,CJTS Religion,1
2011 Total,CJTS Parole Services,33.7
2012 Total,CJTS Parole Services,4.3
2013 Total,CJTS Parole Services,1
2014 Total,CJTS Parole Services,1
2013 Total,CJTS Girls Unit,1
2014 Total,CJTS Girls Unit,31.2
2015 Total,CJTS Girls Unit,35.4
