textbox9,textbox2,Textbox34
Nationality(s): All Nationalities,State(s): Connecticut,Data prior to 2002 was migrated into WRAPS from a legacy system therefore we are providing post-2002 data.

Textbox87,Textbox82,nat_definition4,region_name_3,textbox37,Category3,textbox39,Assur_DestinationCity1,Cases3,Cases4
From: 01 Jan 2010,To: 17 Nov 2015,Connecticut,CY 2010,514,Afghanistan,23,Bridgeport,0,514
From: 01 Jan 2010,To: 17 Nov 2015,Connecticut,CY 2011,375,Afghanistan,8,Bridgeport,1,375
From: 01 Jan 2010,To: 17 Nov 2015,Connecticut,CY 2012,509,Afghanistan,14,Bridgeport,0,509
From: 01 Jan 2010,To: 17 Nov 2015,Connecticut,CY 2013,547,Afghanistan,13,Bridgeport,0,547
From: 01 Jan 2010,To: 17 Nov 2015,Connecticut,CY 2014,534,Afghanistan,4,Bridgeport,0,534
From: 01 Jan 2010,To: 17 Nov 2015,Connecticut,CY 2015,453,Afghanistan,11,Bridgeport,0,453
From: 01 Jan 2010,To: 17 Nov 2015,Connecticut,CY 2010,514,Afghanistan,23,Clinton,0,514
From: 01 Jan 2010,To: 17 Nov 2015,Connecticut,CY 2011,375,Afghanistan,8,Clinton,0,375
From: 01 Jan 2010,To: 17 Nov 2015,Connecticut,CY 2012,509,Afghanistan,14,Clinton,4,509
From: 01 Jan 2010,To: 17 Nov 2015,Connecticut,CY 2013,547,Afghanistan,13,Clinton,0,547
From: 01 Jan 2010,To: 17 Nov 2015,Connecticut,CY 2014,534,Afghanistan,4,Clinton,0,534
From: 01 Jan 2010,To: 17 Nov 2015,Connecticut,CY 2015,453,Afghanistan,11,Clinton,0,453
From: 01 Jan 2010,To: 17 Nov 2015,Connecticut,CY 2010,514,Afghanistan,23,Hamden,7,514
From: 01 Jan 2010,To: 17 Nov 2015,Connecticut,CY 2011,375,Afghanistan,8,Hamden,0,375
From: 01 Jan 2010,To: 17 Nov 2015,Connecticut,CY 2012,509,Afghanistan,14,Hamden,0,509
From: 01 Jan 2010,To: 17 Nov 2015,Connecticut,CY 2013,547,Afghanistan,13,Hamden,0,547
From: 01 Jan 2010,To: 17 Nov 2015,Connecticut,CY 2014,534,Afghanistan,4,Hamden,0,534
From: 01 Jan 2010,To: 17 Nov 2015,Connecticut,CY 2015,453,Afghanistan,11,Hamden,0,453
From: 01 Jan 2010,To: 17 Nov 2015,Connecticut,CY 2010,514,Afghanistan,23,Hartford,0,514
From: 01 Jan 2010,To: 17 Nov 2015,Connecticut,CY 2011,375,Afghanistan,8,Hartford,0,375
From: 01 Jan 2010,To: 17 Nov 2015,Connecticut,CY 2012,509,Afghanistan,14,Hartford,0,509
From: 01 Jan 2010,To: 17 Nov 2015,Connecticut,CY 2013,547,Afghanistan,13,Hartford,0,547
From: 01 Jan 2010,To: 17 Nov 2015,Connecticut,CY 2014,534,Afghanistan,4,Hartford,1,534
From: 01 Jan 2010,To: 17 Nov 2015,Connecticut,CY 2015,453,Afghanistan,11,Hartford,7,453
From: 01 Jan 2010,To: 17 Nov 2015,Connecticut,CY 2010,514,Afghanistan,23,New Haven,16,514
From: 01 Jan 2010,To: 17 Nov 2015,Connecticut,CY 2011,375,Afghanistan,8,New Haven,7,375
From: 01 Jan 2010,To: 17 Nov 2015,Connecticut,CY 2012,509,Afghanistan,14,New Haven,10,509
From: 01 Jan 2010,To: 17 Nov 2015,Connecticut,CY 2013,547,Afghanistan,13,New Haven,13,547
From: 01 Jan 2010,To: 17 Nov 2015,Connecticut,CY 2014,534,Afghanistan,4,New Haven,3,534
From: 01 Jan 2010,To: 17 Nov 2015,Connecticut,CY 2015,453,Afghanistan,11,New Haven,4,453
From: 01 Jan 2010,To: 17 Nov 2015,Connecticut,CY 2010,514,Algeria,2,New Haven,2,514
From: 01 Jan 2010,To: 17 Nov 2015,Connecticut,CY 2011,375,Algeria,0,New Haven,0,375
From: 01 Jan 2010,To: 17 Nov 2015,Connecticut,CY 2012,509,Algeria,0,New Haven,0,509
From: 01 Jan 2010,To: 17 Nov 2015,Connecticut,CY 2013,547,Algeria,0,New Haven,0,547
From: 01 Jan 2010,To: 17 Nov 2015,Connecticut,CY 2014,534,Algeria,0,New Haven,0,534
From: 01 Jan 2010,To: 17 Nov 2015,Connecticut,CY 2015,453,Algeria,0,New Haven,0,453
From: 01 Jan 2010,To: 17 Nov 2015,Connecticut,CY 2010,514,Bhutan,94,Bridgeport,46,514
From: 01 Jan 2010,To: 17 Nov 2015,Connecticut,CY 2011,375,Bhutan,69,Bridgeport,4,375
From: 01 Jan 2010,To: 17 Nov 2015,Connecticut,CY 2012,509,Bhutan,60,Bridgeport,0,509
