geoid,name,B04004001 - Total:,"B04004001 - Total:, Error",B04004002 - Afghan,"B04004002 - Afghan, Error",B04004003 - Albanian,"B04004003 - Albanian, Error",B04004004 - Alsatian,"B04004004 - Alsatian, Error",B04004005 - American,"B04004005 - American, Error",B04004006 - Arab:,"B04004006 - Arab:, Error",B04004007 - Egyptian,"B04004007 - Egyptian, Error",B04004008 - Iraqi,"B04004008 - Iraqi, Error",B04004009 - Jordanian,"B04004009 - Jordanian, Error",B04004010 - Lebanese,"B04004010 - Lebanese, Error",B04004011 - Moroccan,"B04004011 - Moroccan, Error",B04004012 - Palestinian,"B04004012 - Palestinian, Error",B04004013 - Syrian,"B04004013 - Syrian, Error",B04004014 - Arab,"B04004014 - Arab, Error",B04004015 - Other Arab,"B04004015 - Other Arab, Error",B04004016 - Armenian,"B04004016 - Armenian, Error",B04004017 - Assyrian/Chaldean/Syriac,"B04004017 - Assyrian/Chaldean/Syriac, Error",B04004018 - Australian,"B04004018 - Australian, Error",B04004019 - Austrian,"B04004019 - Austrian, Error",B04004020 - Basque,"B04004020 - Basque, Error",B04004021 - Belgian,"B04004021 - Belgian, Error",B04004022 - Brazilian,"B04004022 - Brazilian, Error",B04004023 - British,"B04004023 - British, Error",B04004024 - Bulgarian,"B04004024 - Bulgarian, Error",B04004025 - Cajun,"B04004025 - Cajun, Error",B04004026 - Canadian,"B04004026 - Canadian, Error",B04004027 - Carpatho Rusyn,"B04004027 - Carpatho Rusyn, Error",B04004028 - Celtic,"B04004028 - Celtic, Error",B04004029 - Croatian,"B04004029 - Croatian, Error",B04004030 - Cypriot,"B04004030 - Cypriot, Error",B04004031 - Czech,"B04004031 - Czech, Error",B04004032 - Czechoslovakian,"B04004032 - Czechoslovakian, Error",B04004033 - Danish,"B04004033 - Danish, Error",B04004034 - Dutch,"B04004034 - Dutch, Error",B04004035 - Eastern European,"B04004035 - Eastern European, Error",B04004036 - English,"B04004036 - English, Error",B04004037 - Estonian,"B04004037 - Estonian, Error",B04004038 - European,"B04004038 - European, Error",B04004039 - Finnish,"B04004039 - Finnish, Error",B04004040 - French (except Basque),"B04004040 - French (except Basque), Error",B04004041 - French Canadian,"B04004041 - French Canadian, Error",B04004042 - German,"B04004042 - German, Error",B04004043 - German Russian,"B04004043 - German Russian, Error",B04004044 - Greek,"B04004044 - Greek, Error",B04004045 - Guyanese,"B04004045 - Guyanese, Error",B04004046 - Hungarian,"B04004046 - Hungarian, Error",B04004047 - Icelander,"B04004047 - Icelander, Error",B04004048 - Iranian,"B04004048 - Iranian, Error",B04004049 - Irish,"B04004049 - Irish, Error",B04004050 - Israeli,"B04004050 - Israeli, Error",B04004051 - Italian,"B04004051 - Italian, Error",B04004052 - Latvian,"B04004052 - Latvian, Error",B04004053 - Lithuanian,"B04004053 - Lithuanian, Error",B04004054 - Luxemburger,"B04004054 - Luxemburger, Error",B04004055 - Macedonian,"B04004055 - Macedonian, Error",B04004056 - Maltese,"B04004056 - Maltese, Error",B04004057 - New Zealander,"B04004057 - New Zealander, Error",B04004058 - Northern European,"B04004058 - Northern European, Error",B04004059 - Norwegian,"B04004059 - Norwegian, Error",B04004060 - Pennsylvania German,"B04004060 - Pennsylvania German, Error",B04004061 - Polish,"B04004061 - Polish, Error",B04004062 - Portuguese,"B04004062 - Portuguese, Error",B04004063 - Romanian,"B04004063 - Romanian, Error",B04004064 - Russian,"B04004064 - Russian, Error",B04004065 - Scandinavian,"B04004065 - Scandinavian, Error",B04004066 - Scotch-Irish,"B04004066 - Scotch-Irish, Error",B04004067 - Scottish,"B04004067 - Scottish, Error",B04004068 - Serbian,"B04004068 - Serbian, Error",B04004069 - Slavic,"B04004069 - Slavic, Error",B04004070 - Slovak,"B04004070 - Slovak, Error",B04004071 - Slovene,"B04004071 - Slovene, Error",B04004072 - Soviet Union,"B04004072 - Soviet Union, Error",B04004073 - Subsaharan African:,"B04004073 - Subsaharan African:, Error",B04004074 - Cape Verdean,"B04004074 - Cape Verdean, Error",B04004075 - Ethiopian,"B04004075 - Ethiopian, Error",B04004076 - Ghanaian,"B04004076 - Ghanaian, Error",B04004077 - Kenyan,"B04004077 - Kenyan, Error",B04004078 - Liberian,"B04004078 - Liberian, Error",B04004079 - Nigerian,"B04004079 - Nigerian, Error",B04004080 - Senegalese,"B04004080 - Senegalese, Error",B04004081 - Sierra Leonean,"B04004081 - Sierra Leonean, Error",B04004082 - Somalian,"B04004082 - Somalian, Error",B04004083 - South African,"B04004083 - South African, Error",B04004084 - Sudanese,"B04004084 - Sudanese, Error",B04004085 - Ugandan,"B04004085 - Ugandan, Error",B04004086 - Zimbabwean,"B04004086 - Zimbabwean, Error",B04004087 - African,"B04004087 - African, Error",B04004088 - Other Subsaharan African,"B04004088 - Other Subsaharan African, Error",B04004089 - Swedish,"B04004089 - Swedish, Error",B04004090 - Swiss,"B04004090 - Swiss, Error",B04004091 - Turkish,"B04004091 - Turkish, Error",B04004092 - Ukrainian,"B04004092 - Ukrainian, Error",B04004093 - Welsh,"B04004093 - Welsh, Error",B04004094 - West Indian (except Hispanic groups):,"B04004094 - West Indian (except Hispanic groups):, Error",B04004095 - Bahamian,"B04004095 - Bahamian, Error",B04004096 - Barbadian,"B04004096 - Barbadian, Error",B04004097 - Belizean,"B04004097 - Belizean, Error",B04004098 - Bermudan,"B04004098 - Bermudan, Error",B04004099 - British West Indian,"B04004099 - British West Indian, Error",B04004100 - Dutch West Indian,"B04004100 - Dutch West Indian, Error",B04004101 - Haitian,"B04004101 - Haitian, Error",B04004102 - Jamaican,"B04004102 - Jamaican, Error",B04004103 - Trinidadian and Tobagonian,"B04004103 - Trinidadian and Tobagonian, Error",B04004104 - U.S. Virgin Islander,"B04004104 - U.S. Virgin Islander, Error",B04004105 - West Indian,"B04004105 - West Indian, Error",B04004106 - Other West Indian,"B04004106 - Other West Indian, Error",B04004107 - Yugoslavian,"B04004107 - Yugoslavian, Error",B04004108 - Other groups,"B04004108 - Other groups, Error"
04000US09,Connecticut,2029679,9323,371,220,8743,1201,13,20,99814,3209,12390,1500,1923,555,358,254,102,69,3881,895,902,290,232,116,701,402,2128,813,2163,546,2302,386,324,100,522,191,2794,353,77,45,754,210,14445,1578,9485,886,568,214,135,118,8804,746,87,56,245,135,1472,336,168,116,2741,449,2065,347,2710,353,5041,434,8800,832,78897,2209,557,211,22362,1173,1817,329,47323,1924,44255,1765,66782,1927,0,28,15098,1020,2523,568,10932,916,90,75,1783,380,150708,3198,827,293,287031,4355,710,226,8883,801,64,43,573,319,153,79,92,63,2566,495,5237,481,329,121,108058,3118,29261,1661,3389,528,23224,1080,1267,261,7053,642,16355,828,611,217,667,148,6996,636,483,180,39,43,23408,1690,2836,649,392,168,1953,504,102,74,168,122,2161,571,0,28,0,28,415,284,566,213,421,260,164,197,76,75,12937,1442,1217,469,12148,802,1918,326,2511,489,8558,764,2013,287,69027,2846,83,80,779,327,110,98,80,64,2124,569,127,117,15231,1660,43416,2407,1887,467,191,144,4970,692,29,29,3339,690,774892,5500
06000US0900104720,"Bethel town, Fairfield County, CT",9288,605,0,19,17,28,0,19,764,244,82,174,0,19,0,19,0,19,35,32,0,19,0,19,0,19,35,180,12,19,37,40,0,19,0,19,20,22,0,19,0,19,296,267,125,111,0,19,0,19,74,79,0,19,0,19,67,70,0,19,0,19,10,15,0,19,52,85,17,20,370,120,0,19,227,151,24,37,90,78,76,53,599,171,0,19,40,42,0,19,42,38,0,19,0,19,1175,243,11,18,1772,392,0,19,68,57,0,19,0,19,9,14,0,19,8,12,60,47,0,19,237,107,254,131,21,28,17,15,0,19,21,21,106,70,9,16,0,19,48,42,0,19,0,19,12,18,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,12,18,0,19,104,62,25,33,11,16,4,10,0,19,65,48,0,19,0,19,0,19,0,19,0,19,0,19,0,19,51,43,0,19,0,19,14,21,0,19,16,27,2206,445
06000US0900108070,"Bridgeport town, Fairfield County, CT",113936,1679,104,134,132,116,0,28,1854,526,1245,535,240,301,143,193,0,28,74,68,19,30,0,28,204,238,330,308,235,165,56,67,0,28,0,28,45,39,17,24,0,28,3207,759,44,44,0,28,0,28,91,59,0,28,0,28,44,48,0,28,78,77,135,81,44,41,84,75,76,72,480,182,12,20,163,117,18,30,157,73,226,96,569,204,0,28,249,132,119,81,683,158,0,28,27,43,1747,335,0,28,4285,528,0,28,76,48,0,28,35,41,0,28,0,28,16,27,51,60,0,28,1211,364,1920,590,83,53,205,82,0,28,20,24,57,44,38,60,33,37,304,100,14,23,0,28,2659,795,782,465,17,27,79,122,0,28,0,28,479,341,0,28,0,28,0,28,123,140,113,173,0,28,0,28,881,326,185,114,74,56,7,15,48,76,194,93,14,21,12708,1346,0,28,79,82,0,28,0,28,358,451,51,77,3213,745,8310,1209,188,121,89,102,420,223,0,28,205,213,77973,2252
06000US0900108980,"Brookfield town, Fairfield County, CT",8069,716,0,19,0,19,0,19,605,261,53,70,0,19,0,19,0,19,8,13,0,19,0,19,0,19,45,69,0,19,11,18,0,19,0,19,24,27,0,19,0,19,158,125,8,13,32,52,0,19,35,36,0,19,0,19,0,19,0,19,43,43,0,19,0,19,27,33,13,21,410,122,0,19,108,97,28,33,9,14,145,90,513,157,0,19,129,82,0,19,65,56,0,19,0,19,1038,303,0,19,2207,534,0,19,0,19,0,19,0,19,0,19,0,19,0,19,44,42,0,19,233,125,251,139,0,19,74,47,0,19,12,21,92,60,0,19,0,19,43,42,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,48,42,40,39,0,19,96,93,16,24,20,32,0,19,0,19,0,19,0,19,0,19,0,19,0,19,20,32,0,19,0,19,0,19,0,19,0,19,1439,338
06000US0900118500,"Danbury town, Fairfield County, CT",53599,1709,8,16,75,62,0,28,1563,436,607,215,0,28,14,23,0,28,404,165,0,28,0,28,35,28,38,60,116,117,22,26,0,28,13,20,23,25,0,28,12,22,4722,1027,100,57,14,24,0,28,131,87,15,24,0,28,0,28,0,28,57,56,38,36,31,38,70,50,102,74,1064,240,0,28,305,175,62,77,292,116,240,100,1432,282,0,28,285,192,0,28,228,82,0,28,41,53,2977,533,0,28,5385,586,16,25,65,47,0,28,0,28,12,18,0,28,38,36,58,36,23,26,1575,368,3053,711,46,78,447,192,48,56,131,80,292,139,0,28,0,28,78,65,0,28,0,28,267,140,1,6,0,28,7,16,0,28,27,44,0,28,0,28,0,28,0,28,29,28,0,28,0,28,0,28,186,119,17,26,113,62,21,35,35,42,49,44,39,35,931,339,0,28,0,28,0,28,9,18,0,28,0,28,187,181,449,200,76,115,0,28,210,182,0,28,8,10,26340,1772
06000US0900118850,"Darien town, Fairfield County, CT",9607,657,0,22,0,22,0,22,936,332,0,22,0,22,0,22,0,22,0,22,0,22,0,22,0,22,0,22,0,22,24,37,0,22,12,13,49,40,0,22,41,50,7,12,529,239,28,42,0,22,36,62,0,22,36,61,0,22,0,22,9,14,0,22,51,43,77,57,152,118,982,251,0,22,422,178,8,13,89,51,10,15,730,200,0,22,127,65,0,22,83,58,0,22,0,22,1712,448,15,22,1018,153,0,22,14,16,0,22,0,22,0,22,0,22,40,34,62,42,0,22,175,71,17,20,0,22,52,41,39,32,108,82,277,89,0,22,0,22,11,16,5,10,0,22,0,22,0,22,0,22,0,22,0,22,0,22,0,22,0,22,0,22,0,22,0,22,0,22,0,22,0,22,0,22,0,22,80,77,32,27,8,13,37,28,13,15,25,36,0,22,0,22,0,22,0,22,0,22,0,22,0,22,25,36,0,22,0,22,0,22,0,22,0,22,1429,314
06000US0900123890,"Easton town, Fairfield County, CT",3782,327,0,17,0,17,0,17,150,86,9,15,0,17,0,17,0,17,9,15,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,7,11,0,17,0,17,12,15,18,20,0,17,0,17,51,77,0,17,0,17,7,12,0,17,9,15,0,17,0,17,0,17,22,28,136,74,0,17,36,43,106,121,9,14,6,10,213,85,0,17,121,77,0,17,199,148,0,17,28,43,545,192,0,17,920,230,0,17,0,17,0,17,0,17,7,11,0,17,0,17,16,18,0,17,194,104,57,71,133,150,78,50,8,12,38,46,33,29,0,17,0,17,35,29,7,11,0,17,30,48,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,30,48,58,40,0,17,0,17,51,39,0,17,14,20,0,17,0,17,0,17,0,17,0,17,14,20,0,17,0,17,0,17,0,17,0,17,0,17,0,17,419,158
06000US0900126620,"Fairfield town, Fairfield County, CT",31136,930,0,28,61,41,0,28,2103,409,170,80,58,48,0,28,0,28,54,47,0,28,10,15,8,12,0,28,40,36,85,57,0,28,0,28,82,50,0,28,24,22,276,174,271,148,8,12,0,28,208,92,0,28,0,28,61,46,0,28,65,45,49,36,109,85,135,52,355,153,1588,320,0,28,408,153,47,39,326,108,373,132,1118,346,0,28,351,127,0,28,1024,218,0,28,20,27,4965,462,19,18,5185,566,0,28,178,85,0,28,167,178,0,28,0,28,62,64,139,76,0,28,1229,245,323,204,205,96,688,163,93,56,195,96,582,287,17,25,17,26,164,69,122,88,0,28,59,50,16,26,0,28,7,14,0,28,0,28,6,14,0,28,0,28,0,28,10,15,0,28,0,28,0,28,20,25,0,28,267,97,20,20,69,49,185,80,52,50,284,118,0,28,0,28,0,28,0,28,11,23,0,28,91,65,101,76,28,28,0,28,53,49,0,28,62,67,6471,705
06000US0900133620,"Greenwich town, Fairfield County, CT",36066,1071,0,28,97,105,0,28,2651,391,228,129,16,18,0,28,0,28,155,101,0,28,0,28,7,14,50,81,0,28,93,70,0,28,13,15,123,85,0,28,162,157,399,188,676,252,14,16,0,28,257,152,13,21,0,28,116,96,0,28,64,37,34,27,160,106,347,130,363,167,1788,268,0,28,1681,454,59,76,199,97,260,117,1659,285,0,28,332,150,0,28,132,62,0,28,86,79,2938,503,20,22,5764,632,8,11,85,50,0,28,0,28,11,19,19,27,83,60,129,54,0,28,1306,320,224,115,258,208,827,227,19,23,156,72,430,138,8,12,0,28,72,50,94,105,0,28,164,185,0,28,10,16,0,28,0,28,0,28,0,28,0,28,0,28,0,28,28,29,0,28,113,184,0,28,13,21,0,28,235,97,56,43,10,14,72,60,71,53,87,93,0,28,0,28,0,28,0,28,0,28,0,28,67,89,20,29,0,28,0,28,0,28,0,28,7,11,10907,1000
06000US0900148620,"Monroe town, Fairfield County, CT",9191,666,0,19,55,65,0,19,417,189,154,291,0,19,0,19,0,19,9,14,0,19,0,19,145,291,0,19,0,19,16,24,0,19,0,19,0,19,0,19,50,77,64,100,24,30,0,19,0,19,63,75,0,19,0,19,94,114,0,19,10,17,33,36,0,19,27,33,119,102,485,204,0,19,94,83,12,18,107,74,47,41,562,309,0,19,186,145,0,19,282,126,0,19,0,19,714,247,0,19,2818,487,0,19,26,30,0,19,0,19,0,19,0,19,0,19,51,62,0,19,457,211,599,304,17,26,7,14,13,20,48,58,58,45,0,19,0,19,103,62,14,23,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,31,35,36,40,0,19,0,19,36,56,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,1262,399
