"","Month","Long_Gun","permit","handgun","other"
"1",1998-12-01,353470.541726545,76621.9841190742,175912.719570411,7526.01322167338
"2",1999-01-01,366426.928465014,75141.5679011657,180574.690616951,12872.0256455886
"3",1999-02-01,382962.733161892,81619.6508192613,192309.711221502,17527.0410978242
"4",1999-03-01,395107.992738836,88621.208217181,197232.402035145,18533.0420081967
"5",1999-04-01,398294.182869486,86882.0210031268,199375.159853144,17576.1795971097
"6",1999-05-01,418399.85292149,86904.4311961854,207343.145782813,20306.7264154322
"7",1999-06-01,427216.098964219,83495.8571207924,208690.546869801,21405.4375360928
"8",1999-07-01,432564.92914206,78814.741088562,214567.446049306,19293.4451650682
"9",1999-08-01,434630.176912154,85244.0646431079,215930.382540766,22895.9944326557
"10",1999-09-01,441455.140335131,87976.5074320369,217417.392646169,20749.4011319886
"11",1999-10-01,452751.546862217,88970.6191568993,227260.072977759,20703.4993745899
"12",1999-11-01,463312.622782009,93089.0431706928,226658.216398348,24423.1878998669
"13",1999-12-01,474508.031238232,101242.187905308,237401.675869586,30673.3409676627
"14",2000-01-01,382391.970045027,98051.0852233194,179520.779146888,21537.8350024245
"15",2000-02-01,392934.856182385,95378.621432788,181803.136923214,19738.212012744
"16",2000-03-01,375413.547391772,98189.4855702863,177427.686847376,20081.9896504994
"17",2000-04-01,395054.75507888,100673.028456733,183519.124771298,20522.5609266351
"18",2000-05-01,383209.721478304,100409.258096998,177970.861006457,21022.8545661304
"19",2000-06-01,390983.441975583,108292.790326149,183895.816072345,19511.5565836193
"20",2000-07-01,398462.952417981,108738.392414998,182299.659863949,21466.3549068782
"21",2000-08-01,397795.256383234,107704.140848757,182541.599831273,18919.9987783271
"22",2000-09-01,400760.491039673,107102.684880719,184420.779728491,16883.6452290823
"23",2000-10-01,395600.495984679,106124.566130358,176380.028481565,17177.0944629427
"24",2000-11-01,395977.87719265,102125.29754647,181812.861094807,11690.6664578194
"25",2000-12-01,387000.342314684,93738.9630065486,179781.08224593,18421.9794251417
"26",2001-01-01,397001.37609658,107542.169043231,178541.098273791,18918.3773507727
"27",2001-02-01,389454.48801227,108751.403006157,170843.810999005,9557.59696459605
"28",2001-03-01,404520.706441908,113533.63310285,176323.741566028,17928.9912781382
"29",2001-04-01,395068.304955549,105533.930851141,171176.262132905,21122.9168641993
"30",2001-05-01,405431.727319042,105518.093367003,175994.116380784,18710.2714027698
"31",2001-06-01,410597.720914365,112358.161703726,173564.201903377,17913.9301972845
"32",2001-07-01,409071.847253591,120693.825732959,172421.996486899,20723.3707984524
"33",2001-08-01,419287.07812621,116949.053780083,173236.826278329,14252.7835019213
"34",2001-09-01,439747.272865279,114619.723545907,224338.155615325,18318.0086229178
"35",2001-10-01,437574.041143877,132594.458740463,230050.225692883,16404.859988657
"36",2001-11-01,378109.036796128,138893.607850686,169034.767945197,66503.5806614601
"37",2001-12-01,381495.189153603,133510.056801108,161936.25239064,61509.3081351131
"38",2002-01-01,370615.051062716,119232.283274103,159981.36376798,62010.7494094503
"39",2002-02-01,361531.717981616,115632.993437967,155344.606483325,66111.1668213189
"40",2002-03-01,371885.290472534,106034.357649969,155773.292328815,63633.843731134
"41",2002-04-01,374376.840497363,117308.52628433,158320.996511777,61255.0025116727
"42",2002-05-01,370742.918960078,122654.522044939,156555.226061888,59993.6726172466
"43",2002-06-01,364808.719673081,107472.163953554,154378.243122492,59499.656603276
"44",2002-07-01,369889.029630176,112596.638888486,154656.463391577,58463.9635844315
"45",2002-08-01,373563.45545365,110812.464732385,157526.8220251,62794.5209953589
"46",2002-09-01,361159.122983028,113526.388319518,154893.907983732,63916.6920115533
"47",2002-10-01,366312.399916162,114174.757527333,154468.030509587,64208.9112723628
"48",2002-11-01,362713.416081885,115618.521345393,152800.819238012,65891.2527682272
"49",2002-12-01,361230.638378206,108900.985994056,154419.106890458,62482.9753955335
"50",2003-01-01,358249.661669459,113448.817620868,150356.244795901,64505.4989679955
"51",2003-02-01,364602.213924956,118821.20803582,154751.362002417,68326.4865723351
"52",2003-03-01,368422.8274769,118305.206628872,156591.55790799,62565.7095526567
"53",2003-04-01,361725.07292642,119373.334090147,151689.829019297,62878.9723012417
"54",2003-05-01,365264.17627081,119409.190549044,154891.077144351,62645.2921275659
"55",2003-06-01,363598.612826751,120772.08086051,155271.049401134,64960.338592508
"56",2003-07-01,357856.747170294,113448.384873029,155387.918587894,63083.15296941
"57",2003-08-01,363000.612166878,116707.102225727,155623.412971049,64961.2051427783
"58",2003-09-01,363603.443873256,122708.657592127,160049.735619948,63410.3692702671
"59",2003-10-01,362259.320394544,120164.7858632,158378.351978988,65705.4732506651
"60",2003-11-01,361037.070949793,106631.883935947,156883.890986997,60556.9791108809
"61",2003-12-01,364855.17123849,112296.213413962,158527.723451424,59316.3794851513
"62",2004-01-01,367883.212071103,116500.208358215,163931.97698078,58766.0871035008
"63",2004-02-01,368363.900478696,115318.424676528,164588.805790101,61784.4535597986
"64",2004-03-01,356265.87179774,110743.429319376,159651.648253917,61354.3175515798
"65",2004-04-01,366296.709941892,111170.715067062,164556.13007586,60677.4817179019
"66",2004-05-01,364528.480874508,106637.424712023,163630.48464464,60406.5608485446
"67",2004-06-01,370156.345034392,113061.969220847,165645.097719902,61110.8178011787
"68",2004-07-01,374126.249476885,104255.974980138,167081.483477662,61531.5066335795
"69",2004-08-01,371504.640811322,114701.53484287,165450.697285626,60811.0459516805
"70",2004-09-01,370689.309710227,106546.185858899,166213.225358417,60701.5823591441
"71",2004-10-01,380593.417196824,108276.518081275,168914.124713635,61553.3663834921
"72",2004-11-01,373905.175348884,114058.949661839,170288.783023076,64551.5475581641
"73",2004-12-01,376275.780434767,121527.660392924,169609.985302799,63907.1922675518
"74",2005-01-01,364586.687153519,116068.881411123,171232.766637161,61611.7541748714
"75",2005-02-01,375083.641427527,106821.133277431,176010.52111499,59719.3151883097
"76",2005-03-01,372452.960646347,120086.890793856,177623.286760216,56564.905285699
"77",2005-04-01,377498.84419027,101576.765203325,180026.192775918,56919.4271118148
"78",2005-05-01,375477.634431227,103796.55531732,180703.791369579,55851.1723121539
"79",2005-06-01,373392.283868296,109931.47991273,182059.647318405,55266.2535944712
"80",2005-07-01,377967.345167532,109070.205527964,186527.989064684,57930.4080583048
"81",2005-08-01,378409.25058615,115479.811455764,188114.648059782,58344.2442288407
"82",2005-09-01,379791.262618195,121676.738426654,213832.058884997,59265.7630751231
"83",2005-10-01,384730.259906289,110113.815587974,196481.013933136,58525.812176383
"84",2005-11-01,391637.594096519,112641.765001477,196780.922340052,57456.5292043571
"85",2005-12-01,397319.261869125,122924.46269522,197665.981277133,54553.3722632927
"86",2006-01-01,405714.571968004,120966.41585155,203675.477291306,58272.3980049379
"87",2006-02-01,398855.569042994,125249.554524282,197884.323698468,53854.9985665487
"88",2006-03-01,404511.106854776,122329.53659846,202694.878417116,59295.2465598104
"89",2006-04-01,396002.944485094,121391.635447121,200513.119244284,61463.386997598
"90",2006-05-01,396508.509793929,127811.885129018,201617.038195128,57515.7894413376
"91",2006-06-01,394907.346529176,129856.373215252,205746.615289818,56735.2556885512
"92",2006-07-01,391703.269256143,141075.523000152,204443.307395291,86932.5301019804
"93",2006-08-01,392390.088436376,225511.428680496,207239.865330622,57043.3415680819
"94",2006-09-01,401067.271160022,236543.729557979,207254.136079421,59608.4094567411
"95",2006-10-01,390189.829006364,234693.137007794,207133.665408006,56023.8032400071
"96",2006-11-01,391573.682380647,233700.255389294,206990.650093741,56157.810016884
"97",2006-12-01,396941.415644672,238453.103325664,208616.441886134,61807.6358522791
"98",2007-01-01,388399.00337019,236949.283531177,211710.87742728,67328.3402124011
"99",2007-02-01,375064.776593244,232709.188951679,206687.79761128,65149.4286825061
"100",2007-03-01,386355.791887586,237510.517849547,213822.421082806,83104.8210077611
"101",2007-04-01,378923.299090192,244188.722128939,216575.064246499,81618.1246811473
"102",2007-05-01,378790.388511535,258753.514143664,219649.367881181,91797.4867186398
"103",2007-06-01,386690.544304152,258416.937519327,223273.520102347,91837.1198093138
"104",2007-07-01,387276.441750155,246185.566207923,220222.564932331,87563.7408951172
"105",2007-08-01,393448.218587705,267195.293950466,227785.343271467,64934.0428053051
"106",2007-09-01,387009.571369438,297626.823815238,230524.443725749,60071.9118133661
"107",2007-10-01,382364.487748614,274063.858729204,226447.272782802,61450.4148907466
"108",2007-11-01,381096.846190411,281116.597383006,225519.221154039,60579.7493897106
"109",2007-12-01,381245.875142386,263429.730242159,232334.231805508,61668.7564808546
"110",2008-01-01,382664.076598268,260473.129705782,238455.990817897,59175.0223883443
"111",2008-02-01,384539.920276935,278157.451559805,241263.77514954,55149.624392897
"112",2008-03-01,377871.64012901,273678.843935548,240836.253108847,60758.4041711914
"113",2008-04-01,387773.393519657,285177.275748844,250177.167506384,61465.3769789641
"114",2008-05-01,399685.381852138,297074.010746309,261146.736766555,61846.6077555057
"115",2008-06-01,395638.331533087,301700.94302184,263661.838902852,63733.2974056972
"116",2008-07-01,402056.988139023,345564.412955605,275002.633171295,63565.4426548392
"117",2008-08-01,399100.812855085,310162.236499377,270328.181330853,60649.1214618893
"118",2008-09-01,401717.553179567,316159.526653092,272637.700480704,62904.2903565796
"119",2008-10-01,419063.550743862,346146.779575359,291197.55376392,67455.4015189891
"120",2008-11-01,531883.781046223,352158.624059442,428427.208472843,72639.2202322401
"121",2008-12-01,424227.373391488,338644.446282607,314860.7816842,68603.8096558436
"122",2009-01-01,444348.952345149,338913.640471851,317550.453600156,70868.0656188229
"123",2009-02-01,434015.242307446,338955.683101169,311943.263581589,69927.9289943029
"124",2009-03-01,440868.105700691,358689.729922666,317940.013818674,70183.9507364304
"125",2009-04-01,444533.106178605,367944.409582687,322219.607221093,72693.3828915759
"126",2009-05-01,429822.073839366,362265.725174817,306774.659921347,73716.7942070566
"127",2009-06-01,427210.730496379,373576.886104484,304764.860470496,72442.0541509633
"128",2009-07-01,418553.596525367,376191.043147809,301456.749656564,72880.5945781019
"129",2009-08-01,412030.262657687,399764.520911164,300583.278029169,71097.399027719
"130",2009-09-01,412537.155397725,385617.967130642,300221.414592572,74071.5302901848
"131",2009-10-01,407248.572654251,398269.096036848,297584.42804,74437.419706
"132",2009-11-01,396680.559061462,398803.22741873,293834.382431181,70620.6613650263
"133",2009-12-01,395054.24001011,377869.387864943,286654.59111092,74584.6097186277
"134",2010-01-01,394126.555003772,370527.447784074,284515.990357113,72289.321858084
"135",2010-02-01,398704.358018181,361401.052943083,293848.729533145,74284.7308232791
"136",2010-03-01,400996.762862395,384221.248852208,294905.426268291,73380.1673194209
"137",2010-04-01,395446.655966718,446185.84002181,296411.883242009,75553.0027870056
"138",2010-05-01,404040.584960671,396743.563268682,304467.31196027,74229.8884939548
"139",2010-06-01,407872.243304417,402374.663093818,305637.436633701,76415.0710249828
"140",2010-07-01,408099.468848539,444135.498494327,311793.131329204,78271.3901014206
"141",2010-08-01,410642.742617154,381818.56353577,314841.574362586,78502.8891639399
"142",2010-09-01,411556.195803254,410330.919671318,317219.423586674,77696.5894706082
"143",2010-10-01,414422.899531513,542008.70867483,319325.967426099,78309.2797119517
"144",2010-11-01,420954.749780262,373408.225429447,322834.769042734,79715.0191889607
"145",2010-12-01,414513.377086174,397112.242184789,319705.626330822,77382.1445676265
"146",2011-01-01,424565.75831788,490295.258248139,337363.37891664,79411.7314757166
"147",2011-02-01,425698.851174533,448997.845506064,330439.116520439,81218.9346388046
"148",2011-03-01,439840.173934412,396488.829457995,346305.421276053,84974.2693221898
"149",2011-04-01,449553.344593555,451925.625899959,345111.030490959,85729.0045507934
"150",2011-05-01,447349.780690864,517627.414365312,347465.257541167,85509.1114264083
"151",2011-06-01,446580.232061164,492959.078646763,353930.160903581,85766.6090932609
"152",2011-07-01,453035.67775011,487129.099221347,352827.585649675,88139.0118375202
"153",2011-08-01,464406.423002721,490650.670043859,363245.403344795,89194.3102386075
"154",2011-09-01,469424.818923886,418356.505725388,369600.269751675,94422.4820157165
"155",2011-10-01,474350.019072685,434243.704004261,374018.514166396,89205.7836326028
"156",2011-11-01,484984.291005243,463486.596964857,382707.48519569,88518.2211380851
"157",2011-12-01,492585.454366393,453776.699107181,397927.056634606,91453.9030160612
"158",2012-01-01,498836.942174949,414379.394862465,397591.955756025,89942.6805370121
"159",2012-02-01,526538.095916496,419769.377871677,419772.9755499,99069.2174251947
"160",2012-03-01,510472.064140357,437139.595579364,412491.490860932,95015.4360773909
"161",2012-04-01,518093.770689212,443952.591600606,420903.133940398,93204.7014155688
"162",2012-05-01,537743.902449445,453120.827746949,431988.080934963,95828.731080496
"163",2012-06-01,548581.882095219,471770.188624372,440499.931270039,100412.179153449
"164",2012-07-01,563219.344239311,458417.236058267,454515.546335609,100177.686651259
"165",2012-08-01,556109.594250242,485931.0812258,462946.379127734,109569.813991636
"166",2012-09-01,544055.0413541,526887.731789955,455088.519728412,99768.3727085715
"167",2012-10-01,549895.257667542,517149.22362891,457702.763143754,104451.198596792
"168",2012-11-01,635545.703316328,530414.858900973,543226.042406427,114001.115015453
"169",2012-12-01,756815.760836066,570807.501391038,689793.73530804,136498.783568314
"170",2013-01-01,896787.661121597,602872.730775716,867366.727134133,119810.311997165
"171",2013-02-01,647667.510271553,594011.007511441,546025.715325774,110490.881151787
"172",2013-03-01,642291.753720426,592111.018173117,529378.628384438,113690.934142337
"173",2013-04-01,632996.314887327,451811.565136821,523457.497133174,111834.257426732
"174",2013-05-01,601086.93698341,450541.852436775,503709.331471208,107456.295054802
"175",2013-06-01,584102.059325319,430382.068536637,492730.96665446,103581.463197151
"176",2013-07-01,557895.75031503,425797.248525546,486873.76501319,103804.180931389
"177",2013-08-01,552835.085656799,410865.471144961,481120.000278109,96307.2086938767
"178",2013-09-01,541208.650641966,431755.968367425,487682.576978159,104725.550347516
"179",2013-10-01,523953.738607439,621108.108523562,471947.327079932,104509.263701268
"180",2013-11-01,515825.437272303,570579.488082022,471607.408972504,104368.233411817
"181",2013-12-01,511058.908900087,534479.584413451,462807.86847684,100856.513127946
"182",2014-01-01,491386.010068234,599373.760834942,458126.668807263,99536.916360801
"183",2014-02-01,472916.688420236,716304.379051454,483619.070329798,113134.182688728
"184",2014-03-01,472956.057370181,1044837.56472202,495547.144679611,109580.305880169
"185",2014-04-01,465966.100882126,643556.284577507,497552.892629629,110362.681720547
"186",2014-05-01,456460.973185613,592125.832373029,497818.15613266,112213.294828193
"187",2014-06-01,458469.882275504,617097.021148656,502930.338665495,111111.615125675
"188",2014-07-01,455910.628721396,602502.970393599,500218.975477347,110862.619708801
"189",2014-08-01,453449.330382882,585486.312658362,515330.628008579,117113.574263636
"190",2014-09-01,461053.068040151,496067.46599827,523930.488738369,113436.996232084
"191",2014-10-01,460272.395424526,482170.362566385,540958.28778387,114997.214519346
"192",2014-11-01,460916.366420355,540752.945600268,534685.240012991,111441.597843253
"193",2014-12-01,452641.38237792,659166.212119574,551816.433708625,118092.967371262
"194",2015-01-01,448581.490314981,629808.037950454,541457.748519938,113966.669015328
"195",2015-02-01,452514.343701586,499645.503849551,539776.993480313,111631.623329487
"196",2015-03-01,444780.361809744,675624.67795967,538107.159543215,110936.165002436
"197",2015-04-01,441346.478300168,627062.836570406,545366.566228531,112549.035352778
"198",2015-05-01,454165.988091314,658909.792200613,570758.147655106,114213.422477793
"199",2015-06-01,451377.634865865,661747.271677534,583030.78782234,117395.2715418
"200",2015-07-01,456397.877431557,693241.042560142,603426.833032938,119486.033357134
"201",2015-08-01,452679.765793809,758395.964839315,597553.922940336,116214.382980618
"202",2015-09-01,450123.055412873,826602.389513332,610491.607041871,119474.676314169
"203",2015-10-01,445942.037150458,849625.827692638,616666.195517952,120123.347142062
"204",2015-11-01,451664.621763791,921259.983858298,657655.535529904,119584.085616355
