"","Month","Long_Gun","permit","handgun","other"
"1",1998-12-01,2451,2800,1502,37
"2",1999-01-01,1563,3010,1636,56
"3",1999-02-01,1802,4526,1736,5
"4",1999-03-01,2132,3689,2042,14
"5",1999-04-01,1748,5064,2188,111
"6",1999-05-01,1410,4556,2204,32
"7",1999-06-01,1361,3879,1656,35
"8",1999-07-01,1387,1926,1572,55
"9",1999-08-01,1826,3295,1740,38
"10",1999-09-01,2103,2734,1659,103
"11",1999-10-01,2578,2541,2191,16
"12",1999-11-01,2583,2201,1807,23
"13",1999-12-01,2367,4041,1944,24
"14",2000-01-01,3,7652,3,3
"15",2000-02-01,0,7640,0,5
"16",2000-03-01,0,8783,0,4
"17",2000-04-01,1,7009,5,6
"18",2000-05-01,0,6927,0,5
"19",2000-06-01,0,6778,0,1
"20",2000-07-01,0,6168,0,4
"21",2000-08-01,0,7379,0,0
"22",2000-09-01,0,6700,0,2
"23",2000-10-01,0,7838,0,0
"24",2000-11-01,0,7358,0,2
"25",2000-12-01,0,7309,0,1
"26",2001-01-01,0,7113,1,4
"27",2001-02-01,0,6485,0,0
"28",2001-03-01,0,7470,2,10
"29",2001-04-01,0,6890,0,4
"30",2001-05-01,0,6877,0,2
"31",2001-06-01,4,6321,9,5
"32",2001-07-01,0,5752,0,1
"33",2001-08-01,3,6150,6,16
"34",2001-09-01,2546,3025,2023,261
"35",2001-10-01,4285,3307,2995,305
"36",2001-11-01,3298,3505,2072,244
"37",2001-12-01,3017,3199,2306,176
"38",2002-01-01,2082,4340,2207,244
"39",2002-02-01,1900,3388,2233,197
"40",2002-03-01,2229,3740,2475,287
"41",2002-04-01,1863,4015,1968,252
"42",2002-05-01,1734,3691,2004,223
"43",2002-06-01,1604,3004,1856,252
"44",2002-07-01,1530,2847,1650,235
"45",2002-08-01,1922,3217,1873,240
"46",2002-09-01,2180,2807,1784,249
"47",2002-10-01,3359,3258,2532,385
"48",2002-11-01,3014,2760,2002,391
"49",2002-12-01,2664,2551,2096,264
"50",2003-01-01,2035,3111,2301,314
"51",2003-02-01,2051,3155,2478,216
"52",2003-03-01,2688,3872,2734,303
"53",2003-04-01,2235,3585,2154,279
"54",2003-05-01,1998,3373,2176,313
"55",2003-06-01,1724,3311,1890,340
"56",2003-07-01,1646,3910,1821,364
"57",2003-08-01,1921,3588,1846,401
"58",2003-09-01,2255,3642,1750,378
"59",2003-10-01,3238,4566,2415,491
"60",2003-11-01,2835,3398,1714,373
"61",2003-12-01,3034,3652,2309,384
"62",2004-01-01,2228,4462,2205,310
"63",2004-02-01,1986,5375,2260,372
"64",2004-03-01,2216,5476,2450,432
"65",2004-04-01,1859,4417,1778,396
"66",2004-05-01,1092,4164,1191,618
"67",2004-06-01,1557,3962,1622,345
"68",2004-07-01,1563,3612,1721,349
"69",2004-08-01,1678,3615,1728,335
"70",2004-09-01,2121,3495,1657,448
"71",2004-10-01,2927,3367,2149,482
"72",2004-11-01,2852,3006,1676,356
"73",2004-12-01,2966,3410,2331,299
"74",2005-01-01,1866,3198,1952,298
"75",2005-02-01,1892,3726,2560,355
"76",2005-03-01,2265,4670,2577,380
"77",2005-04-01,1907,4327,2392,374
"78",2005-05-01,1470,3852,1914,343
"79",2005-06-01,1420,3760,1745,362
"80",2005-07-01,1470,3297,1719,284
"81",2005-08-01,1618,3642,1770,357
"82",2005-09-01,2176,3903,1775,294
"83",2005-10-01,2845,3145,2225,405
"84",2005-11-01,2796,3562,1831,357
"85",2005-12-01,2905,2993,2346,279
"86",2006-01-01,2296,3212,2264,395
"87",2006-02-01,2202,3410,2333,349
"88",2006-03-01,2738,4088,2713,390
"89",2006-04-01,2077,3417,2060,288
"90",2006-05-01,1657,3644,1846,277
"91",2006-06-01,1734,3378,1962,293
"92",2006-07-01,1481,3198,1678,258
"93",2006-08-01,1693,3553,1805,384
"94",2006-09-01,2013,3373,1868,329
"95",2006-10-01,2528,3391,2359,320
"96",2006-11-01,2819,3517,2154,318
"97",2006-12-01,3053,3525,2684,292
"98",2007-01-01,2227,4582,2377,326
"99",2007-02-01,1999,3964,2451,233
"100",2007-03-01,2484,4848,3024,348
"101",2007-04-01,2137,4509,2447,350
"102",2007-05-01,1794,4340,2169,308
"103",2007-06-01,1811,4160,2259,338
"104",2007-07-01,1709,3794,2174,415
"105",2007-08-01,2148,4490,2257,484
"106",2007-09-01,2167,3939,2010,423
"107",2007-10-01,3131,5072,2958,536
"108",2007-11-01,3462,4673,2788,510
"109",2007-12-01,3558,4398,3077,454
"110",2008-01-01,2996,5752,3283,590
"111",2008-02-01,2730,5316,3068,567
"112",2008-03-01,3042,5771,3517,648
"113",2008-04-01,2701,6089,3151,608
"114",2008-05-01,2374,5975,2946,574
"115",2008-06-01,2123,5361,2554,620
"116",2008-07-01,2158,5642,2753,799
"117",2008-08-01,2618,5501,2593,661
"118",2008-09-01,2838,5964,2642,860
"119",2008-10-01,3664,6861,3151,897
"120",2008-11-01,5384,6571,3829,802
"121",2008-12-01,4425,8651,3747,518
"122",2009-01-01,3506,10731,4130,226
"123",2009-02-01,3581,10969,4552,162
"124",2009-03-01,4072,12767,4862,178
"125",2009-04-01,3404,11699,4332,129
"126",2009-05-01,3014,10229,3635,94
"127",2009-06-01,2709,10548,3588,42
"128",2009-07-01,2502,9495,3273,68
"129",2009-08-01,2936,8631,3486,28
"130",2009-09-01,3077,9076,3276,19
"131",2009-10-01,3937,6960,3830,27
"132",2009-11-01,3866,6214,3409,31
"133",2009-12-01,4246,6791,4091,26
"134",2010-01-01,3316,7855,4147,28
"135",2010-02-01,3223,7349,4327,30
"136",2010-03-01,3959,10516,4842,63
"137",2010-04-01,3098,8726,3994,104
"138",2010-05-01,2706,7571,3574,39
"139",2010-06-01,2989,7753,3644,46
"140",2010-07-01,2507,6785,3522,34
"141",2010-08-01,3259,7107,3786,31
"142",2010-09-01,3328,6692,3678,45
"143",2010-10-01,3840,6695,3782,54
"144",2010-11-01,3972,7102,3878,53
"145",2010-12-01,4349,6791,4371,35
"146",2011-01-01,3241,6065,3956,62
"147",2011-02-01,3402,7255,4386,111
"148",2011-03-01,4147,9954,5267,111
"149",2011-04-01,3579,8726,4600,120
"150",2011-05-01,2754,8576,4046,82
"151",2011-06-01,2510,8546,3866,105
"152",2011-07-01,2501,7549,3390,79
"153",2011-08-01,2964,6610,3912,97
"154",2011-09-01,3220,7494,3662,101
"155",2011-10-01,3650,7446,3643,103
"156",2011-11-01,4084,7533,3855,116
"157",2011-12-01,5383,7833,5210,166
"158",2012-01-01,3904,9009,4894,151
"159",2012-02-01,4073,9696,5957,135
"160",2012-03-01,4498,11431,6139,166
"161",2012-04-01,3659,10471,4895,147
