State,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Alabama,4404701,4430141,4452173,4467634,4480089,4503491,4530729,4569805,4628981,4672840,4718206,4757938,4785570,4801627,4817528,4833722,4849377
Alaska,619932,624779,627963,633714,642337,648414,659286,666946,675302,680300,687455,698895,713868,723375,730307,735132,736732
Arizona,4883342,5023823,5160586,5273477,5396255,5510364,5652404,5839077,6029141,6167681,6280362,6343154,6408790,6468796,6551149,6626624,6731484
Arkansas,2626289,2651860,2678588,2691571,2705927,2724816,2749686,2781097,2821761,2848650,2874554,2896843,2922280,2938506,2949828,2959373,2966369
California,32987675,33499204,33987977,34479458,34871843,35253159,35574576,35827943,36021202,36250311,36604337,36961229,37333601,37668681,37999878,38332521,38802500
Colorado,4116639,4226018,4326921,4425687,4490406,4528732,4575013,4631888,4720423,4803868,4889730,4972195,5048196,5118400,5189458,5268367,5355866
Connecticut,3365352,3386401,3411777,3432835,3458749,3484336,3496094,3506956,3517460,3527270,3545579,3561807,3579210,3588948,3591765,3596080,3596677
Delaware,763335,774990,786373,795699,806169,818003,830803,845150,859268,871749,883874,891730,899711,907985,917053,925749,935614
District of Columbia,565230,570213,572046,574504,573158,568502,567754,567136,570681,574404,580236,592228,605125,619624,633427,646449,658893
Florida,15486559,15759421,16047515,16356966,16689370,17004085,17415318,17842038,18166990,18367842,18527305,18652644,18846054,19083482,19320749,19552860,19893297
Georgia,7863536,8045965,8227303,8377038,8508256,8622793,8769252,8925922,9155813,9349988,9504843,9620846,9713248,9810181,9915646,9992167,10097343
Hawaii,1215233,1210300,1213519,1225948,1239613,1251154,1273569,1292729,1309731,1315675,1332213,1346717,1363731,1376897,1390090,1404054,1419561
Idaho,1252330,1275674,1299430,1319962,1340372,1363380,1391802,1428241,1468669,1505105,1534320,1554439,1570718,1583930,1595590,1612136,1634464
Illinois,12271847,12359020,12434161,12488445,12525556,12556006,12589773,12609903,12643955,12695866,12747038,12796778,12839695,12855970,12868192,12882135,12880580
Indiana,5998880,6044969,6091866,6127760,6155967,6196638,6233007,6278616,6332669,6379599,6424806,6459325,6489965,6516336,6537782,6570902,6596855
Iowa,2902872,2917634,2929067,2931997,2934234,2941999,2953635,2964454,2982644,2999212,3016734,3032870,3050314,3064102,3075039,3090416,3107126
Kansas,2660598,2678338,2693681,2702162,2713535,2723004,2734373,2745299,2762931,2783785,2808076,2832704,2858910,2869548,2885398,2893957,2904021
Kentucky,3985390,4018053,4049021,4068132,4089875,4117170,4146101,4182742,4219239,4256672,4289878,4317074,4347698,4366869,4379730,4395295,4413457
Louisiana,4440344,4460811,4471885,4477875,4497267,4521042,4552238,4576628,4302665,4375581,4435586,4491648,4545392,4575197,4602134,4625470,4649676
Maine,1259127,1266808,1277072,1285692,1295960,1306513,1313688,1318787,1323619,1327040,1330509,1329590,1327366,1327844,1328501,1328302,1330089
