month,state,totals
2015-11,Alabama,71137
2015-11,Alaska,7095
2015-11,Arizona,27087
2015-11,Arkansas,25048
2015-11,California,180116
2015-11,Colorado,42271
2015-11,Connecticut,26438
2015-11,Delaware,5040
2015-11,District of Columbia,64
2015-11,Florida,103532
2015-11,Georgia,50795
2015-11,Guam,171
2015-11,Hawaii,1252
2015-11,Idaho,11925
2015-11,Illinois,129861
2015-11,Indiana,130333
2015-11,Iowa,13794
2015-11,Kansas,18433
2015-11,Kentucky,295891
2015-11,Louisiana,37752
2015-11,Maine,9297
2015-11,Mariana Islands,0
2015-11,Maryland,13463
2015-11,Massachusetts,15885
2015-11,Michigan,50278
2015-11,Minnesota,44023
2015-11,Mississippi,27504
2015-11,Missouri,55031
2015-11,Montana,10415
2015-11,Nebraska,8299
2015-11,Nevada,10632
2015-11,New Hampshire,12850
2015-11,New Jersey,8313
2015-11,New Mexico,12721
2015-11,New York,36421
2015-11,North Carolina,49217
2015-11,North Dakota,6288
2015-11,Ohio,81616
2015-11,Oklahoma,35457
2015-11,Oregon,25453
2015-11,Pennsylvania,103836
2015-11,Puerto Rico,1242
2015-11,Rhode Island,2101
2015-11,South Carolina,32064
2015-11,South Dakota,9727
2015-11,Tennessee,63670
2015-11,Texas,146982
2015-11,Utah,21772
2015-11,Vermont,3136
2015-11,Virgin Islands,109
2015-11,Virginia,48010
2015-11,Washington,43989
2015-11,West Virginia,25063
2015-11,Wisconsin,38541
2015-11,Wyoming,5017
2015-10,Alabama,61156
2015-10,Alaska,9941
2015-10,Arizona,26501
2015-10,Arkansas,23409
2015-10,California,163211
2015-10,Colorado,37785
2015-10,Connecticut,23918
2015-10,Delaware,4052
2015-10,District of Columbia,76
2015-10,Florida,94518
2015-10,Georgia,45420
2015-10,Guam,213
2015-10,Hawaii,1380
2015-10,Idaho,11986
2015-10,Illinois,95886
2015-10,Indiana,100220
2015-10,Iowa,10725
2015-10,Kansas,14469
2015-10,Kentucky,276162
2015-10,Louisiana,33300
2015-10,Maine,11245
2015-10,Mariana Islands,1
2015-10,Maryland,11832
2015-10,Massachusetts,13947
2015-10,Michigan,43822
2015-10,Minnesota,50060
2015-10,Mississippi,20862
2015-10,Missouri,49890
2015-10,Montana,12988
2015-10,Nebraska,6880
2015-10,Nevada,9456
2015-10,New Hampshire,11664
2015-10,New Jersey,7315
2015-10,New Mexico,12381
2015-10,New York,33282
2015-10,North Carolina,46020
2015-10,North Dakota,7547
2015-10,Ohio,62456
2015-10,Oklahoma,28582
2015-10,Oregon,25405
2015-10,Pennsylvania,82552
2015-10,Puerto Rico,1288
2015-10,Rhode Island,1944
2015-10,South Carolina,26030
2015-10,South Dakota,10920
2015-10,Tennessee,51134
2015-10,Texas,126327
2015-10,Utah,19046
2015-10,Vermont,3259
2015-10,Virgin Islands,100
2015-10,Virginia,38959
2015-10,Washington,45061
2015-10,West Virginia,21388
2015-10,Wisconsin,36111
2015-10,Wyoming,5166
2015-09,Alabama,56228
2015-09,Alaska,6195
2015-09,Arizona,25464
2015-09,Arkansas,21834
2015-09,California,125441
2015-09,Colorado,34229
2015-09,Connecticut,21775
2015-09,Delaware,3360
2015-09,District of Columbia,41
2015-09,Florida,85246
2015-09,Georgia,41685
2015-09,Guam,181
2015-09,Hawaii,1270
2015-09,Idaho,11078
2015-09,Illinois,94476
2015-09,Indiana,83928
2015-09,Iowa,9865
2015-09,Kansas,12731
2015-09,Kentucky,262693
2015-09,Louisiana,39053
2015-09,Maine,8648
2015-09,Mariana Islands,1
2015-09,Maryland,8912
2015-09,Massachusetts,12092
2015-09,Michigan,48331
2015-09,Minnesota,43688
2015-09,Mississippi,23398
2015-09,Missouri,40511
2015-09,Montana,11302
2015-09,Nebraska,5433
2015-09,Nevada,9821
2015-09,New Hampshire,10094
2015-09,New Jersey,6056
2015-09,New Mexico,11570
2015-09,New York,28204
2015-09,North Carolina,42348
2015-09,North Dakota,5619
2015-09,Ohio,53928
2015-09,Oklahoma,25154
2015-09,Oregon,21650
2015-09,Pennsylvania,70156
2015-09,Puerto Rico,1300
2015-09,Rhode Island,1566
2015-09,South Carolina,24395
2015-09,South Dakota,7949
2015-09,Tennessee,52313
2015-09,Texas,122503
2015-09,Utah,22343
2015-09,Vermont,2681
2015-09,Virgin Islands,134
2015-09,Virginia,34030
2015-09,Washington,40441
2015-09,West Virginia,17801
2015-09,Wisconsin,30630
2015-09,Wyoming,4968
2015-08,Alabama,62770
2015-08,Alaska,6976
2015-08,Arizona,25003
2015-08,Arkansas,21087
2015-08,California,125122
2015-08,Colorado,36156
2015-08,Connecticut,21514
2015-08,Delaware,3459
2015-08,District of Columbia,67
2015-08,Florida,87429
2015-08,Georgia,40519
2015-08,Guam,147
2015-08,Hawaii,1175
2015-08,Idaho,9792
2015-08,Illinois,94314
2015-08,Indiana,66212
2015-08,Iowa,8592
2015-08,Kansas,13366
2015-08,Kentucky,286463
2015-08,Louisiana,30880
2015-08,Maine,7283
2015-08,Mariana Islands,1
2015-08,Maryland,8606
2015-08,Massachusetts,12792
2015-08,Michigan,33600
2015-08,Minnesota,39036
2015-08,Mississippi,18376
2015-08,Missouri,40259
2015-08,Montana,10130
2015-08,Nebraska,5418
2015-08,Nevada,8818
2015-08,New Hampshire,10185
2015-08,New Jersey,6537
2015-08,New Mexico,11179
2015-08,New York,23978
2015-08,North Carolina,39565
2015-08,North Dakota,5148
2015-08,Ohio,51999
2015-08,Oklahoma,26376
2015-08,Oregon,19393
2015-08,Pennsylvania,69162
2015-08,Puerto Rico,1357
2015-08,Rhode Island,1477
2015-08,South Carolina,25047
2015-08,South Dakota,7369
2015-08,Tennessee,49128
2015-08,Texas,122233
2015-08,Utah,19717
2015-08,Vermont,2466
2015-08,Virgin Islands,100
2015-08,Virginia,32147
2015-08,Washington,36031
2015-08,West Virginia,16720
2015-08,Wisconsin,28396
2015-08,Wyoming,4839
2015-07,Alabama,56762
2015-07,Alaska,6029
2015-07,Arizona,23779
2015-07,Arkansas,17694
2015-07,California,140365
2015-07,Colorado,31280
2015-07,Connecticut,22195
2015-07,Delaware,3275
2015-07,District of Columbia,64
2015-07,Florida,83877
2015-07,Georgia,39608
2015-07,Guam,186
2015-07,Hawaii,1157
2015-07,Idaho,8675
2015-07,Illinois,95297
2015-07,Indiana,52154
2015-07,Iowa,8356
2015-07,Kansas,12248
2015-07,Kentucky,220018
2015-07,Louisiana,23822
2015-07,Maine,6549
2015-07,Mariana Islands,1
2015-07,Maryland,8595
2015-07,Massachusetts,11898
2015-07,Michigan,32153
2015-07,Minnesota,31732
2015-07,Mississippi,16575
2015-07,Missouri,37539
2015-07,Montana,8713
2015-07,Nebraska,4596
2015-07,Nevada,8829
2015-07,New Hampshire,9404
2015-07,New Jersey,6588
2015-07,New Mexico,10404
2015-07,New York,21821
2015-07,North Carolina,37651
2015-07,North Dakota,4593
2015-07,Ohio,49952
2015-07,Oklahoma,23594
2015-07,Oregon,18003
2015-07,Pennsylvania,65250
2015-07,Puerto Rico,1342
2015-07,Rhode Island,1461
2015-07,South Carolina,25017
2015-07,South Dakota,5914
2015-07,Tennessee,57873
2015-07,Texas,106013
2015-07,Utah,17259
2015-07,Vermont,2219
2015-07,Virgin Islands,159
2015-07,Virginia,32419
2015-07,Washington,34177
2015-07,West Virginia,15607
2015-07,Wisconsin,24350
2015-07,Wyoming,4371
2015-06,Alabama,45952
2015-06,Alaska,5830
2015-06,Arizona,22999
2015-06,Arkansas,15372
2015-06,California,112704
2015-06,Colorado,31777
2015-06,Connecticut,24605
2015-06,Delaware,3332
2015-06,District of Columbia,49
2015-06,Florida,79101
2015-06,Georgia,34674
2015-06,Guam,184
2015-06,Hawaii,1213
2015-06,Idaho,9373
2015-06,Illinois,80431
2015-06,Indiana,62755
2015-06,Iowa,7359
2015-06,Kansas,10463
2015-06,Kentucky,242027
2015-06,Louisiana,21042
2015-06,Maine,6151
2015-06,Mariana Islands,2
2015-06,Maryland,8826
2015-06,Massachusetts,11383
2015-06,Michigan,30723
2015-06,Minnesota,33553
2015-06,Mississippi,13111
2015-06,Missouri,37010
2015-06,Montana,8529
2015-06,Nebraska,4369
2015-06,Nevada,9186
2015-06,New Hampshire,9881
2015-06,New Jersey,7007
2015-06,New Mexico,9969
2015-06,New York,22717
2015-06,North Carolina,33889
2015-06,North Dakota,4481
2015-06,Ohio,49297
2015-06,Oklahoma,21793
2015-06,Oregon,17765
2015-06,Pennsylvania,64122
2015-06,Puerto Rico,1499
2015-06,Rhode Island,1512
2015-06,South Carolina,20763
2015-06,South Dakota,5645
2015-06,Tennessee,42558
2015-06,Texas,106461
2015-06,Utah,20684
2015-06,Vermont,2135
2015-06,Virgin Islands,104
2015-06,Virginia,27904
2015-06,Washington,32783
2015-06,West Virginia,14695
2015-06,Wisconsin,22715
2015-06,Wyoming,4388
2015-05,Alabama,45128
2015-05,Alaska,6168
2015-05,Arizona,24503
2015-05,Arkansas,16258
2015-05,California,119574
2015-05,Colorado,33062
2015-05,Connecticut,24571
2015-05,Delaware,3683
2015-05,District of Columbia,53
2015-05,Florida,77601
2015-05,Georgia,32956
2015-05,Guam,148
2015-05,Hawaii,1145
2015-05,Idaho,9975
2015-05,Illinois,76538
2015-05,Indiana,64608
2015-05,Iowa,7597
2015-05,Kansas,12249
2015-05,Kentucky,271614
2015-05,Louisiana,20941
2015-05,Maine,5860
2015-05,Mariana Islands,1
2015-05,Maryland,8105
2015-05,Massachusetts,11907
2015-05,Michigan,32961
2015-05,Minnesota,37779
2015-05,Mississippi,13803
2015-05,Missouri,37565
2015-05,Montana,9364
2015-05,Nebraska,4500
2015-05,Nevada,9959
2015-05,New Hampshire,10564
2015-05,New Jersey,6704
2015-05,New Mexico,11021
2015-05,New York,21977
2015-05,North Carolina,32357
2015-05,North Dakota,4683
2015-05,Ohio,49428
2015-05,Oklahoma,23210
2015-05,Oregon,19292
2015-05,Pennsylvania,62676
2015-05,Puerto Rico,1477
2015-05,Rhode Island,1543
2015-05,South Carolina,20254
2015-05,South Dakota,6436
2015-05,Tennessee,40597
2015-05,Texas,111012
2015-05,Utah,18544
2015-05,Vermont,2172
2015-05,Virgin Islands,118
2015-05,Virginia,28447
2015-05,Washington,33943
2015-05,West Virginia,15288
2015-05,Wisconsin,24362
2015-05,Wyoming,4612
2015-04,Alabama,46971
2015-04,Alaska,7030
2015-04,Arizona,24762
2015-04,Arkansas,17135
2015-04,California,114686
2015-04,Colorado,34688
2015-04,Connecticut,26677
2015-04,Delaware,3665
2015-04,District of Columbia,51
2015-04,Florida,81456
2015-04,Georgia,35901
2015-04,Guam,146
2015-04,Hawaii,1329
2015-04,Idaho,10686
2015-04,Illinois,118541
2015-04,Indiana,67791
2015-04,Iowa,11113
2015-04,Kansas,14044
2015-04,Kentucky,253890
2015-04,Louisiana,21000
2015-04,Maine,6608
2015-04,Mariana Islands,2
2015-04,Maryland,10464
2015-04,Massachusetts,14211
2015-04,Michigan,36840
2015-04,Minnesota,44682
2015-04,Mississippi,14292
2015-04,Missouri,42187
2015-04,Montana,9473
2015-04,Nebraska,5325
2015-04,Nevada,9830
2015-04,New Hampshire,10849
2015-04,New Jersey,7594
2015-04,New Mexico,11299
2015-04,New York,26818
2015-04,North Carolina,37520
2015-04,North Dakota,5225
2015-04,Ohio,59965
2015-04,Oklahoma,26152
2015-04,Oregon,20563
2015-04,Pennsylvania,74820
2015-04,Puerto Rico,1168
2015-04,Rhode Island,1710
2015-04,South Carolina,22801
2015-04,South Dakota,6951
2015-04,Tennessee,44972
2015-04,Texas,106032
2015-04,Utah,20361
2015-04,Vermont,3081
2015-04,Virgin Islands,115
2015-04,Virginia,31657
2015-04,Washington,38008
2015-04,West Virginia,18739
2015-04,Wisconsin,31164
2015-04,Wyoming,4697
2015-03,Alabama,57152
2015-03,Alaska,7223
2015-03,Arizona,28402
2015-03,Arkansas,20397
2015-03,California,199833
2015-03,Colorado,37740
2015-03,Connecticut,30302
2015-03,Delaware,4610
2015-03,District of Columbia,68
2015-03,Florida,93683
2015-03,Georgia,48200
2015-03,Guam,161
2015-03,Hawaii,1344
2015-03,Idaho,12234
2015-03,Illinois,96770
2015-03,Indiana,83305
2015-03,Iowa,14948
2015-03,Kansas,16337
2015-03,Kentucky,281518
2015-03,Louisiana,26788
2015-03,Maine,7438
2015-03,Mariana Islands,2
2015-03,Maryland,10656
2015-03,Massachusetts,16296
2015-03,Michigan,43233
2015-03,Minnesota,51987
2015-03,Mississippi,18635
2015-03,Missouri,52566
2015-03,Montana,10863
2015-03,Nebraska,6796
2015-03,Nevada,11192
2015-03,New Hampshire,11780
2015-03,New Jersey,8529
2015-03,New Mexico,13587
2015-03,New York,29889
2015-03,North Carolina,45196
2015-03,North Dakota,6517
2015-03,Ohio,62389
2015-03,Oklahoma,29926
2015-03,Oregon,23895
2015-03,Pennsylvania,92329
2015-03,Puerto Rico,1377
2015-03,Rhode Island,1953
2015-03,South Carolina,26546
2015-03,South Dakota,8923
2015-03,Tennessee,40064
2015-03,Texas,129368
2015-03,Utah,23422
2015-03,Vermont,3115
2015-03,Virgin Islands,96
2015-03,Virginia,39427
2015-03,Washington,43542
2015-03,West Virginia,25804
2015-03,Wisconsin,37433
2015-03,Wyoming,5459
2015-02,Alabama,62220
