Month,US,CT
Dec-98,2.19,1.83
Jan-99,2.25,1.89
Feb-99,2.45,2.3
Mar-99,2.52,1.97
Apr-99,2.53,2.43
May-99,2.65,2.46
Jun-99,2.65,2.2
Jul-99,2.67,1.95
Aug-99,2.7,2.22
Sep-99,2.68,2.07
Oct-99,2.76,1.98
Nov-99,2.91,1.97
Dec-99,3.1,2.26
Jan-00,2.42,2.28
Feb-00,2.44,2
Mar-00,2.38,2.22
Apr-00,2.45,2.02
May-00,2.39,2
Jun-00,2.49,2.15
Jul-00,2.52,2.33
Aug-00,2.51,2.27
Sep-00,2.52,2.12
Oct-00,2.46,1.98
Nov-00,2.49,2.11
Dec-00,2.42,2.06
Jan-01,2.44,1.96
Feb-01,2.33,1.9
Mar-01,2.46,1.88
Apr-01,2.4,1.96
May-01,2.41,2.03
Jun-01,2.47,2.11
Jul-01,2.5,2.13
Aug-01,2.55,1.95
Sep-01,2.78,2.5
Oct-01,2.87,2.7
Nov-01,2.68,2.55
Dec-01,2.61,2.45
Jan-02,2.46,2.46
Feb-02,2.39,2.23
Mar-02,2.4,2.25
Apr-02,2.48,2.24
May-02,2.5,2.27
Jun-02,2.36,2.29
Jul-02,2.41,2.17
Aug-02,2.46,2.33
Sep-02,2.39,2.2
Oct-02,2.37,2.3
Nov-02,2.42,2.33
Dec-02,2.38,2.06
Jan-03,2.36,2.13
Feb-03,2.44,2.24
Mar-03,2.45,2.42
Apr-03,2.4,2.27
May-03,2.43,2.42
Jun-03,2.45,2.38
Jul-03,2.36,2.55
Aug-03,2.41,2.54
Sep-03,2.41,2.42
Oct-03,2.42,2.65
Nov-03,2.35,2.45
Dec-03,2.39,2.47
Jan-04,2.43,2.59
Feb-04,2.46,2.65
Mar-04,2.31,2.49
Apr-04,2.39,2.3
May-04,2.36,2.28
Jun-04,2.41,2.37
Jul-04,2.42,2.46
Aug-04,2.42,2.36
Sep-04,2.38,2.35
Oct-04,2.45,2.35
Nov-04,2.5,2.19
Dec-04,2.52,2.34
Jan-05,2.4,2.11
Feb-05,2.43,2.35
Mar-05,2.46,2.24
Apr-05,2.42,2.48
May-05,2.4,2.35
Jun-05,2.41,2.31
Jul-05,2.41,2.4
Aug-05,2.45,2.32
Sep-05,2.55,2.48
Oct-05,2.54,2.33
Nov-05,2.6,2.36
Dec-05,2.71,2.24
Jan-06,2.69,2.23
Feb-06,2.64,2.29
Mar-06,2.68,2.19
Apr-06,2.59,2.18
May-06,2.6,2.23
Jun-06,2.62,2.33
Jul-06,2.74,2.38
Aug-06,2.93,2.35
Sep-06,3,2.45
Oct-06,2.94,2.32
Nov-06,2.97,2.41
Dec-06,3,2.58
Jan-07,3.05,2.48
Feb-07,2.9,2.38
Mar-07,3.05,2.38
Apr-07,3.08,2.52
May-07,3.21,2.54
Jun-07,3.27,2.75
Jul-07,3.19,2.76
Aug-07,3.21,2.93
Sep-07,3.21,2.86
Oct-07,3.09,3.22
Nov-07,3.1,3.16
Dec-07,3.1,3.11
Jan-08,3.12,3.29
Feb-08,3.15,2.97
Mar-08,3.13,2.95
Apr-08,3.25,3.24
May-08,3.41,3.5
Jun-08,3.42,3.34
Jul-08,3.57,3.66
Aug-08,3.36,3.68
Sep-08,3.41,3.85
Oct-08,3.63,4.14
Nov-08,4.53,4.81
Dec-08,3.8,4.62
Jan-09,3.92,5.01
Feb-09,3.9,5.24
Mar-09,4,5.15
Apr-09,4.05,5.09
May-09,3.86,4.92
Jun-09,3.9,4.94
Jul-09,3.82,4.78
Aug-09,3.83,4.7
Sep-09,3.81,4.75
Oct-09,3.75,4.37
Nov-09,3.73,3.97
Dec-09,3.54,4.01
Jan-10,3.58,4.22
Feb-10,3.67,4.01
Mar-10,3.77,4.22
Apr-10,3.96,4
May-10,3.86,4.01
Jun-10,3.93,4.2
Jul-10,4.1,4.15
Aug-10,3.92,4.36
Sep-10,4.02,4.29
Oct-10,4.25,4.41
Nov-10,3.91,4.33
Dec-10,3.83,4.06
Jan-11,4.21,3.68
Feb-11,4.12,4.05
Mar-11,4.1,4.11
Apr-11,4.29,4.29
May-11,4.61,4.33
Jun-11,4.51,4.35
Jul-11,4.45,4.44
Aug-11,4.64,4.15
Sep-11,4.42,4.59
Oct-11,4.4,4.67
Nov-11,4.56,4.55
Dec-11,4.51,4.91
Jan-12,4.36,4.85
Feb-12,4.66,5.11
Mar-12,4.51,4.79
Apr-12,4.68,4.81
May-12,4.81,5.03
Jun-12,5.03,5.07
Jul-12,5.2,5.25
Aug-12,5.37,5.53
Sep-12,5.35,5.53
Oct-12,5.28,5.79
Nov-12,5.88,6.58
Dec-12,6.84,7.92
Jan-13,7.48,8.63
Feb-13,5.9,6.52
Mar-13,5.82,7.21
Apr-13,5.47,7.56
May-13,5.26,6.15
Jun-13,5.03,6.55
Jul-13,5,6.85
Aug-13,4.99,6.93
Sep-13,5.21,6.8
Oct-13,5.49,6.23
Nov-13,5.29,6.7
Dec-13,4.99,5.69
Jan-14,4.98,7.73
Feb-14,5.44,8.1
Mar-14,6.49,8.64
Apr-14,5.46,5.06
May-14,5.31,3.94
Jun-14,5.44,3.93
Jul-14,5.37,4.17
Aug-14,5.38,5.09
Sep-14,5.27,6.86
Oct-14,5.23,7.33
Nov-14,5.29,6.93
Dec-14,5.43,7.22
Jan-15,5.31,6.74
Feb-15,5.04,6.64
Mar-15,5.31,6.82
Apr-15,5.37,6.74
May-15,5.71,6.85
Jun-15,5.9,7.02
Jul-15,6.11,6.89
Aug-15,6.16,6.6
Sep-15,6.38,6.85
Oct-15,6.36,7.24
Nov-15,6.66,7.66
