	Month	State	Per.Capita
1	1998-12	US	2.19
2	1999-01	US	2.25
3	1999-02	US	2.45
4	1999-03	US	2.52
5	1999-04	US	2.53
6	1999-05	US	2.65
7	1999-06	US	2.65
8	1999-07	US	2.67
9	1999-08	US	2.7
10	1999-09	US	2.68
11	1999-10	US	2.76
12	1999-11	US	2.91
13	1999-12	US	3.1
14	2000-01	US	2.42
15	2000-02	US	2.44
16	2000-03	US	2.38
17	2000-04	US	2.45
18	2000-05	US	2.39
19	2000-06	US	2.49
20	2000-07	US	2.52
21	2000-08	US	2.51
22	2000-09	US	2.52
23	2000-10	US	2.46
24	2000-11	US	2.49
25	2000-12	US	2.42
26	2001-01	US	2.44
27	2001-02	US	2.33
28	2001-03	US	2.46
29	2001-04	US	2.4
30	2001-05	US	2.41
31	2001-06	US	2.47
32	2001-07	US	2.5
33	2001-08	US	2.55
34	2001-09	US	2.78
35	2001-10	US	2.87
36	2001-11	US	2.68
37	2001-12	US	2.61
38	2002-01	US	2.46
39	2002-02	US	2.39
40	2002-03	US	2.4
41	2002-04	US	2.48
42	2002-05	US	2.5
43	2002-06	US	2.36
44	2002-07	US	2.41
45	2002-08	US	2.46
46	2002-09	US	2.39
47	2002-10	US	2.37
48	2002-11	US	2.42
49	2002-12	US	2.38
50	2003-01	US	2.36
51	2003-02	US	2.44
52	2003-03	US	2.45
53	2003-04	US	2.4
54	2003-05	US	2.43
55	2003-06	US	2.45
56	2003-07	US	2.36
57	2003-08	US	2.41
58	2003-09	US	2.41
59	2003-10	US	2.42
60	2003-11	US	2.35
61	2003-12	US	2.39
62	2004-01	US	2.43
63	2004-02	US	2.46
64	2004-03	US	2.31
65	2004-04	US	2.39
66	2004-05	US	2.36
67	2004-06	US	2.41
68	2004-07	US	2.42
69	2004-08	US	2.42
70	2004-09	US	2.38
71	2004-10	US	2.45
72	2004-11	US	2.5
73	2004-12	US	2.52
74	2005-01	US	2.4
75	2005-02	US	2.43
76	2005-03	US	2.46
77	2005-04	US	2.42
78	2005-05	US	2.4
79	2005-06	US	2.41
80	2005-07	US	2.41
81	2005-08	US	2.45
82	2005-09	US	2.55
83	2005-10	US	2.54
84	2005-11	US	2.6
85	2005-12	US	2.71
86	2006-01	US	2.69
87	2006-02	US	2.64
88	2006-03	US	2.68
89	2006-04	US	2.59
90	2006-05	US	2.6
91	2006-06	US	2.62
92	2006-07	US	2.74
93	2006-08	US	2.93
94	2006-09	US	3
95	2006-10	US	2.94
96	2006-11	US	2.97
97	2006-12	US	3
98	2007-01	US	3.05
99	2007-02	US	2.9
100	2007-03	US	3.05
101	2007-04	US	3.08
102	2007-05	US	3.21
103	2007-06	US	3.27
104	2007-07	US	3.19
105	2007-08	US	3.21
106	2007-09	US	3.21
107	2007-10	US	3.09
108	2007-11	US	3.1
109	2007-12	US	3.1
110	2008-01	US	3.12
111	2008-02	US	3.15
112	2008-03	US	3.13
113	2008-04	US	3.25
114	2008-05	US	3.41
115	2008-06	US	3.42
116	2008-07	US	3.57
117	2008-08	US	3.36
118	2008-09	US	3.41
119	2008-10	US	3.63
120	2008-11	US	4.53
121	2008-12	US	3.8
122	2009-01	US	3.92
123	2009-02	US	3.9
124	2009-03	US	4
125	2009-04	US	4.05
126	2009-05	US	3.86
127	2009-06	US	3.9
128	2009-07	US	3.82
129	2009-08	US	3.83
130	2009-09	US	3.81
131	2009-10	US	3.75
132	2009-11	US	3.73
133	2009-12	US	3.54
134	2010-01	US	3.58
135	2010-02	US	3.67
136	2010-03	US	3.77
137	2010-04	US	3.96
138	2010-05	US	3.86
139	2010-06	US	3.93
140	2010-07	US	4.1
141	2010-08	US	3.92
142	2010-09	US	4.02
143	2010-10	US	4.25
144	2010-11	US	3.91
145	2010-12	US	3.83
146	2011-01	US	4.21
147	2011-02	US	4.12
148	2011-03	US	4.1
149	2011-04	US	4.29
150	2011-05	US	4.61
151	2011-06	US	4.51
152	2011-07	US	4.45
153	2011-08	US	4.64
154	2011-09	US	4.42
155	2011-10	US	4.4
156	2011-11	US	4.56
157	2011-12	US	4.51
158	2012-01	US	4.36
159	2012-02	US	4.66
160	2012-03	US	4.51
161	2012-04	US	4.68
162	2012-05	US	4.81
163	2012-06	US	5.03
164	2012-07	US	5.2
165	2012-08	US	5.37
166	2012-09	US	5.35
167	2012-10	US	5.28
168	2012-11	US	5.88
169	2012-12	US	6.84
170	2013-01	US	7.48
171	2013-02	US	5.9
172	2013-03	US	5.82
173	2013-04	US	5.47
174	2013-05	US	5.26
175	2013-06	US	5.03
176	2013-07	US	5
177	2013-08	US	4.99
178	2013-09	US	5.21
179	2013-10	US	5.49
180	2013-11	US	5.29
181	2013-12	US	4.99
182	2014-01	US	4.98
183	2014-02	US	5.44
184	2014-03	US	6.49
185	2014-04	US	5.46
186	2014-05	US	5.31
187	2014-06	US	5.44
188	2014-07	US	5.37
189	2014-08	US	5.38
190	2014-09	US	5.27
191	2014-10	US	5.23
192	2014-11	US	5.29
193	2014-12	US	5.43
194	2015-01	US	5.31
195	2015-02	US	5.04
196	2015-03	US	5.31
197	2015-04	US	5.37
198	2015-05	US	5.71
199	2015-06	US	5.9
200	2015-07	US	6.11
201	2015-08	US	6.16
202	2015-09	US	6.38
203	2015-10	US	6.36
204	2015-11	US	6.66
205	1998-12	Alabama	4.59
206	1999-01	Alabama	4.54
207	1999-02	Alabama	4.63
208	1999-03	Alabama	4.65
209	1999-04	Alabama	4.53
210	1999-05	Alabama	4.59
211	1999-06	Alabama	4.57
212	1999-07	Alabama	4.5
213	1999-08	Alabama	4.48
214	1999-09	Alabama	4.44
215	1999-10	Alabama	4.48
216	1999-11	Alabama	4.45
217	1999-12	Alabama	5.61
218	2000-01	Alabama	4.36
219	2000-02	Alabama	4.23
220	2000-03	Alabama	4.15
221	2000-04	Alabama	4.29
222	2000-05	Alabama	4.16
223	2000-06	Alabama	4.15
224	2000-07	Alabama	4.16
225	2000-08	Alabama	4.17
226	2000-09	Alabama	4.11
227	2000-10	Alabama	4.01
228	2000-11	Alabama	4.14
229	2000-12	Alabama	4.17
230	2001-01	Alabama	4.19
231	2001-02	Alabama	4.22
232	2001-03	Alabama	4.29
233	2001-04	Alabama	4.19
234	2001-05	Alabama	4.24
235	2001-06	Alabama	4.24
236	2001-07	Alabama	4.31
237	2001-08	Alabama	4.26
238	2001-09	Alabama	4.46
239	2001-10	Alabama	4.5
240	2001-11	Alabama	4.27
241	2001-12	Alabama	4.28
242	2002-01	Alabama	4.25
243	2002-02	Alabama	4.19
244	2002-03	Alabama	4.17
245	2002-04	Alabama	4.24
246	2002-05	Alabama	4.23
247	2002-06	Alabama	4.21
248	2002-07	Alabama	4.14
249	2002-08	Alabama	4.18
250	2002-09	Alabama	4.1
251	2002-10	Alabama	4.02
252	2002-11	Alabama	4.16
253	2002-12	Alabama	4.09
254	2003-01	Alabama	4.14
255	2003-02	Alabama	4.25
256	2003-03	Alabama	4.19
257	2003-04	Alabama	4.16
258	2003-05	Alabama	4.16
259	2003-06	Alabama	4.17
260	2003-07	Alabama	4.19
261	2003-08	Alabama	4.19
262	2003-09	Alabama	4.15
263	2003-10	Alabama	4.17
264	2003-11	Alabama	4.14
265	2003-12	Alabama	4.2
266	2004-01	Alabama	4.21
267	2004-02	Alabama	4.17
268	2004-03	Alabama	4.18
269	2004-04	Alabama	4.17
270	2004-05	Alabama	4.17
271	2004-06	Alabama	4.2
272	2004-07	Alabama	4.21
273	2004-08	Alabama	4.26
274	2004-09	Alabama	4.09
275	2004-10	Alabama	4.29
276	2004-11	Alabama	4.2
277	2004-12	Alabama	4.13
278	2005-01	Alabama	4.19
279	2005-02	Alabama	4.19
280	2005-03	Alabama	4.23
281	2005-04	Alabama	4.29
282	2005-05	Alabama	4.27
283	2005-06	Alabama	4.29
284	2005-07	Alabama	4.26
285	2005-08	Alabama	4.2
286	2005-09	Alabama	4.46
287	2005-10	Alabama	4.31
288	2005-11	Alabama	4.37
289	2005-12	Alabama	4.57
290	2006-01	Alabama	4.41
291	2006-02	Alabama	4.42
292	2006-03	Alabama	4.44
293	2006-04	Alabama	4.34
294	2006-05	Alabama	4.41
295	2006-06	Alabama	4.38
296	2006-07	Alabama	4.44
297	2006-08	Alabama	4.44
298	2006-09	Alabama	4.39
299	2006-10	Alabama	4.43
300	2006-11	Alabama	4.48
301	2006-12	Alabama	4.43
302	2007-01	Alabama	4.44
303	2007-02	Alabama	4.35
304	2007-03	Alabama	4.26
305	2007-04	Alabama	4.44
306	2007-05	Alabama	4.38
307	2007-06	Alabama	4.44
308	2007-07	Alabama	4.42
309	2007-08	Alabama	4.49
310	2007-09	Alabama	4.56
311	2007-10	Alabama	4.45
312	2007-11	Alabama	4.53
313	2007-12	Alabama	4.5
314	2008-01	Alabama	4.69
315	2008-02	Alabama	4.86
316	2008-03	Alabama	4.94
317	2008-04	Alabama	4.97
318	2008-05	Alabama	5.04
319	2008-06	Alabama	5.07
320	2008-07	Alabama	5.04
321	2008-08	Alabama	4.99
322	2008-09	Alabama	4.92
323	2008-10	Alabama	5.07
324	2008-11	Alabama	7.14
325	2008-12	Alabama	6.12
326	2009-01	Alabama	6.04
327	2009-02	Alabama	5.76
328	2009-03	Alabama	5.86
329	2009-04	Alabama	5.68
330	2009-05	Alabama	5.64
331	2009-06	Alabama	5.47
332	2009-07	Alabama	5.57
333	2009-08	Alabama	5.51
334	2009-09	Alabama	5.52
335	2009-10	Alabama	5.47
336	2009-11	Alabama	5.31
337	2009-12	Alabama	5.33
338	2010-01	Alabama	5.27
339	2010-02	Alabama	5.43
340	2010-03	Alabama	5.32
341	2010-04	Alabama	5.37
342	2010-05	Alabama	5.32
343	2010-06	Alabama	5.36
344	2010-07	Alabama	5.34
345	2010-08	Alabama	5.44
346	2010-09	Alabama	5.37
347	2010-10	Alabama	5.39
348	2010-11	Alabama	5.43
349	2010-12	Alabama	5.26
350	2011-01	Alabama	5.53
351	2011-02	Alabama	5.43
352	2011-03	Alabama	5.55
353	2011-04	Alabama	5.61
354	2011-05	Alabama	5.72
355	2011-06	Alabama	5.85
356	2011-07	Alabama	5.78
357	2011-08	Alabama	5.8
358	2011-09	Alabama	6.04
359	2011-10	Alabama	6.01
360	2011-11	Alabama	6.3
361	2011-12	Alabama	6.36
362	2012-01	Alabama	6.38
363	2012-02	Alabama	6.53
364	2012-03	Alabama	6.59
365	2012-04	Alabama	6.77
366	2012-05	Alabama	6.82
367	2012-06	Alabama	6.87
368	2012-07	Alabama	7.03
369	2012-08	Alabama	7.14
370	2012-09	Alabama	7.02
371	2012-10	Alabama	7.11
372	2012-11	Alabama	9.21
373	2012-12	Alabama	11.85
374	2013-01	Alabama	11.73
375	2013-02	Alabama	8.78
376	2013-03	Alabama	8.62
377	2013-04	Alabama	8.49
378	2013-05	Alabama	8.54
379	2013-06	Alabama	7.81
380	2013-07	Alabama	8.47
381	2013-08	Alabama	11.06
382	2013-09	Alabama	10.97
383	2013-10	Alabama	11
384	2013-11	Alabama	10.87
385	2013-12	Alabama	10.97
386	2014-01	Alabama	10.87
387	2014-02	Alabama	10.86
388	2014-03	Alabama	10.87
389	2014-04	Alabama	10.83
390	2014-05	Alabama	10.64
391	2014-06	Alabama	10.61
392	2014-07	Alabama	10.62
393	2014-08	Alabama	10.56
394	2014-09	Alabama	10.68
395	2014-10	Alabama	10.71
396	2014-11	Alabama	10.55
397	2014-12	Alabama	10.63
398	2015-01	Alabama	10.7
399	2015-02	Alabama	10.71
400	2015-03	Alabama	10.81
401	2015-04	Alabama	10.87
402	2015-05	Alabama	11.01
403	2015-06	Alabama	11.1
404	2015-07	Alabama	13.04
405	2015-08	Alabama	14.23
406	2015-09	Alabama	13.14
407	2015-10	Alabama	13.17
408	2015-11	Alabama	13.43
409	1998-12	Alaska	5.38
410	1999-01	Alaska	5.61
411	1999-02	Alaska	5.47
412	1999-03	Alaska	5.65
