"","Month","Long_Gun","permit","handgun","other"
"1",1998-12-01,353471,76622,175913,7526
"2",1999-01-01,366427,75142,180575,12872
"3",1999-02-01,382963,81620,192310,17527
"4",1999-03-01,395108,88621,197232,18533
"5",1999-04-01,398294,86882,199375,17576
"6",1999-05-01,418400,86904,207343,20307
"7",1999-06-01,427216,83496,208691,21405
"8",1999-07-01,432565,78815,214567,19293
"9",1999-08-01,434630,85244,215930,22896
"10",1999-09-01,441455,87977,217417,20749
"11",1999-10-01,452752,88971,227260,20703
"12",1999-11-01,463313,93089,226658,24423
"13",1999-12-01,474508,101242,237402,30673
"14",2000-01-01,382392,98051,179521,21538
"15",2000-02-01,392935,95379,181803,19738
"16",2000-03-01,375414,98189,177428,20082
"17",2000-04-01,395055,100673,183519,20523
"18",2000-05-01,383210,100409,177971,21023
"19",2000-06-01,390983,108293,183896,19512
"20",2000-07-01,398463,108738,182300,21466
"21",2000-08-01,397795,107704,182542,18920
"22",2000-09-01,400760,107103,184421,16884
"23",2000-10-01,395600,106125,176380,17177
"24",2000-11-01,395978,102125,181813,11691
"25",2000-12-01,387000,93739,179781,18422
"26",2001-01-01,397001,107542,178541,18918
"27",2001-02-01,389454,108751,170844,9558
"28",2001-03-01,404521,113534,176324,17929
"29",2001-04-01,395068,105534,171176,21123
"30",2001-05-01,405432,105518,175994,18710
"31",2001-06-01,410598,112358,173564,17914
"32",2001-07-01,409072,120694,172422,20723
"33",2001-08-01,419287,116949,173237,14253
"34",2001-09-01,439747,114620,224338,18318
"35",2001-10-01,437574,132594,230050,16405
"36",2001-11-01,378109,138894,169035,66504
"37",2001-12-01,381495,133510,161936,61509
"38",2002-01-01,370615,119232,159981,62011
"39",2002-02-01,361532,115633,155345,66111
"40",2002-03-01,371885,106034,155773,63634
"41",2002-04-01,374377,117309,158321,61255
"42",2002-05-01,370743,122655,156555,59994
"43",2002-06-01,364809,107472,154378,59500
"44",2002-07-01,369889,112597,154656,58464
"45",2002-08-01,373563,110812,157527,62795
"46",2002-09-01,361159,113526,154894,63917
"47",2002-10-01,366312,114175,154468,64209
"48",2002-11-01,362713,115619,152801,65891
"49",2002-12-01,361231,108901,154419,62483
"50",2003-01-01,358250,113449,150356,64505
"51",2003-02-01,364602,118821,154751,68326
"52",2003-03-01,368423,118305,156592,62566
"53",2003-04-01,361725,119373,151690,62879
"54",2003-05-01,365264,119409,154891,62645
"55",2003-06-01,363599,120772,155271,64960
"56",2003-07-01,357857,113448,155388,63083
"57",2003-08-01,363001,116707,155623,64961
"58",2003-09-01,363603,122709,160050,63410
"59",2003-10-01,362259,120165,158378,65705
"60",2003-11-01,361037,106632,156884,60557
"61",2003-12-01,364855,112296,158528,59316
"62",2004-01-01,367883,116500,163932,58766
"63",2004-02-01,368364,115318,164589,61784
"64",2004-03-01,356266,110743,159652,61354
"65",2004-04-01,366297,111171,164556,60677
"66",2004-05-01,364528,106637,163630,60407
"67",2004-06-01,370156,113062,165645,61111
"68",2004-07-01,374126,104256,167081,61532
"69",2004-08-01,371505,114702,165451,60811
"70",2004-09-01,370689,106546,166213,60702
"71",2004-10-01,380593,108277,168914,61553
"72",2004-11-01,373905,114059,170289,64552
"73",2004-12-01,376276,121528,169610,63907
"74",2005-01-01,364587,116069,171233,61612
"75",2005-02-01,375084,106821,176011,59719
"76",2005-03-01,372453,120087,177623,56565
"77",2005-04-01,377499,101577,180026,56919
"78",2005-05-01,375478,103797,180704,55851
"79",2005-06-01,373392,109931,182060,55266
"80",2005-07-01,377967,109070,186528,57930
"81",2005-08-01,378409,115480,188115,58344
"82",2005-09-01,379791,121677,213832,59266
"83",2005-10-01,384730,110114,196481,58526
"84",2005-11-01,391638,112642,196781,57457
"85",2005-12-01,397319,122924,197666,54553
"86",2006-01-01,405715,120966,203675,58272
"87",2006-02-01,398856,125250,197884,53855
"88",2006-03-01,404511,122330,202695,59295
"89",2006-04-01,396003,121392,200513,61463
"90",2006-05-01,396509,127812,201617,57516
"91",2006-06-01,394907,129856,205747,56735
"92",2006-07-01,391703,141076,204443,86933
"93",2006-08-01,392390,225511,207240,57043
"94",2006-09-01,401067,236544,207254,59608
"95",2006-10-01,390190,234693,207134,56024
"96",2006-11-01,391574,233700,206991,56158
"97",2006-12-01,396941,238453,208616,61808
"98",2007-01-01,388399,236949,211711,67328
"99",2007-02-01,375065,232709,206688,65149
"100",2007-03-01,386356,237511,213822,83105
"101",2007-04-01,378923,244189,216575,81618
"102",2007-05-01,378790,258754,219649,91797
"103",2007-06-01,386691,258417,223274,91837
"104",2007-07-01,387276,246186,220223,87564
"105",2007-08-01,393448,267195,227785,64934
"106",2007-09-01,387010,297627,230524,60072
"107",2007-10-01,382364,274064,226447,61450
"108",2007-11-01,381097,281117,225519,60580
"109",2007-12-01,381246,263430,232334,61669
"110",2008-01-01,382664,260473,238456,59175
"111",2008-02-01,384540,278157,241264,55150
"112",2008-03-01,377872,273679,240836,60758
"113",2008-04-01,387773,285177,250177,61465
"114",2008-05-01,399685,297074,261147,61847
"115",2008-06-01,395638,301701,263662,63733
"116",2008-07-01,402057,345564,275003,63565
"117",2008-08-01,399101,310162,270328,60649
"118",2008-09-01,401718,316160,272638,62904
"119",2008-10-01,419064,346147,291198,67455
"120",2008-11-01,531884,352159,428427,72639
"121",2008-12-01,424227,338644,314861,68604
"122",2009-01-01,444349,338914,317550,70868
"123",2009-02-01,434015,338956,311943,69928
"124",2009-03-01,440868,358690,317940,70184
"125",2009-04-01,444533,367944,322220,72693
"126",2009-05-01,429822,362266,306775,73717
"127",2009-06-01,427211,373577,304765,72442
"128",2009-07-01,418554,376191,301457,72881
"129",2009-08-01,412030,399765,300583,71097
"130",2009-09-01,412537,385618,300221,74072
"131",2009-10-01,407249,398269,297584,74437
"132",2009-11-01,396681,398803,293834,70621
"133",2009-12-01,395054,377869,286655,74585
"134",2010-01-01,394127,370527,284516,72289
"135",2010-02-01,398704,361401,293849,74285
"136",2010-03-01,400997,384221,294905,73380
"137",2010-04-01,395447,446186,296412,75553
"138",2010-05-01,404041,396744,304467,74230
"139",2010-06-01,407872,402375,305637,76415
"140",2010-07-01,408099,444135,311793,78271
"141",2010-08-01,410643,381819,314842,78503
"142",2010-09-01,411556,410331,317219,77697
"143",2010-10-01,414423,542009,319326,78309
"144",2010-11-01,420955,373408,322835,79715
"145",2010-12-01,414513,397112,319706,77382
"146",2011-01-01,424566,490295,337363,79412
"147",2011-02-01,425699,448998,330439,81219
"148",2011-03-01,439840,396489,346305,84974
"149",2011-04-01,449553,451926,345111,85729
"150",2011-05-01,447350,517627,347465,85509
"151",2011-06-01,446580,492959,353930,85767
"152",2011-07-01,453036,487129,352828,88139
