"","Month","Long_Gun","permit","handgun","other"
"1",1998-12-01,570882,76096,213140,10604
"2",1999-01-01,309915,77072,184496,14491
"3",1999-02-01,352411,84759,232448,20597
"4",1999-03-01,376775,103185,241036,20691
"5",1999-04-01,323222,90873,207093,17478
"6",1999-05-01,281434,80492,192021,15273
"7",1999-06-01,286331,79996,183471,15114
"8",1999-07-01,303711,70806,186675,18442
"9",1999-08-01,402909,82428,189920,19723
"10",1999-09-01,508439,85273,185025,20573
"11",1999-10-01,601482,92050,214798,26592
"12",1999-11-01,664016,92502,213347,26029
"13",1999-12-01,806806,98264,306408,36855
"14",2000-01-01,322777,100162,185677,20237
"15",2000-02-01,357950,99914,214980,23469
"16",2000-03-01,368699,116872,219150,21012
"17",2000-04-01,307934,102060,180538,16104
"18",2000-05-01,249427,99202,161115,16777
"19",2000-06-01,259291,101311,163593,15841
"20",2000-07-01,270179,94508,154169,15042
"21",2000-08-01,381778,109975,166799,17842
"22",2000-09-01,488916,101460,164780,18990
"23",2000-10-01,536428,110765,168669,20501
"24",2000-11-01,587781,100761,181410,18595
"25",2000-12-01,648818,90824,230999,23015
"26",2001-01-01,323133,114906,179114,16763
"27",2001-02-01,344365,111219,192931,17837
"28",2001-03-01,373490,129897,199519,17571
"29",2001-04-01,300907,106439,162839,13577
"30",2001-05-01,258820,102192,158290,13135
"31",2001-06-01,265952,103132,152573,12712
"32",2001-07-01,266797,108841,143753,12915
"33",2001-08-01,408961,117402,162304,15343
"34",2001-09-01,530688,107489,200900,18751
"35",2001-10-01,619926,143519,234378,25257
"36",2001-11-01,586142,136351,176321,77396
"37",2001-12-01,664194,126951,204291,59862
"38",2002-01-01,305416,129406,158581,62584
"39",2002-02-01,317992,116507,174298,78214
"40",2002-03-01,349184,120134,176673,61906
"41",2002-04-01,292305,123263,151668,52433
"42",2002-05-01,245579,116290,142899,52691
"43",2002-06-01,230211,97541,130645,48825
"44",2002-07-01,244456,105221,129710,50784
"45",2002-08-01,364061,110328,149252,65169
"46",2002-09-01,410605,106735,137842,63088
"47",2002-10-01,493416,120468,152979,76250
"48",2002-11-01,541256,110405,151047,78833
"49",2002-12-01,614830,106913,189518,58658
"50",2003-01-01,303134,121650,153534,68564
"51",2003-02-01,324944,119080,180043,79889
"52",2003-03-01,352898,134018,183979,59294
"53",2003-04-01,286881,126734,147437,54006
"54",2003-05-01,247814,115137,142009,55926
"55",2003-06-01,230756,110216,131164,51644
"56",2003-07-01,235195,104631,130002,55204
"57",2003-08-01,350413,114785,144300,67817
"58",2003-09-01,404668,120726,141785,64126
"59",2003-10-01,489615,122349,156170,80235
"60",2003-11-01,519922,99574,146487,70409
"61",2003-12-01,636817,114596,194168,57499
"62",2004-01-01,321354,124654,174752,64878
"63",2004-02-01,332001,115765,196896,71217
"64",2004-03-01,346529,132525,194779,55721
"65",2004-04-01,294009,114782,166168,54320
"66",2004-05-01,237955,98314,146116,47391
"67",2004-06-01,236499,108864,142160,50419
"68",2004-07-01,255930,95975,144660,56420
"69",2004-08-01,343533,112037,146361,56988
"70",2004-09-01,415941,103985,147063,65999
"71",2004-10-01,509424,108865,163925,75593
"72",2004-11-01,541301,110354,158866,73418
"73",2004-12-01,672371,119552,208714,64548
"74",2005-01-01,313992,121426,177309,66006
"75",2005-02-01,341314,112938,208959,71892
"76",2005-03-01,359349,135724,211151,51600
"77",2005-04-01,310605,103275,183521,50022
"78",2005-05-01,245440,98958,159487,43101
"79",2005-06-01,240123,104308,156864,47289
"80",2005-07-01,248387,100008,157055,50229
"81",2005-08-01,339496,117623,167497,54857
"82",2005-09-01,411804,117774,191379,65254
"83",2005-10-01,484668,106614,189530,67048
"84",2005-11-01,559050,109157,186764,66826
"85",2005-12-01,730234,122388,252224,56535
"86",2006-01-01,364810,126476,215041,61609
"87",2006-02-01,379843,130490,236129,69016
"88",2006-03-01,404031,137252,241027,54970
"89",2006-04-01,320053,123094,199106,50979
"90",2006-05-01,264356,127413,180830,49948
