NAME10,AREA,SCHOOLSDAYCARES,DIFF1,PER1,ALL,DIFF2,PER2,DIFFPERC
Andover,437524526,8867385,428657141,2.03,8867385,428657141,2.03,0.00
Ansonia,172476747,62288597,110188150,36.11,62288597,110188150,36.11,0.00
Ashford,1100347915,15883163,1084464752,1.44,15883163,1084464752,1.44,0.00
Avon,657703317,100489296,557214021,15.28,100489296,557214021,15.28,0.00
Barkhamsted,1082519402,10445985,1072073417,0.96,10445985,1072073417,0.96,0.00
Beacon Falls,272771687,17434728,255336959,6.39,17434728,255336959,6.39,0.00
Berlin,752279203,87996198,664283005,11.70,87996198,664283005,11.70,0.00
Bethany,599751530,39454392,560297138,6.58,39454392,560297138,6.58,0.00
Bethel,471896540,74462987,397433553,15.78,74462987,397433553,15.78,0.00
Bethlehem,548094338,27811529,520282809,5.07,27811529,520282809,5.07,0.00
Bloomfield,731863829,108988070,622875759,14.89,144776869,587086960,19.78,4.89
Bolton,409889939,25122921,384767018,6.13,25122921,384767018,6.13,0.00
Bozrah,564346424,7776686,556569738,1.38,7776686,556569738,1.38,0.00
Branford,780351143,102155587,678195556,13.09,102155587,678195556,13.09,0.00
Bridgeport,539176784,283989535,255187249,52.67,334361882,204814902,62.01,9.34
Bridgewater,482500136,6952882,475547254,1.44,6952882,475547254,1.44,0.00
Bristol,747539266,192579930,554959336,25.76,227353366,520185900,30.41,4.65
Brookfield,567835732,70201901,497633831,12.36,70201901,497633831,12.36,0.00
Brooklyn,815211413,33494874,781716539,4.11,43319616,771891797,5.31,1.21
Burlington,847674602,34846920,812827682,4.11,34846920,812827682,4.11,0.00
Canaan,926563138,19283343,907279795,2.08,19283343,907279795,2.08,0.00
Canterbury,1120924329,17613207,1103311122,1.57,17613207,1103311122,1.57,0.00
Canton,697651584,49156366,648495218,7.05,49156366,648495218,7.05,0.00
Chaplin,545387445,19047219,526340226,3.49,19047219,526340226,3.49,0.00
Cheshire,930132820,142684266,787448554,15.34,142684266,787448554,15.34,0.00
Chester,469119391,12846245,456273146,2.74,12846245,456273146,2.74,0.00
Clinton,530206642,57371593,472835049,10.82,57371593,472835049,10.82,0.00
Colchester,1385594207,44113460,1341480747,3.18,44113460,1341480747,3.18,0.00
Colebrook,917857310,13905765,903951545,1.52,13905765,903951545,1.52,0.00
Columbia,612911774,23876093,589035681,3.90,23948280,588963494,3.91,0.01
Cornwall,1291167574,7538199,1283629375,0.58,7538199,1283629375,0.58,0.00
Coventry,1066172710,40195845,1025976865,3.77,47572881,1018599829,4.46,0.69
Cromwell,361036043,66265120,294770923,18.35,66265120,294770923,18.35,0.00
Danbury,1230585382,241890512,988694870,19.66,333770489,896814893,27.12,7.47
Darien,654482251,90270760,564211491,13.79,97001191,557481060,14.82,1.03
Deep River,394873187,45298318,349574869,11.47,45298318,349574869,11.47,0.00
Derby,150697519,37792446,112905073,25.08,49050742,101646777,32.55,7.47
Durham,663807185,38160541,625646644,5.75,38160541,625646644,5.75,0.00
