real.town.name,pop2013
ANDOVER,3095
ANSONIA,19163
ASHFORD,4301
AVON,18205
BARKHAMSTED,3772
BEACON FALLS,6038
BERLIN,20179
BETHANY,5555
BETHEL,18887
BETHLEHEM,3585
BLOOMFIELD,20562
BOLTON,4971
BOZRAH,2618
BRANFORD,28025
BRIDGEPORT,145587
BRIDGEWATER,1729
BRISTOL,60536
BROOKFIELD,16614
BROOKLYN,8220
BURLINGTON,9384
CANAAN,1148
CANTERBURY,5119
CANTON,10304
CHAPLIN,2408
CHESHIRE,29264
CHESTER,4154
CLINTON,13239
COLCHESTER,16119
COLEBROOK,1523
COLUMBIA,5476
CORNWALL,1519
COVENTRY,12435
CROMWELL,14076
DANBURY,81967
DARIEN,20925
DEEP RIVER,4615
DERBY,12841
DURHAM,7380
EAST GRANBY,5036
EAST HADDAM,9138
EAST HAMPTON,12949
EAST HARTFORD,51241
EAST HAVEN,29167
EAST LYME,19119
EAST WINDSOR,11281
EASTFORD,1650
EASTON,7550
ELLINGTON,15675
ENFIELD,44699
ESSEX,6668
FAIRFIELD,60126
FARMINGTON,25429
FRANKLIN,1950
GLASTONBURY,34551
GOSHEN,2953
GRANBY,11284
GREENWICH,61733
GRISWOLD,11959
GROTON,40126
GUILFORD,22377
HADDAM,8343
HAMDEN,61468
HAMPTON,1815
HARTFORD,125130
HARTLAND,2257
HARWINTON,5636
HEBRON,9638
KENT,2964
KILLINGLY,17317
KILLINGWORTH,6501
LEBANON,7322
LEDYARD,15051
LISBON,4334
LITCHFIELD,8406
LYME,2417
MADISON,18289
MANCHESTER,58196
MANSFIELD,26379
MARLBOROUGH,6398
MERIDEN,60691
MIDDLEBURY,7550
MIDDLEFIELD,4421
MIDDLETOWN,47539
MILFORD,52894
MONROE,19631
MONTVILLE,19621
MORRIS,2380
NAUGATUCK,31786
NEW BRITAIN,73112
NEW CANAAN,19938
NEW FAIRFIELD,14010
NEW HARTFORD,6932
NEW HAVEN,130338
NEW LONDON,27588
NEW MILFORD,27983
NEWINGTON,30606
NEWTOWN,27772
NORFOLK,1497
NORTH BRANFORD,14383
NORTH CANAAN,3286
NORTH HAVEN,24011
NORTH STONINGTON,5291
NORWALK,86499
NORWICH,40424
OLD LYME,7598
OLD SAYBROOK,10258
ORANGE,13934
OXFORD,12736
PLAINFIELD,15320
PLAINVILLE,17767
PLYMOUTH,12148
POMFRET,4219
PORTLAND,9487
PRESTON,4751
PROSPECT,9520
PUTNAM,9548
REDDING,9207
RIDGEFIELD,24831
ROCKY HILL,19743
ROXBURY,2301
SALEM,4173
SALISBURY,3722
SCOTLAND,1739
SEYMOUR,16535
SHARON,2769
SHELTON,40006
SHERMAN,3627
SIMSBURY,23591
SOMERS,11447
SOUTH WINDSOR,25756
SOUTHBURY,19864
SOUTHINGTON,43288
SPRAGUE,2986
STAFFORD,12035
STAMFORD,123995
STERLING,3801
STONINGTON,18527
STRATFORD,51694
SUFFIELD,15731
THOMASTON,7831
THOMPSON,9411
TOLLAND,14977
TORRINGTON,36061
TRUMBULL,36251
UNION,1041
VERNON,29179
VOLUNTOWN,2608
WALLINGFORD,45112
WARREN,1475
WASHINGTON,3562
WATERBURY,110052
WATERFORD,19508
WATERTOWN,22387
WEST HARTFORD,63340
WEST HAVEN,55349
WESTBROOK,6922
WESTON,10261
WESTPORT,26769
WETHERSFIELD,26590
WILLINGTON,6018
WILTON,18353
WINCHESTER,11150
WINDHAM,25315
WINDSOR,29100
WINDSOR LOCKS,12531
WOLCOTT,16688
WOODBRIDGE,8981
WOODBURY,9910
WOODSTOCK,7932
