name,real.town.name
ANDOVER,ANDOVER
ANSONIA,ANSONIA
ASHFORD,ASHFORD
AVON,AVON
BALLOUVILLE,KILLINGLY
BANKSVILLE,GREENWICH
BANTAM,LITCHFIELD
BARKHAMSTED,BARKHAMSTED
BEACON FALLS,BEACON FALLS
BELLE HAVEN,GREENWICH
BERLIN,BERLIN
BETHANY,BETHANY
BETHEL,BETHEL
BETHLEHEM,BETHLEHEM
BLACK HALL,OLD LYME
BLACK POINT,NORFOLK
BLOOMFIELD,BLOOMFIELD
BOLTON,BOLTON
BOZRAH,BOZRAH
BRANCHVILLE,RIDGEFIELD
BRANFORD,BRANFORD
BRIDGEPORT,BRIDGEPORT
BRIDGEWATER,BRIDGEWATER
BRISTOL,BRISTOL
BROOKFIELD,BROOKFIELD
BROOKFIELD JCT,BROOKFIELD
BROOKLYN,BROOKLYN
BURLINGTON,BURLINGTON
BYRAM,GREENWICH
CANAAN,CANAAN
CANNONDALE,WILTON
CANTERBURY,CANTERBURY
CANTON,CANTON
CENTERBROOK,ESSEX
CENTERVILLE,HAMDEN
CHAPLIN,CHAPLIN
CHESHIRE,CHESHIRE
CHESHIRE HEIGHTS,CHESHIRE
CHESTER,CHESTER
CITY OF GROTON,GROTON
CLINTON,CLINTON
COLCHESTER,COLCHESTER
COLEBROOK,COLEBROOK
COLUMBIA,COLUMBIA
CORNWALL,CORNWALL
COS COB,GREENWICH
COVENTRY,COVENTRY
CROMWELL,CROMWELL
DANBURY,DANBURY
DANIELSON,KILLINGLY
DARIEN,DARIEN
DAYVILLE,KILLINGLY
DEEP RIVER,DEEP RIVER
DERBY,DERBY
DEVON,MILFORD
DOBSONVILLE,VERNON
DURHAM,DURHAM
DURHAM CENTER,DURHAM
EAST COVENTRY,COVENTRY
EAST GRANBY,EAST GRANBY
EAST HADDAM,EAST HADDAM
EAST HAMPTON,EAST HAMPTON
EAST HARTFORD,EAST HARTFORD
EAST HAVEN,EAST HAVEN
EAST KILLINGLY,KILLINGLY
EAST LITCHFIELD,LITCHFIELD
EAST LYME,EAST LYME
EAST PUTNAM,PUTNAM
EAST RIVER,GUILFORD
EAST SUFFIELD,SUFFIELD
EAST WINDSOR,EAST WINDSOR
EASTFORD,EASTFORD
EASTON,EASTON
ELLINGTON,ELLINGTON
ENFIELD,ENFIELD
ESSEX,ESSEX
FAIRFIELD,FAIRFIELD
FALLS VILLAGE,CANAAN
FARMINGTON,FARMINGTON
FITCHVILLE,BOZRAH
FRANKLIN,FRANKLIN
GALES FERRY,LEDYARD
GLASTONBURY,GLASTONBURY
GOSHEN,GOSHEN
GOSHEN CENTER,GOSHEN
GRANBY,GRANBY
GREENWICH,GREENWICH
GRISWOLD,GRISWOLD
GROTON,GROTON
GROTON CITY OF,GROTON
GROTON LONG POINT,GROTON
GROTON LONG PT,GROTON
GUILFORD,GUILFORD
HADDAM,HADDAM
HAMDEN,HAMDEN
HAMPTON,HAMPTON
HARTFORD,HARTFORD
HARTLAND,HARTLAND
HARWINTON,HARWINTON
HEBRON,HEBRON
HIGGANUM,HADDAM
HIGHWOOD,HAMDEN
HOTCHKISS GROVE,BRANFORD
IVORYTON,ESSEX
JEWETT CITY,GRISWOLD
KENT,KENT
KILLINGLY,KILLINGLY
KILLINGWORTH,KILLINGWORTH
LAKEVILLE,
LEBANON,LEBANON
