field_1,lat,lng,type,STATEFP10,COUNTYFP10,COUSUBFP10,COUSUBNS10,GEOID10,NAME10,NAMELSAD10,LSAD10,CLASSFP10,MTFCC10,CNECTAFP10,NECTAFP10,NCTADVFP10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,GEOID_AFF2,GEOID_AFF1,AREA,PERIMETER
1,41.54382593,-73.07162118,daycare,9,13,1080,213382,901301080,Andover,Andover town,43,T1,G4040,735,73450,,A,40008729,639655,41.7329821,-72.3746584,0600000US0901301080,06000US0901301080,1149758.199,5525.150819
1,41.54382593,-73.07162118,daycare,9,9,1220,213383,900901220,Ansonia,Ansonia town,43,T5,G4040,720,71950,,C,15588842,435209,41.3442494,-73.0698254,0600000US0900901220,06000US0900901220,6050130.738,22207.06364
1,41.54382593,-73.07162118,daycare,9,3,2060,213385,900302060,Avon,Avon town,43,T1,G4040,735,73450,,A,59968490,1135191,41.7871585,-72.8520463,0600000US0900302060,06000US0900302060,8674970.594,33458.30854
1,41.54382593,-73.07162118,daycare,9,5,2760,213386,900502760,Barkhamsted,Barkhamsted town,43,T1,G4040,735,73450,,A,93896772,6671466,41.9357077,-72.9729214,0600000US0900502760,06000US0900502760,645378.9023,2859.622021
1,41.54382593,-73.07162118,daycare,9,9,3250,213387,900903250,Beacon Falls,Beacon Falls town,43,T1,G4040,720,78700,,A,25040770,301429,41.443685,-73.0519252,0600000US0900903250,06000US0900903250,857824.0195,3341.918204
1,41.54382593,-73.07162118,daycare,9,3,4300,213388,900304300,Berlin,Berlin town,43,T1,G4040,735,73450,,A,68179816,1711679,41.6054768,-72.7784592,0600000US0900304300,06000US0900304300,6123215.855,27181.1011
1,41.54382593,-73.07162118,daycare,9,9,4580,213389,900904580,Bethany,Bethany town,43,T1,G4040,720,75700,,A,54724417,996204,41.422964,-72.9941871,0600000US0900904580,06000US0900904580,2553949.102,10573.13311
1,41.54382593,-73.07162118,daycare,9,1,4720,213390,900104720,Bethel,Bethel town,43,T1,G4040,720,72850,,A,43741119,100805,41.3697777,-73.3895032,0600000US0900104720,06000US0900104720,3373259.09,14879.56627
1,41.54382593,-73.07162118,daycare,9,5,4930,213391,900504930,Bethlehem,Bethlehem town,43,T1,G4040,,,,A,50181122,740229,41.6357676,-73.2114114,0600000US0900504930,06000US0900504930,1606592.227,6457.718076
1,41.54382593,-73.07162118,daycare,9,3,5910,213392,900305910,Bloomfield,Bloomfield town,43,T1,G4040,735,73450,,A,67562233,430686,41.8449305,-72.7409509,0600000US0900305910,06000US0900305910,12404319.48,45824.17664
1,41.54382593,-73.07162118,daycare,9,13,6260,213393,901306260,Bolton,Bolton town,43,T1,G4040,735,73450,,A,37314562,766251,41.7645883,-72.4375755,0600000US0901306260,06000US0901306260,2048431.105,10145.31221
1,41.54382593,-73.07162118,daycare,9,11,6820,213394,901106820,Bozrah,Bozrah town,43,T1,G4040,,76450,,A,51708108,723334,41.5450583,-72.175228,0600000US0901106820,06000US0901106820,72607.04688,1346.763227
1,41.54382593,-73.07162118,daycare,9,9,7310,213395,900907310,Branford,Branford town,43,T1,G4040,720,75700,,A,56551266,15947002,41.2795664,-72.7903506,0600000US0900907310,06000US0900907310,6894880.945,29994.52123
1,41.54382593,-73.07162118,daycare,9,1,8070,213396,900108070,Bridgeport,Bridgeport town,43,T5,G4040,720,71950,,C,41372169,8719037,41.1873858,-73.1957339,0600000US0900108070,06000US0900108070,37832036.57,76371.94284
1,41.54382593,-73.07162118,daycare,9,3,8490,213398,900308490,Bristol,Bristol town,43,T5,G4040,735,73450,,C,68404013,1046767,41.6815776,-72.9407487,0600000US0900308490,06000US0900308490,18444803.52,71008.50914
1,41.54382593,-73.07162118,daycare,9,1,8980,213399,900108980,Brookfield,Brookfield town,43,T1,G4040,720,72850,,A,51211648,1543913,41.4698845,-73.3936666,0600000US0900108980,06000US0900108980,4285240.422,19698.79614
1,41.54382593,-73.07162118,daycare,9,15,9190,213400,901509190,Brooklyn,Brooklyn town,43,T1,G4040,715,73000,,A,75345736,391220,41.7872432,-71.9574015,0600000US0901509190,06000US0901509190,2522072.469,10386.63391
1,41.54382593,-73.07162118,daycare,9,3,10100,213401,900310100,Burlington,Burlington town,43,T1,G4040,735,73450,,A,77027849,1725405,41.7575167,-72.9575607,0600000US0900310100,06000US0900310100,2763412.734,11367.12937
1,41.54382593,-73.07162118,daycare,9,5,10940,213402,900510940,Canaan,Canaan town,43,T1,G4040,,,,A,85242570,836406,41.9629594,-73.3071433,0600000US0900510940,06000US0900510940,645378.918,2859.622021
1,41.54382593,-73.07162118,daycare,9,15,12130,213403,901512130,Canterbury,Canterbury town,43,T1,G4040,,76450,,A,103456502,683786,41.695706,-72.003414,0600000US0901512130,06000US0901512130,2319102.055,9505.410504
1,41.54382593,-73.07162118,daycare,9,3,12270,213404,900312270,Canton,Canton town,43,T1,G4040,735,73450,,A,63676585,1137672,41.8587259,-72.9108619,0600000US0900312270,06000US0900312270,4288446.242,17280.7173
1,41.54382593,-73.07162118,daycare,9,15,13810,213405,901513810,Chaplin,Chaplin town,43,T1,G4040,,,,A,50316511,352485,41.7908895,-72.1295395,0600000US0901513810,06000US0901513810,2540997.297,11391.08172
1,41.54382593,-73.07162118,daycare,9,9,14160,213406,900914160,Cheshire,Cheshire town,43,T1,G4040,720,75700,,A,85649670,765695,41.5118273,-72.9036174,0600000US0900914160,06000US0900914160,9993482.656,42274.77039
1,41.54382593,-73.07162118,daycare,9,7,14300,213407,900714300,Chester,Chester town,43,T1,G4040,720,75700,,A,41573139,2010890,41.4096829,-72.4847352,0600000US0900714300,06000US0900714300,1147051.082,4176.710021
1,41.54382593,-73.07162118,daycare,9,7,15350,213408,900715350,Clinton,Clinton town,43,T1,G4040,720,75700,,A,41975527,7283252,41.2951299,-72.5300394,0600000US0900715350,06000US0900715350,3884642.547,17483.94806
1,41.54382593,-73.07162118,daycare,9,11,15910,213409,901115910,Colchester,Colchester town,43,T1,G4040,735,73450,,A,126865603,1865056,41.5573768,-72.3442483,0600000US0901115910,06000US0901115910,2623095.879,9074.200436
1,41.54382593,-73.07162118,daycare,9,5,16050,213410,900516050,Colebrook,Colebrook town,43,T1,G4040,,,,A,81666018,3603210,42.0053727,-73.0637318,0600000US0900516050,06000US0900516050,645378.9102,2859.622021
1,41.54382593,-73.07162118,daycare,9,13,16400,213411,901316400,Columbia,Columbia town,43,T1,G4040,735,73450,,A,55355047,1587989,41.6945271,-72.305414,0600000US0901316400,06000US0901316400,2742484.941,12730.31333
1,41.54382593,-73.07162118,daycare,9,5,17240,213412,900517240,Cornwall,Cornwall town,43,T1,G4040,,,,A,119297432,656783,41.8496485,-73.3300949,0600000US0900517240,06000US0900517240,675647.918,2926.849576
1,41.54382593,-73.07162118,daycare,9,13,17800,213413,901317800,Coventry,Coventry town,43,T1,G4040,735,73450,,A,97303813,1748669,41.7800989,-72.3440207,0600000US0901317800,06000US0901317800,4307011.602,21468.35269
1,41.54382593,-73.07162118,daycare,9,7,18080,213414,900718080,Cromwell,Cromwell town,43,T1,G4040,735,73450,,A,32252509,1290030,41.6165508,-72.6616042,0600000US0900718080,06000US0900718080,5409363.137,21705.34769
1,41.54382593,-73.07162118,daycare,9,1,18500,213415,900118500,Danbury,Danbury town,43,T5,G4040,720,72850,,C,108499386,5829369,41.4018389,-73.4722848,0600000US0900118500,06000US0900118500,22804190.48,68295.40005
1,41.54382593,-73.07162118,daycare,9,1,18850,213416,900118850,Darien,Darien town,43,T1,G4040,720,71950,,A,32777323,28024048,41.0521498,-73.4797138,0600000US0900118850,06000US0900118850,4683154.43,25094.20944
