X,Y,OBJECTID,NAME,LADDR,LADDR2,LCITY,LSTATE,LZIP,LZIP4,LEVEL_,LAT,LON
-73.392274746082649,41.999126303935839,1,SALISBURY SCHOOL,251 CANAAN RD,,SALISBURY,CT,06068,1602,Secondary,41.99912630,-73.39227475
-73.440887000334783,41.942729000043357,2,THE HOTCHKISS SCHOOL,PO BOX 800,,LAKEVILLE,CT,06039,0800,Secondary,41.94272900,-73.44088700
-73.467760483259667,41.936412935408669,3,INDIAN MOUNTAIN SCHOOL,211 INDIAN MOUNTAIN RD,,LAKEVILLE,CT,06039,,Combined elementary and secondary,41.93641294,-73.46776048
-73.449076548843607,41.390813703289837,4,ST PETER-SACRED HEART SCHOOL,17 COTTAGE ST,,DANBURY,CT,06810,6706,Elementary,41.39081370,-73.44907655
-73.385864122231396,41.466404289726256,5,ST JOSEPH ELEMENTARY SCHOOL,5 OBTUSE HILL RD,,BROOKFIELD,CT,06804,3039,Elementary,41.46640429,-73.38586412
-73.534168838720916,41.091982130970621,6,TRINITY CATHOLIC MIDDLE,948 NEWFIELD AVE,,STAMFORD,CT,06905,2519,Elementary,41.09198213,-73.53416884
-73.498725473202001,41.36457277291521,7,WOOSTER SCHOOL,91 MIRY BROOK RD,,DANBURY,CT,06810,,Combined elementary and secondary,41.36457277,-73.49872547
-73.467722891598157,41.407614781996642,8,IMMANUEL LUTHERAN SCHOOL,18 CLAPBOARD RIDGE RD,,DANBURY,CT,06811,4551,Elementary,41.40761478,-73.46772289
-73.452071995426195,41.13338929308145,9,PARKWAY CHRISTIAN ACADEMY HAPPY TIME NURSERY,260 NEW CANAAN AVE,,NORWALK,CT,06850,1412,Elementary,41.13338929,-73.45207200
-73.54828705720189,41.092196247858624,10,GRACE CHRISTIAN SCHOOL,602 HIGH RIDGE RD,,STAMFORD,CT,06905,2635,Elementary,41.09219625,-73.54828706
-73.365747249435969,41.136919023294354,11,LANDMARK OF RIDGEFIELD ACADEMY,11 BURR RD,,WESTPORT,CT,06880,4220,Elementary,41.13691902,-73.36574725
-73.428463922072297,41.260415150638721,12,LANDMARK OF RIDGEFIELD ACADEMY,20 PORTLAND AVE,,REDDING,CT,06896,3111,Elementary,41.26041515,-73.42846392
-73.461578530025122,41.164994697447355,13,CONNECTICUT FRIENDS SCHOOL,317 NEW CANAAN RD,,WILTON,CT,06897,3322,Elementary,41.16499470,-73.46157853
-73.602719239001658,41.072682416360465,14,THE STANWICH SCHOOL,257 STANWICH RD,,GREENWICH,CT,06830,3501,Elementary,41.07268242,-73.60271924
-73.373458861337326,41.134679455092851,15,PIERREPONT SCHOOL,1 SYLVAN RD N,,WESTPORT,CT,06880,,Combined elementary and secondary,41.13467946,-73.37345886
-73.505177398418141,41.281925795439179,16,ST MARY SCHOOL,183 HIGH RIDGE AVE,,RIDGEFIELD,CT,06877,4496,Elementary,41.28192580,-73.50517740
-73.405867987117858,41.438861026815005,17,COUNTRY KIDS CLUB,94 OLD STATE RD,,BROOKFIELD,CT,06804,,Elementary,41.43886103,-73.40586799
-73.378541145157669,41.44050941757564,18,MONTESSORI COMMUNITY SCHOOL AT BROOKFIELD,PO BOX 5255,,BROOKFIELD,CT,06804,5255,Elementary,41.44050942,-73.37854115
-73.426134678872302,41.22922030926992,19,TOWN & COUNTRY MONTESSORI SCHOOL,PO BOX 127,,GEORGETOWN,CT,06829,0127,Elementary,41.22922031,-73.42613468
-73.51692887286913,41.073751197659703,20,OUR LADY OF GRACE NURSERY SCHOOL & KINDERGARTEN,635 GLENBROOK RD,,STAMFORD,CT,06906,1409,Elementary,41.07375120,-73.51692887
-73.459071942316257,41.400088087795041,21,ST JOSEPH ELEMENTARY SCHOOL,370 MAIN ST,,DANBURY,CT,06810,,Elementary,41.40008809,-73.45907194
-73.438983482701531,41.4284723184428,22,ST GREGORY THE GREAT SCHOOL,85 GREAT PLAIN RD,,DANBURY,CT,06811,3998,Elementary,41.42847232,-73.43898348
-73.387768248705697,41.373873193692987,23,ST MARY ELEMENTARY SCHOOL,24 DODGINGTOWN RD,,BETHEL,CT,06801,2299,Elementary,41.37387319,-73.38776825
-73.532740114564604,41.100475016309019,24,ST CECILIA ELEMENTARY SCHOOL,1186 NEWFIELD AVE,,STAMFORD,CT,06905,1497,Elementary,41.10047502,-73.53274011
-73.626079373764071,41.069221632672281,25,GREENWICH CATHOLIC SCHOOL,471 NORTH ST,,GREENWICH,CT,06830,3949,Elementary,41.06922163,-73.62607937
-73.598646014302062,41.126210826268675,26,THE MEAD SCHOOL,1095 RIVERBANK RD,,STAMFORD,CT,06903,,Elementary,41.12621083,-73.59864601
-73.34633684536908,41.127038154886975,27,THE LEARNING COMMUNITY DAY SCHOOL,90 HILLSPOINT RD,,WESTPORT,CT,06880,5111,Elementary,41.12703815,-73.34633685
-73.552901105401645,41.142901691260079,28,VILLA MARIA EDUCATION CENTER,161 SKYMEADOW DR,,STAMFORD,CT,06903,,Elementary,41.14290169,-73.55290111
-73.494604330825155,41.369761539163733,29,MAIMONIDES ACADEMY,103 MIRY BROOK RD,,DANBURY,CT,06810,7417,Elementary,41.36976154,-73.49460433
-73.653859242010356,41.114190474310988,30,WHITBY SCHOOL,969 LAKE AVE,,GREENWICH,CT,06831,3095,Elementary,41.11419047,-73.65385924
-73.536983794066828,41.295459177599014,31,RIDGEFIELD ACADEMY,223 W MOUNTAIN RD,,RIDGEFIELD,CT,06877,3627,Elementary,41.29545918,-73.53698379
-73.381064122111525,41.412687634626707,32,KINDERCARE LEARNING CENTER,174 OLD HAWLEYVILLE RD,,BETHEL,CT,06801,3044,Elementary,41.41268763,-73.38106412
-73.431276558965976,41.433631433144171,33,COLONIAL HILLS CHRISTIAN ACADEMY,40 STADLEY ROUGH RD,,DANBURY,CT,06811,3200,Combined elementary and secondary,41.43363143,-73.43127656
-73.410992974346243,41.167905201264091,34,THE MONTESSORI SCHOOL,34 WHIPPLE RD,,WILTON,CT,06897,,Elementary,41.16790520,-73.41099297
-73.35530869344143,41.379200730729167,35,HOUSATONIC VALLEY WALDORF SCHOOL,40 DODGINGTOWN RD,,NEWTOWN,CT,06470,1861,Elementary,41.37920073,-73.35530869
-73.430045001275744,41.389962420329482,36,HUDSON COUNTY MONTESSORI SCHOOL,44A SHELTER ROCK RD,,DANBURY,CT,06810,,Elementary,41.38996242,-73.43004500
-73.5493471582447,41.123949632969243,37,THE CHILDREN'S SCHOOL,118 SCOFIELDTOWN RD,,STAMFORD,CT,06903,4020,Elementary,41.12394963,-73.54934716
-73.402087924318209,41.454246378367714,38,CHRISTIAN LIFE ACADEMY,133 JUNCTION RD,,BROOKFIELD,CT,06804,,Elementary,41.45424638,-73.40208792
-73.598236102414148,41.15707907613853,39,THE CANAAN RIDGE SCHOOL,2810 LONG RIDGE RD,,STAMFORD,CT,06903,1122,Elementary,41.15707908,-73.59823610
-73.49397699973872,41.14515957055778,40,ST ALOYSIUS DIOCESAN ELEMENTARY SCHOOL,33 SOUTH AVE,,NEW CANAAN,CT,06840,5414,Elementary,41.14515957,-73.49397700
-73.453177570688297,41.382387122267914,41,IMMACULATE HIGH SCHOOL,73 SOUTHERN BLVD,,DANBURY,CT,06810,7994,Secondary,41.38238712,-73.45317757
-73.425965692662544,41.187562139181409,42,OUR LADY OF FATIMA SCHOOL,225 DANBURY RD,,WILTON,CT,06897,,Elementary,41.18756214,-73.42596569
-73.534264028362202,41.09183588321946,43,TRINITY CATHOLIC HIGH SCHOOL,926 NEWFIELD AVE,,STAMFORD,CT,06905,,Secondary,41.09183588,-73.53426403
-73.556686422040684,41.130473952710815,44,HOLY SPIRIT SCHOOL,403 SCOFIELDTOWN RD,,STAMFORD,CT,06903,,Elementary,41.13047395,-73.55668642
-73.417165031441016,41.137445165362124,45,ALL SAINTS CATHOLIC SCHOOL,139 W ROCKS RD,,NORWALK,CT,06851,2298,Elementary,41.13744517,-73.41716503
-73.549031524085535,41.144112936862598,46,BI-CULTURAL DAY SCHOOL,2186 HIGH RIDGE RD,,STAMFORD,CT,06903,3497,Elementary,41.14411294,-73.54903152
-73.522891785427532,41.13242292837549,47,NEW CANAAN COUNTRY SCHOOL,PO BOX 997,,NEW CANAAN,CT,06840,0997,Combined elementary and secondary,41.13242293,-73.52289179
-73.600782709954046,41.139872628019418,48,THE LONG RIDGE SCHOOL,478 ERSKINE RD,,STAMFORD,CT,06903,1599,Elementary,41.13987263,-73.60078271
