X,Y,OBJECTID,NAME,LADDR,LADDR2,LCITY,LSTATE,LZIP,LZIP4,LEVEL_,LAT,LON
-72.899484952768319,41.528906698885123,1,MANSON YOUTH INSTITUTION,42 JARVIS ST,,CHESHIRE,CT,06410,1503,Unknown,41.52890670,-72.89948495
-72.697589739874559,41.791487800121956,2,JUMOKE ACADEMY,250 BLUE HILLS AVE,,HARTFORD,CT,06112,,Unknown,41.79148780,-72.69758974
-72.687594209704969,41.796436023803494,3,CAPITOL REGION MENTAL HEALTH CENTER,500 VINE ST,,HARTFORD,CT,06112,,Unknown,41.79643602,-72.68759421
-73.065337865150298,41.326823433254901,4,ANSONIA HIGH SCHOOL,20 PULASKI HWY,,ANSONIA,CT,06401,2561,Unknown,41.32682343,-73.06533787
-72.909547184754729,41.371404123001923,5,WHITNEY HIGH SCHOOL WEST,205 SKIFF ST,,HAMDEN,CT,06517,,Unknown,41.37140412,-72.90954718
-72.889989349428902,41.792649606394264,6,ROARING BROOK SCHOOL,30 OLD WHEELER LN,,AVON,CT,06001,4061,Unknown,41.79264961,-72.88998935
-72.755952483320414,41.615952714646141,7,EMMA HART WILLARD SCHOOL,1088 NORTON RD,,BERLIN,CT,06037,3020,Unknown,41.61595271,-72.75595248
-73.394998466106301,41.383056695410232,8,ANNA H. ROCKWELL SCHOOL,400 WHITTLESEY DR,,BETHEL,CT,06801,1599,Unknown,41.38305670,-73.39499847
-73.392359904685804,41.383421962253806,9,RALPH M. T. JOHNSON SCHOOL,500 WHITTLESEY DR,,BETHEL,CT,06801,1595,Unknown,41.38342196,-73.39235991
-72.716695989628192,41.824512826605712,10,CARMEN ARACE INTERMEDIATE SCHOOL,390 PARK AVE,,BLOOMFIELD,CT,06002,,Unknown,41.82451283,-72.71669599
-72.820683006915203,41.293648909769445,11,MARY T. MURPHY SCHOOL,14 BRUSHY PLAIN RD,,BRANFORD,CT,06405,6001,Unknown,41.29364891,-72.82068301
-73.175153000110811,41.193171951824183,12,LUIS MUNOZ MARIN SCHOOL,479 HELEN ST,,BRIDGEPORT,CT,06608,1321,Unknown,41.19317195,-73.17515300
-73.218665224220672,41.160677632366912,13,LONGFELLOW SCHOOL,139 OCEAN TERRACE,,BRIDGEPORT,CT,06605,2716,Unknown,41.16067763,-73.21866522
-73.204577588984478,41.175931133415133,14,CURIALE SCHOOL,300 LAUREL AVE,,BRIDGEPORT,CT,06604,1103,Unknown,41.17593113,-73.20457759
-73.186465162037564,41.165699695784383,15,NEW START PROGRAM,136 LAFAYETTE ST,,BRIDGEPORT,CT,06604,,Unknown,41.16569970,-73.18646516
-72.922054031268488,41.685826327922769,16,BRISTOL EASTERN HIGH SCHOOL,632 KING ST,,BRISTOL,CT,06010,4477,Unknown,41.68582633,-72.92205403
-72.908261644359357,41.712846761868605,17,NORTHEAST MIDDLE SCHOOL,530 STEVENS ST,,BRISTOL,CT,06010,2587,Unknown,41.71284676,-72.90826164
-71.937209853551849,41.784233474595226,18,BROOKLYN ELEMENTARY SCHOOL,119 GORMAN RD,,BROOKLYN,CT,06234,1805,Unknown,41.78423348,-71.93720985
-72.916762702736492,41.826491641775874,19,CANTON HIGH SCHOOL,76 SIMONDS AVE,,CANTON,CT,06019,1207,Unknown,41.82649164,-72.91676270
-72.686786535769954,41.749755115806011,20,MONTESSORI MAGNET SCHOOL,1460 BROAD ST,,HARTFORD,CT,06106,,Unknown,41.74975512,-72.68678654
-72.89671407499452,41.510656839341721,21,HIGHLAND SCHOOL,490 HIGHLAND AVE,,CHESHIRE,CT,06410,2518,Unknown,41.51065684,-72.89671408
-73.199530034283612,41.233172096714952,22,SCHOOL READINESS,40 LINDEMAN DR,,TRUMBULL,CT,06611,,Unknown,41.23317210,-73.19953003
-72.367680507849116,41.794951608230178,23,COVENTRY GRAMMAR SCHOOL,3453 MAIN ST,,COVENTRY,CT,06238,1568,Unknown,41.79495161,-72.36768051
-72.659880570232076,41.615043527037187,24,CROMWELL HIGH SCHOOL,DONALD HARRIS DR,,CROMWELL,CT,06416,1698,Unknown,41.61504353,-72.65988057
-73.434284176973165,41.420749553149392,25,GREAT PLAIN SCHOOL,10 STADLEY ROUGH RD,,DANBURY,CT,06811,4023,Unknown,41.42074955,-73.43428418
-73.418347109331592,41.393274349131957,26,SHELTER ROCK SCHOOL,2 CROWS NEST RD,,DANBURY,CT,06810,7056,Unknown,41.39327435,-73.41834711
-73.488227437845921,41.058958232236705,27,HINDLEY ELEMENTARY SCHOOL,10 NEARWATER LN,,DARIEN,CT,06820,5698,Unknown,41.05895823,-73.48822744
-73.512535442756416,41.079157666393257,28,HOLMES ELEMENTARY SCHOOL,18 HOYT ST,,DARIEN,CT,06820,3115,Unknown,41.07915767,-73.51253544
-72.486007154006927,41.57063408889212,29,MEMORIAL SCHOOL,20 SMITH ST,,EAST HAMPTON,CT,06424,1698,Unknown,41.57063409,-72.48600715
-72.835490567435727,41.326685355844575,30,DEER RUN SCHOOL,311 FOXON RD,,EAST HAVEN,CT,06512,1449,Unknown,41.32668536,-72.83549057
-72.880899748624472,41.280202284308018,31,OVERBROOK ELEMENTARY SCHOOL,54 GERRISH AVE,,EAST HAVEN,CT,06512,,Unknown,41.28020228,-72.88089975
-72.21446077694327,41.348130026379692,32,LILLIE B. HAYNES SCHOOL,29 SOCIETY RD,,NIANTIC,CT,06357,1107,Unknown,41.34813003,-72.21446078
-72.500332498945625,41.871589770851301,33,WINDERMERE SCHOOL,2 ABBOTT RD,,ELLINGTON,CT,06029,3800,Unknown,41.87158977,-72.50033250
-72.570313750279297,41.948895797902821,34,EDGAR H. PARKMAN SCHOOL,165 WEYMOUTH RD,,ENFIELD,CT,06082,6200,Unknown,41.94889580,-72.57031375
-72.513966326384832,41.988635791408683,35,NATHAN HALE SCHOOL,5 TAYLOR RD,,ENFIELD,CT,06082,4001,Unknown,41.98863579,-72.51396633
-73.233943980030631,41.18639494776869,36,FAIRFIELD WARDE HIGH SCHOOL,755 MELVILLE AVE,,FAIRFIELD,CT,06825,,Unknown,41.18639495,-73.23394398
-73.233544231381131,41.187213481916729,37,EARLY CHILDHOOD CENTER,755 MELVILLE AVE,,FAIRFIELD,CT,06825,,Unknown,41.18721348,-73.23354423
-72.798503163090459,41.721271847317951,38,FARMINGTON COLLABORATIVE PK,20 WOLF PIT RD,,FARMINGTON,CT,06032,,Unknown,41.72127185,-72.79850316
-72.794381767104824,41.93720237289125,39,FRANK M. KEARNS PRIMARY SCHOOL,5 CANTON RD,,GRANBY,CT,06035,2502,Unknown,41.93720237,-72.79438177
-73.612440865353619,41.040446750916885,40,GREENWICH HIGH SCHOOL,10 HILLSIDE RD,,GREENWICH,CT,06830,4835,Unknown,41.04044675,-73.61244086
-73.579680904150393,41.032833028421578,41,RIVERSIDE SCHOOL,90 HENDRIE AVE,,RIVERSIDE,CT,06878,1829,Unknown,41.03283303,-73.57968090
-71.981211370907999,41.595342715693846,42,GRISWOLD HIGH SCHOOL,267 SLATER AVE,,GRISWOLD,CT,06351,2533,Unknown,41.59534272,-71.98121137
-72.032390580760648,41.345345170443295,43,FITCH MIDDLE SCHOOL,61 FORT HILL RD,,GROTON,CT,06340,4332,Unknown,41.34534517,-72.03239058
-71.985131548981769,41.382692274828685,44,NORTHEAST ACADEMY ELEMENTARY SCHOOL,15 OSLO ST,,GROTON,CT,06355,,Unknown,41.38269227,-71.98513155
-72.927312382560388,41.389642794979068,45,BEAR PATH SCHOOL,10 KIRK RD,,HAMDEN,CT,06514,1308,Unknown,41.38964280,-72.92731238
-72.943481268445737,41.350057339174896,46,HELEN STREET SCHOOL,285 HELEN ST,,HAMDEN,CT,06514,3235,Unknown,41.35005734,-72.94348127
-72.908200462581249,41.368922632673389,47,SPRING GLEN SCHOOL,1908 WHITNEY AVE,,HAMDEN,CT,06517,1206,Unknown,41.36892263,-72.90820046
-72.680256437884282,41.733925134937067,48,DR. JOSEPH BELLIZZI MIDDLE SCHOOL,215 SOUTH ST,,HARTFORD,CT,06114,2935,Unknown,41.73392513,-72.68025644
-72.70256417789443,41.741065714211402,49,HOOKER SCHOOL,200 SHERBROOKE AVE,,HARTFORD,CT,06106,3748,Unknown,41.74106571,-72.70256418
-72.698387823439248,41.75036710086107,50,MCDONOUGH SCHOOL,111 HILLSIDE AVE,,HARTFORD,CT,06106,3545,Unknown,41.75036710,-72.69838782
-72.675877777337519,41.778857259055314,51,AMERICAS CHOICE AT SAND,1750 MAIN ST,,HARTFORD,CT,06120,2715,Unknown,41.77885726,-72.67587778
-72.712205883294814,41.768612815429151,52,NOAH WEBSTER MICRO SOCIETY SCHOOL,5 CONE ST,,HARTFORD,CT,06105,2502,Unknown,41.76861281,-72.71220588
-72.702119785099967,41.791688776116189,53,BREAKTHROUGH MAGNET SCHOOL,121 CORNWALL ST,,HARTFORD,CT,06112,,Unknown,41.79168878,-72.70211978
-72.701116621035169,41.764806209139294,54,CLASSICAL MAGNET SCHOOL,55 FOREST ST,,HARTFORD,CT,06105,3243,Unknown,41.76480621,-72.70111662
-72.205148556160907,41.640346340411327,55,LEBANON ELEMENTARY SCHOOL,479 EXETER RD,,LEBANON,CT,06249,1505,Unknown,41.64034634,-72.20514856
-72.070176930221123,41.451625608235304,56,JULIET W. LONG SCHOOL,1854 ROUTE 12,,GALES FERRY,CT,06335,1127,Unknown,41.45162561,-72.07017693
-72.61979861131681,41.292481106817661,57,DANIEL HAND HIGH SCHOOL,286 GREEN HILL RD,,MADISON,CT,06443,2283,Unknown,41.29248111,-72.61979861
-72.51008139723865,41.788632002065299,58,BOWERS SCHOOL,141 PRINCETON ST,,MANCHESTER,CT,06040,3222,Unknown,41.78863200,-72.51008140
-72.533711986918604,41.767042204334302,59,WASHINGTON SCHOOL,94 CEDAR ST,,MANCHESTER,CT,06040,5839,Unknown,41.76704220,-72.53371199
-72.832118973112074,41.519013650059946,60,HANOVER SCHOOL,208 MAIN ST,,MERIDEN,CT,06450,5149,Unknown,41.51901365,-72.83211897
-72.826780657701136,41.533992321888206,61,ORVILLE H. PLATT HIGH SCHOOL,220 COE AVE,,MERIDEN,CT,06450,3812,Unknown,41.53399232,-72.82678066
-72.641341608328503,41.538341419920641,62,FARM HILL SCHOOL,390 RIDGE RD,,MIDDLETOWN,CT,06457,4437,Unknown,41.53834142,-72.64134161
-72.711966482866842,41.563773009916531,63,MOODY SCHOOL,300 COUNTRY CLUB RD,,MIDDLETOWN,CT,06457,2302,Unknown,41.56377301,-72.71196648
-73.088980461678943,41.203899527441308,64,JONATHAN LAW HIGH SCHOOL,20 LANSDALE AVE,,MILFORD,CT,06460,5199,Unknown,41.20389953,-73.08898046
-73.062767564071805,41.239142767724616,65,MATHEWSON SCHOOL,466 WEST RIVER ST,,MILFORD,CT,06460,1919,Unknown,41.23914277,-73.06276756
-73.078064457408743,41.204318616011392,66,PUMPKIN DELIGHT SCHOOL,27 ART ST,,MILFORD,CT,06460,4318,Unknown,41.20431862,-73.07806446
-73.234064317414266,41.345237652895435,67,CHALK HILL SCHOOL,375 FAN HILL RD,,MONROE,CT,06468,1360,Unknown,41.34523765,-73.23406432
-73.254164384578644,41.317726987710387,68,STEPNEY ELEMENTARY SCHOOL,180 OLD NEWTOWN RD,,MONROE,CT,06468,1106,Unknown,41.31772699,-73.25416438
-73.065407663332962,41.48314915720789,69,ANDREW AVENUE SCHOOL,140 ANDREW AVE,,NAUGATUCK,CT,06770,4303,Unknown,41.48314916,-73.06540766
-73.017639491169518,41.488957004162444,70,MAPLE HILL SCHOOL,641 MAPLE HILL RD,,NAUGATUCK,CT,06770,3557,Unknown,41.48895700,-73.01763949
-72.771333164693772,41.676932836880951,71,SMALLEY ACADEMY,175 WEST ST,,NEW BRITAIN,CT,06051,1415,Unknown,41.67693284,-72.77133317
-73.485719448094017,41.131341775102896,72,SAXE MIDDLE SCHOOL,468 SOUTH AVE,,NEW CANAAN,CT,06840,6321,Unknown,41.13134178,-73.48571945
-72.893510580149098,41.308613000889352,73,FAIR HAVEN SCHOOL,164 GRAND AVE,,NEW HAVEN,CT,06513,3938,Unknown,41.30861300,-72.89351058
-72.938889518036774,41.297582339353539,74,POLLY T. MCCABE CENTER,390 COLUMBUS AVE,,NEW HAVEN,CT,06519,,Unknown,41.29758234,-72.93888952
-72.958774203866369,41.343939480622566,75,CLARENCE ROGERS SCHOOL,195 WILMOT RD,,NEW HAVEN,CT,06511,,Unknown,41.34393948,-72.95877420
-72.940088879098425,41.33385870191762,76,KING/ROBINSON MAGNET SCHOOL,150 FOURNIER ST,,NEW HAVEN,CT,06511,,Unknown,41.33385870,-72.94008888
-72.965700553837451,41.327327231666459,77,MAURO-SHERIDAN MAGNET SCHOOL,191 FOUNTAIN ST,,NEW HAVEN,CT,06515,,Unknown,41.32732723,-72.96570055
-72.113549223417863,41.359416286032854,78,SHORELINE ACADEMY,90 CEDAR GROVE AVE,,NEW LONDON,CT,06320,,Unknown,41.35941629,-72.11354922
-73.271168773919726,41.409919875701746,79,NEWTOWN HIGH SCHOOL,12 BERKSHIRE RD,,SANDY HOOK,CT,06482,1398,Unknown,41.40991988,-73.27116877
-73.188356090061461,41.987589287215883,80,BRIDGES II,128 GREENWOODS RD EAST,,NORFOLK,CT,06058,,Unknown,41.98758929,-73.18835609
-73.402225005279718,41.157165054923382,81,CRANBURY ELEMENTARY SCHOOL,5 KNOWALOT LN,,NORWALK,CT,06851,1399,Unknown,41.15716506,-73.40222501
-73.435816031784384,41.077669476365315,82,ROTON MIDDLE SCHOOL,201 HIGHLAND AVE,,NORWALK,CT,06854,,Unknown,41.07766948,-73.43581603
-73.389489837985593,41.136065499223491,83,WOLFPIT SCHOOL,1 STARLIGHT DR,,NORWALK,CT,06851,3443,Unknown,41.13606550,-73.38948984
-72.101981267321605,41.550115116619395,84,SAMUEL HUNTINGTON SCHOOL,80 WEST TOWN ST,,NORWICH,CT,06360,2209,Unknown,41.55011512,-72.10198127
-72.062460944916609,41.522706466030627,85,THAMES RIVER ACADEMY,526 EAST MAIN ST,,NORWICH,CT,06360,2425,Unknown,41.52270647,-72.06246094
-73.004320733115321,41.292029623768201,86,RACE BROOK SCHOOL,107 GRANNIS RD,,ORANGE,CT,06477,1911,Unknown,41.29202962,-73.00432073
-73.14068780289972,41.422051493581591,87,GREAT OAK SCHOOL,50 GREAT OAK RD,,OXFORD,CT,06478,,Unknown,41.42205149,-73.14068780
-71.916277846945036,41.676002097918513,88,EARLY CHILDHOOD CENTER,651 NORWICH RD,,PLAINFIELD,CT,06374,,Unknown,41.67600210,-71.91627785
-72.638163802617385,41.577161311645284,89,BROWNSTONE INTERMEDIATE SCHOOL,314 MAIN ST,,PORTLAND,CT,06480,,Unknown,41.57716131,-72.63816380
-72.132898172312764,41.341345530971523,90,THE FRIENDSHIP SCHOOL,24 ROPE FERRY RD,,WATERFORD,CT,06385,,Unknown,41.34134553,-72.13289817
-71.920538095556651,41.921458073131646,91,PUTNAM MIDDLE SCHOOL,35 WICKER ST,,PUTNAM,CT,06260,1443,Unknown,41.92145807,-71.92053810
-73.384729721899134,41.309114410701568,92,REDDING ELEMENTARY SCHOOL,33 LONETOWN RD,,REDDING,CT,06875,,Unknown,41.30911441,-73.38472972
-73.307970562691253,41.554857972917148,93,BOOTH FREE SCHOOL,14 SOUTH ST,,ROXBURY,CT,06783,1706,Unknown,41.55485797,-73.30797056
-72.725391554276769,41.518248293723843,94,JOHN LYMAN SCHOOL,106 WAY RD,,MIDDLEFIELD,CT,06455,1059,Unknown,41.51824829,-72.72539155
-72.977415976266229,41.500820226572273,95,COMMUNITY SCHOOL,12 CENTER ST,,PROSPECT,CT,06712,1605,Unknown,41.50082023,-72.97741598
-72.284235561921605,41.29570395507352,96,MILE CREEK SCHOOL,250 MILE CREEK RD,,OLD LYME,CT,06371,1730,Unknown,41.29570396,-72.28423556
-72.365025336849783,41.664342303954243,97,RHAM HIGH SCHOOL,85 WALL ST,,HEBRON,CT,06248,1500,Unknown,41.66434230,-72.36502534
-72.273781411682762,41.487992304101624,98,SALEM ELEMENTARY SCHOOL,200 HARTFORD RD,,SALEM,CT,06420,3804,Unknown,41.48799230,-72.27378141
-73.056389966923405,41.402996006060903,99,PAUL CHATFIELD SCHOOL,51 SKOKORAT ST,,SEYMOUR,CT,06483,3826,Unknown,41.40299601,-73.05638997
-73.471328002984933,41.882531304176382,100,SHARON CENTER SCHOOL,80 HILLTOP RD,,SHARON,CT,06069,2121,Unknown,41.88253130,-73.47132800
-73.135409683609964,41.315637562223742,101,ELIZABETH SHELTON SCHOOL,138 WILLOUGHBY RD,,SHELTON,CT,06484,5951,Unknown,41.31563756,-73.13540968
-73.16987022682946,41.304309779972414,102,MOHEGAN SCHOOL,47 MOHEGAN RD,,SHELTON,CT,06484,2443,Unknown,41.30430978,-73.16987023
-73.495931451375327,41.578208025380093,103,SHERMAN SCHOOL,2 ROUTE 37 EAST,,SHERMAN,CT,06784,1422,Unknown,41.57820803,-73.49593145
