name,total
Andover,3095
Ansonia,19163
Ashford,4301
Avon,18205
Barkhamsted,3772
Beacon Falls,6038
Berlin,20179
Bethany,5555
Bethel,18887
Bethlehem,3585
Bloomfield,20562
Bolton,4971
Bozrah,2618
Branford,28025
Bridgeport,145587
Bridgewater,1729
Bristol,60536
Brookfield,16614
Brooklyn,8220
Burlington,9384
Canaan,1148
Canterbury,5119
Canton,10304
Chaplin,2408
Cheshire,29264
Chester,4154
Clinton,13239
Colchester,16119
Colebrook,1523
Columbia,5476
Cornwall,1519
Coventry,12435
Cromwell,14076
Danbury,81967
Darien,20925
Deep River,4615
Derby,12841
Durham,7380
East Granby,5036
East Haddam,9138
East Hampton,12949
East Hartford,51241
East Haven,29167
East Lyme,19119
East Windsor,11281
Eastford,1650
Easton,7550
Ellington,15675
Enfield,44699
Essex,6668
Fairfield,60126
Farmington,25429
Franklin,1950
Glastonbury,34551
Goshen,2953
Granby,11284
Greenwich,61733
Griswold,11959
Groton,40126
Guilford,22377
Haddam,8343
Hamden,61468
Hampton,1815
Hartford,125130
Hartland,2257
Harwinton,5636
Hebron,9638
Kent,2964
Killingly,17317
Killingworth,6501
Lebanon,7322
Ledyard,15051
Lisbon,4334
Litchfield,8406
Lyme,2417
Madison,18289
Manchester,58196
Mansfield,26379
Marlborough,6398
Meriden,60691
Middlebury,7550
Middlefield,4421
Middletown,47539
Milford,52894
Monroe,19631
Montville,19621
Morris,2380
Naugatuck,31786
New Britain,73112
New Canaan,19938
New Fairfield,14010
New Hartford,6932
New Haven,130338
New London,27588
New Milford,27983
Newington,30606
Newtown,27772
Norfolk,1497
North Branford,14383
North Canaan,3286
North Haven,24011
North Stonington,5291
Norwalk,86499
Norwich,40424
Old Lyme,7598
Old Saybrook,10258
Orange,13934
Oxford,12736
Plainfield,15320
Plainville,17767
Plymouth,12148
Pomfret,4219
Portland,9487
Preston,4751
Prospect,9520
Putnam,9548
Redding,9207
Ridgefield,24831
Rocky Hill,19743
Roxbury,2301
Salem,4173
Salisbury,3722
Scotland,1739
Seymour,16535
Sharon,2769
Shelton,40006
Sherman,3627
Simsbury,23591
Somers,11447
South Windsor,25756
Southbury,19864
Southington,43288
Sprague,2986
Stafford,12035
Stamford,123995
Sterling,3801
Stonington,18527
Stratford,51694
Suffield,15731
Thomaston,7831
Thompson,9411
Tolland,14977
Torrington,36061
Trumbull,36251
Union,1041
Vernon,29179
Voluntown,2608
Wallingford,45112
Warren,1475
Washington,3562
Waterbury,110052
Waterford,19508
Watertown,22387
West Hartford,63340
West Haven,55349
Westbrook,6922
Weston,10261
Westport,26769
Wethersfield,26590
Willington,6018
Wilton,18353
Winchester,11150
Windham,25315
Windsor,29100
Windsor Locks,12531
Wolcott,16688
Woodbridge,8981
Woodbury,9910
Woodstock,7932
