,Asian or American Indian,Black,Hispanic,Unknown,White,Total
NEW HAVEN,0,387,180,11,262,840
HARTFORD,1,244,125,6,167,543
BRIDGEPORT,2,134,65,2,83,286
NORWALK,0,87,29,2,42,160
NEW BRITAIN,0,55,21,0,34,110
WEST HAVEN,1,45,32,2,29,109
WATERBURY,0,28,10,1,18,57
ANSONIA,0,25,5,0,12,42
STAMFORD,1,22,10,1,8,42
CONNECTICUT,5,1382,628,28,876,2919
,,,,,,
,Asian or American Indian,Black,Hispanic,Unknown,White,
NEW HAVEN,0.00,46.07,21.43,1.31,31.19,
HARTFORD,0.18,44.94,23.02,1.10,30.76,
BRIDGEPORT,0.70,46.85,22.73,0.70,29.02,
NORWALK,0.00,54.38,18.13,1.25,26.25,
NEW BRITAIN,0.00,50.00,19.09,0.00,30.91,
WEST HAVEN,0.92,41.28,29.36,1.83,26.61,
WATERBURY,0.00,49.12,17.54,1.75,31.58,
ANSONIA,0.00,59.52,11.90,0.00,28.57,
STAMFORD,2.38,52.38,23.81,2.38,19.05,
CONNECTICUT,0.17,47.34,21.51,0.96,30.01,
