"","id","Total.Arrests","Population"
"1","NEW HAVEN",32583,130338
"2","HARTFORD",21314,125130
"3","BRIDGEPORT",10596,145587
"4","WATERBURY",9866,110052
"5","NORWALK",6572,86499
"6","MANCHESTER",5201,58196
"7","NEW BRITAIN",3334,73112
"8","MERIDEN",2354,60691
"9","MIDDLETOWN",2127,47539
"10","ANSONIA",2037,19163
"11","NEW LONDON",1863,27588
"12","WEST HAVEN",1838,55349
"13","STAMFORD",1740,123995
"14","DANBURY",1444,81967
"15","ENFIELD",1296,44699
"16","DERBY",1074,12841
"17","BRISTOL",892,60536
"18","WINDHAM",756,25315
"19","EAST HARTFORD",732,51241
"20","TORRINGTON",724,36061
"21","VERNON",657,29179
"22","NORWICH",648,40424
"23","EAST HAVEN",490,29167
"24","WEST HARTFORD",478,63340
"25","STRATFORD",475,51694
"26","GROTON",445,40126
"27","SHELTON",402,40006
"28","NAUGATUCK",398,31786
"29","HAMDEN",363,61468
"30","MILFORD",361,52894
"31","GLASTONBURY",319,34551
"32","SEYMOUR",319,16535
"33","WATERTOWN",259,22387
"34","SOUTH WINDSOR",255,25756
"35","WETHERSFIELD",231,26590
"36","SOUTHINGTON",225,43288
"37","KILLINGLY",222,17317
"38","STONINGTON",208,18527
"39","WALLINGFORD",198,45112
"40","BRANFORD",189,28025
"41","FAIRFIELD",186,60126
"42","NEW MILFORD",168,27983
"43","GREENWICH",165,61733
"44","MANSFIELD",154,26379
"45","WINDSOR",151,29100
"46","ORANGE",140,13934
"47","FARMINGTON",138,25429
"48","GUILFORD",123,22377
"49","PLAINFIELD",111,15320
"50","PLAINVILLE",101,17767
"51","WINCHESTER",101,11150
"52","CLINTON",99,13239
"53","PUTNAM",90,9548
"54","NEWINGTON",85,30606
"55","GROTON CITY OF",83,NA
"56","BROOKLYN",81,8220
"57","WOODBRIDGE",75,8981
"58","NEW CANAAN",74,19938
"59","MONTVILLE",69,19621
"60","BLOOMFIELD",67,20562
"61","WATERFORD",59,19508
"62","NORTH HAVEN",57,24011
"63","EAST LYME",56,19119
"64","GRISWOLD",56,11959
"65","BANTAM",54,NA
"66","MIDDLEBURY",53,7550
"67","STAFFORD",51,12035
"68","WOLCOTT",51,16688
"69","TRUMBULL",49,36251
"70","EAST WINDSOR",47,11281
"71","CHESHIRE",46,29264
"72","GRANBY",44,11284
"73","WESTBROOK",43,6922
"74","LITCHFIELD",41,8406
"75","WINDSOR LOCKS",39,12531
"76","WESTPORT",38,26769
"77","WILTON",38,18353
"78","NORTH BRANFORD",37,14383
"79","OLD SAYBROOK",35,10258
"80","BERLIN",33,20179
"81","PLYMOUTH",33,12148
"82","BETHEL",31,18887
"83","BROOKFIELD",31,16614
"84","MONROE",31,19631
"85","SIMSBURY",29,23591
"86","EAST HAMPTON",27,12949
"87","NEWTOWN",27,27772
"88","NORTH CANAAN",27,3286
"89","ROCKY HILL",25,19743
"90","SOUTHBURY",25,19864
"91","COLCHESTER",24,16119
"92","COVENTRY",24,12435
"93","SUFFIELD",24,15731
"94","AVON",23,18205
"95","BETHANY",23,5555
"96","WOODBURY",23,9910
"97","HEBRON",20,9638
"98","RIDGEFIELD",20,24831
"99","LEDYARD",19,15051
"100","THOMASTON",18,7831
"101","PORTLAND",17,9487
"102","SOMERS",17,11447
"103","CANTON",16,10304
"104","CROMWELL",16,14076
"105","ELLINGTON",16,15675
"106","MADISON",15,18289
"107","SALISBURY",15,3722
"108","DEEP RIVER",14,4615
"109","EASTON",14,7550
"110","HADDAM",14,8343
"111","STERLING",14,3801
"112","BEACON FALLS",13,6038
"113","MARLBOROUGH",13,6398
"114","THOMPSON",13,9411
"115","TOLLAND",13,14977
"116","DARIEN",12,20925
"117","NEW FAIRFIELD",12,14010
"118","NEW HARTFORD",12,6932
"119","KILLINGWORTH",11,6501
"120","DURHAM",10,7380
"121","ESSEX",10,6668
"122","KENT",10,2964
"123","HARWINTON",9,5636
"124","NORTH STONINGTON",9,5291
"125","WESTON",9,10261
"126","WILLINGTON",9,6018
"127","BARKHAMSTED",8,3772
"128","CANAAN",8,1148
"129","CHESTER",8,4154
"130","DANIELSON",8,NA
"131","JEWETT CITY",8,NA
"132","LISBON",8,4334
"133","NORFOLK",8,1497
"134","OLD LYME",8,7598
"135","OXFORD",8,12736
"136","PROSPECT",8,9520
"137","SPRAGUE",8,2986
"138","STORRS",8,NA
"139","BURLINGTON",7,9384
"140","EAST HADDAM",7,9138
"141","GOSHEN",7,2953
"142","POMFRET",7,4219
"143","SHARON",7,2769
"144","COLEBROOK",6,1523
"145","WOODSTOCK",6,7932
"146","BETHLEHEM",5,3585
"147","CANTERBURY",5,5119
