"","id","Population","Total.Arrests"
"1","ANDOVER",3095,4
"2","ANSONIA",19163,2037
"3","ASHFORD",4301,4
"4","AVON",18205,23
"5","BARKHAMSTED",3772,8
"6","BEACON FALLS",6038,13
"7","BERLIN",20179,33
"8","BETHANY",5555,23
"9","BETHEL",18887,31
"10","BETHLEHEM",3585,5
"11","BLOOMFIELD",20562,67
"12","BOLTON",4971,1
"13","BOZRAH",2618,1
"14","BRANFORD",28025,189
"15","BRIDGEPORT",145587,10596
"16","BRIDGEWATER",1729,3
"17","BRISTOL",60536,892
"18","BROOKFIELD",16614,31
"19","BROOKLYN",8220,81
"20","BURLINGTON",9384,7
"21","CANAAN",1148,8
"22","CANTERBURY",5119,5
"23","CANTON",10304,16
"24","CHAPLIN",2408,4
"25","CHESHIRE",29264,46
"26","CHESTER",4154,8
"27","CLINTON",13239,99
"28","COLCHESTER",16119,24
"29","COLEBROOK",1523,6
"30","COLUMBIA",5476,4
"31","CORNWALL",1519,3
"32","COVENTRY",12435,24
"33","CROMWELL",14076,16
"34","DANBURY",81967,1444
"35","DARIEN",20925,12
"36","DEEP RIVER",4615,14
"37","DERBY",12841,1074
"38","DURHAM",7380,10
"39","EAST GRANBY",5036,3
"40","EAST HADDAM",9138,7
"41","EAST HAMPTON",12949,27
"42","EAST HARTFORD",51241,732
"43","EAST HAVEN",29167,490
"44","EAST LYME",19119,56
"45","EAST WINDSOR",11281,47
"46","EASTFORD",1650,NA
"47","EASTON",7550,14
"48","ELLINGTON",15675,16
"49","ENFIELD",44699,1296
"50","ESSEX",6668,10
"51","FAIRFIELD",60126,186
"52","FARMINGTON",25429,138
"53","FRANKLIN",1950,3
"54","GLASTONBURY",34551,319
"55","GOSHEN",2953,7
"56","GRANBY",11284,44
"57","GREENWICH",61733,165
"58","GRISWOLD",11959,56
"59","GROTON",40126,445
"60","GUILFORD",22377,123
"61","HADDAM",8343,14
"62","HAMDEN",61468,363
"63","HAMPTON",1815,5
"64","HARTFORD",125130,21314
"65","HARTLAND",2257,2
"66","HARWINTON",5636,9
"67","HEBRON",9638,20
"68","KENT",2964,10
"69","KILLINGLY",17317,222
"70","KILLINGWORTH",6501,11
"71","LEBANON",7322,1
"72","LEDYARD",15051,19
"73","LISBON",4334,8
"74","LITCHFIELD",8406,41
"75","LYME",2417,NA
"76","MADISON",18289,15
"77","MANCHESTER",58196,5201
"78","MANSFIELD",26379,154
"79","MARLBOROUGH",6398,13
"80","MERIDEN",60691,2354
"81","MIDDLEBURY",7550,53
"82","MIDDLEFIELD",4421,2
"83","MIDDLETOWN",47539,2127
"84","MILFORD",52894,361
"85","MONROE",19631,31
"86","MONTVILLE",19621,69
"87","MORRIS",2380,4
"88","NAUGATUCK",31786,398
"89","NEW BRITAIN",73112,3334
"90","NEW CANAAN",19938,74
"91","NEW FAIRFIELD",14010,12
"92","NEW HARTFORD",6932,12
"93","NEW HAVEN",130338,32583
"94","NEW LONDON",27588,1863
"95","NEW MILFORD",27983,168
"96","NEWINGTON",30606,85
"97","NEWTOWN",27772,27
"98","NORFOLK",1497,8
"99","NORTH BRANFORD",14383,37
"100","NORTH CANAAN",3286,27
"101","NORTH HAVEN",24011,57
"102","NORTH STONINGTON",5291,9
"103","NORWALK",86499,6572
"104","NORWICH",40424,648
"105","OLD LYME",7598,8
"106","OLD SAYBROOK",10258,35
"107","ORANGE",13934,140
"108","OXFORD",12736,8
"109","PLAINFIELD",15320,111
"110","PLAINVILLE",17767,101
"111","PLYMOUTH",12148,33
"112","POMFRET",4219,7
"113","PORTLAND",9487,17
"114","PRESTON",4751,1
"115","PROSPECT",9520,8
"116","PUTNAM",9548,90
"117","REDDING",9207,1
"118","RIDGEFIELD",24831,20
"119","ROCKY HILL",19743,25
"120","ROXBURY",2301,NA
"121","SALEM",4173,3
"122","SALISBURY",3722,15
"123","SCOTLAND",1739,2
"124","SEYMOUR",16535,319
"125","SHARON",2769,7
"126","SHELTON",40006,402
"127","SHERMAN",3627,2
"128","SIMSBURY",23591,29
"129","SOMERS",11447,17
"130","SOUTH WINDSOR",25756,255
"131","SOUTHBURY",19864,25
"132","SOUTHINGTON",43288,225
"133","SPRAGUE",2986,8
"134","STAFFORD",12035,51
"135","STAMFORD",123995,1740
"136","STERLING",3801,14
"137","STONINGTON",18527,208
"138","STRATFORD",51694,475
"139","SUFFIELD",15731,24
"140","THOMASTON",7831,18
"141","THOMPSON",9411,13
"142","TOLLAND",14977,13
"143","TORRINGTON",36061,724
"144","TRUMBULL",36251,49
"145","UNION",1041,NA
"146","VERNON",29179,657
"147","VOLUNTOWN",2608,2
"148","WALLINGFORD",45112,198
"149","WARREN",1475,2
"150","WASHINGTON",3562,5
"151","WATERBURY",110052,9866
"152","WATERFORD",19508,59
"153","WATERTOWN",22387,259
"154","WEST HARTFORD",63340,478
"155","WEST HAVEN",55349,1838
"156","WESTBROOK",6922,43
"157","WESTON",10261,9
"158","WESTPORT",26769,38
"159","WETHERSFIELD",26590,231
"160","WILLINGTON",6018,9
"161","WILTON",18353,38
"162","WINCHESTER",11150,101
"163","WINDHAM",25315,756
"164","WINDSOR",29100,151
"165","WINDSOR LOCKS",12531,39
"166","WOLCOTT",16688,51
"167","WOODBRIDGE",8981,75
"168","WOODBURY",9910,23
"169","WOODSTOCK",7932,6
