TOWN,AREA,BUFFER.ZONE,PERCENT,279D.ARRESTS
HARTFORD,503356573,355499370,70.63,12305
NEW HAVEN,561025601,388152838,69.19,14244
BRIDGEPORT,539176784,334361882,62.01,901
WEST HAVEN,304338698,142477743,46.82,588
WATERBURY,806836562,362275204,44.9,8077
WEST HARTFORD,620597104,272963041,43.98,390
NEW BRITAIN,375414524,162375258,43.25,57
EAST HARTFORD,522199484,213808211,40.94,135
ANSONIA,172476747,62288597,36.11,1191
FAIRFIELD,874835037,313561917,35.84,100
MILFORD,728288247,251749022,34.57,170
NEW LONDON,295670835,99301634,33.59,515
DERBY,150697519,49050742,32.55,574
STRATFORD,555262121,179765828,32.37,184
MANCHESTER,771683075,238913962,30.96,2667
BRISTOL,747539266,227353366,30.41,276
TRUMBULL,656906841,194877828,29.67,18
NORWALK,1013500025,287794156,28.4,3348
NEWINGTON,366337864,101503786,27.71,19
DANBURY,1230585382,333770489,27.12,661
WETHERSFIELD,365474574,97041060,26.55,86
NAUGATUCK,457208694,119515729,26.14,222
MERIDEN,673411395,166977249,24.8,749
HAMDEN,928696020,230161160,24.78,205
STAMFORD,1450941003,349625445,24.1,473
PLAINVILLE,272659076,62355378,22.87,56
NORWICH,819791597,186634522,22.77,338
SEYMOUR,417525143,94297411,22.58,154
ORANGE,485606035,107909781,22.22,95
EAST HAVEN,376572955,78568954,20.86,313
BLOOMFIELD,731863829,144776869,19.78,43
WALLINGFORD,1111470331,219244253,19.73,121
ENFIELD,953896215,185789402,19.48,737
SHELTON,889374234,169334057,19.04,193
WOODBRIDGE,534889843,101316733,18.94,36
VERNON,503866451,94814320,18.82,402
CROMWELL,361036043,66265120,18.35,9
MIDDLETOWN,1181016216,214079872,18.13,505
NORTH HAVEN,588651327,105549863,17.93,29
GREENWICH,1876103451,315901977,16.84,69
WINDSOR,863188432,142405783,16.5,83
BETHEL,471896540,74462987,15.78,16
WINDSOR LOCKS,261093546,40568750,15.54,20
FARMINGTON,802321411,124270290,15.49,104
CHESHIRE,930132820,142684266,15.34,27
AVON,657703317,100489296,15.28,6
DARIEN,654482251,97001191,14.82,2
SOUTHINGTON,1021514478,146204609,14.31,124
WESTPORT,932665036,133348586,14.3,12
WATERTOWN,822733454,111054342,13.5,167
NEW CANAAN,627923813,84109374,13.39,47
GROTON,1262365771,167681530,13.28,281
BRANFORD,780351143,102155587,13.09,96
SOUTH WINDSOR,799262838,104481685,13.07,104
ROCKY HILL,385809067,50288656,13.03,9
SIMSBURY,956186544,123200914,12.88,17
BROOKFIELD,567835732,70201901,12.36,11
WILTON,761011776,92244894,12.12,6
RIDGEFIELD,976249169,117569811,12.04,17
MONROE,732432452,88169022,12.04,14
BERLIN,752279203,87996198,11.7,13
PUTNAM,569097042,65914845,11.58,30
DEEP RIVER,394873187,45298318,11.47,6
MADISON,1021184313,116389765,11.4,7
WOLCOTT,588237006,66754910,11.35,38
MIDDLEFIELD,369633448,41415902,11.2,0
TORRINGTON,1123994385,123302074,10.97,582
GLASTONBURY,1454853419,157515792,10.83,149
CLINTON,530206642,57371593,10.82,23
WINDHAM,777661046,78228555,10.06,243
MIDDLEBURY,514211959,51010892,9.92,27
OLD SAYBROOK,601491506,55409879,9.21,21
ELLINGTON,964411397,81326358,8.43,8
EAST GRANBY,492487211,39895078,8.1,1
NORTH BRANFORD,743365125,59699970,8.03,26
WESTBROOK,600997755,44210993,7.36,3
STONINGTON,1396236319,100914609,7.23,105
PROSPECT,403309242,28753384,7.13,5
CANTON,697651584,49156366,7.05,5
MANSFIELD,1271761650,89367293,7.03,87
GUILFORD,1386268545,97316626,7.02,53
ESSEX,330511619,22662667,6.86,2
EAST LYME,1170697198,78954492,6.74,19
MONTVILLE,1231873383,82744897,6.72,19
BETHANY,599751530,39454392,6.58,4
EAST WINDSOR,747617518,48571921,6.5,23
WINCHESTER,942923557,60826929,6.45,57
WATERFORD,1241588311,79871002,6.43,21
BEACON FALLS,272771687,17434728,6.39,4
PORTLAND,692876374,44108790,6.37,5
BOLTON,409889939,25122921,6.13,1
NEWTOWN,1646662887,99087299,6.02,7
SOUTHBURY,1117027434,64801956,5.8,6
DURHAM,663807185,38160541,5.75,2
GRANBY,1137835371,63674550,5.6,38
EASTON,799008983,44587622,5.58,9
THOMASTON,340255606,18828961,5.53,13
WESTON,576349925,31849169,5.53,5
SPRAGUE,385412368,21182363,5.5,3
SOMERS,794162330,43103659,5.43,6
KILLINGLY,1390089219,75396888,5.42,64
TOLLAND,1122284000,59751803,5.32,3
BROOKLYN,815211413,43319616,5.31,28
NEW MILFORD,1776667908,90966184,5.12,60
PLYMOUTH,622677347,31732567,5.1,16
BETHLEHEM,548094338,27811529,5.07,3
NEW FAIRFIELD,701233206,35356359,5.04,2
OXFORD,929261877,46404898,4.99,2
WOODBURY,1021513136,50999412,4.99,7
EAST HAMPTON,1028571594,50617420,4.92,9
LEDYARD,1115149889,54876262,4.92,2
LITCHFIELD,1583627723,72630601,4.59,50
OLD LYME,803446034,36444555,4.54,1
COVENTRY,1066172710,47572881,4.46,12
REDDING,893721109,38570251,4.32,1
PLAINFIELD,1198251821,51560253,4.3,53
SUFFIELD,1197166364,50307423,4.2,11
HEBRON,1039475277,43670282,4.2,5
