"","Town","Arrests","Percent.of.town.in.buffer","Population","Arrests.Per.Capita"
"1","Andover",1,2.03,3095,0.32
"2","Ansonia",1191,36.11,19163,62.15
"3","Ashford",1,1.44,4301,0.23
"4","Avon",6,15.28,18205,0.33
"5","Barkhamsted",0,0.96,3772,0
"6","Beacon Falls",4,6.39,6038,0.66
"7","Berlin",13,11.7,20179,0.64
"8","Bethany",4,6.58,5555,0.72
"9","Bethel",16,15.78,18887,0.85
"10","Bethlehem",3,5.07,3585,0.84
"11","Bloomfield",43,14.89,20562,2.09
"12","Bolton",1,6.13,4971,0.2
"13","Bozrah",1,1.38,2618,0.38
"14","Branford",96,13.09,28025,3.43
"15","Bridgeport",901,52.67,145587,6.19
"16","Bridgewater",0,1.44,1729,0
"17","Bristol",276,25.76,60536,4.56
"18","Brookfield",11,12.36,16614,0.66
"19","Brooklyn",28,4.11,8220,3.41
"20","Burlington",1,4.11,9384,0.11
"21","Canaan",5,2.08,1148,4.36
"22","Canterbury",0,1.57,5119,0
"23","Canton",5,7.05,10304,0.49
"24","Chaplin",0,3.49,2408,0
"25","Cheshire",27,15.34,29264,0.92
"26","Chester",2,2.74,4154,0.48
"27","Clinton",23,10.82,13239,1.74
"28","Colchester",4,3.18,16119,0.25
"29","Colebrook",1,1.52,1523,0.66
"30","Columbia",3,3.9,5476,0.55
"31","Cornwall",0,0.58,1519,0
"32","Coventry",12,3.77,12435,0.97
"33","Cromwell",9,18.35,14076,0.64
"34","Danbury",661,19.66,81967,8.06
"35","Darien",2,13.79,20925,0.1
"36","Deep River",6,11.47,4615,1.3
"37","Derby",574,25.08,12841,44.7
"38","Durham",2,5.75,7380,0.27
"39","East Granby",1,8.1,5036,0.2
"40","East Haddam",0,3.59,9138,0
"41","East Hampton",9,4.92,12949,0.7
"42","East Hartford",135,34.35,51241,2.63
"43","East Haven",313,20.86,29167,10.73
"44","East Lyme",19,6.74,19119,0.99
"45","East Windsor",23,6.5,11281,2.04
"46","Eastford",0,0.85,1650,0
"47","Easton",9,5.58,7550,1.19
"48","Ellington",8,5.9,15675,0.51
"49","Enfield",737,19.48,44699,16.49
