NAME,LCITY,LAT,LON,TYPE
Bright Horizons Children's Center Inc.,Bethel,41.425621,-73.396351,daycare
Fun Steps Preschool Child Care Ctr,Bethel,41.397111,-73.401462,daycare
Gingerbread School House,Bethel,41.391781,-73.386731,daycare
Kindercare Learning Centerinc #1381,Bethel,41.412841,-73.380292,daycare
Little Friends Pre-school Llc,Bethel,41.38237,-73.417961,daycare
Precious Moments Day Care Ctr Inc,Bethel,41.39192,-73.382161,daycare
The Sandbox Day Care Center Of Bethel Llc,Bethel,41.3712793,-73.40756592,daycare
Village Pre-school,Bethel,41.37115,-73.412192,daycare
Ymca Children's Center,Bethel,41.3737,-73.423852,daycare
Brookfield School Age Child Care,Brookfield,41.44798347,-73.41854727,daycare
Christian Life Academy,Brookfield,41.45542,-73.401332,daycare
Country Kids Club,Brookfield,41.43904,-73.405451,daycare
Country Kids Play Farm Inc,Brookfield,41.4399,-73.405262,daycare
Greenknoll Children's Center,Brookfield,41.45229,-73.402962,daycare
Greenknoll Children's Center Annex Unit I-e,Brookfield,41.45402,-73.402932,daycare
Kids Castle Child Care Learning Center,Brookfield,41.479891,-73.408922,daycare
Montessori Community School At,Brookfield,41.44084,-73.379262,daycare
The Goddard School,Brookfield,41.49221,-73.418751,daycare
Action Early Learning Center,Danbury,41.40343,-73.455442,daycare
Best Friends Preschool,Danbury,41.37992,-73.444962,daycare
Cedargables Pre-school Llc,Danbury,41.43314,-73.493677,daycare
Children's Choice Inc.,Danbury,41.367186,-73.479437,daycare
Cifc/hsnfc School Readiness Program,Danbury,41.391001,-73.448792,daycare
Danbury Even Start Early Learning Center,Danbury,41.387688,-73.480505,daycare
Danbury Public School Child Care Prog,Danbury,41.395008,-73.465112,daycare
Hats Off To Kids Llc,Danbury,41.408773,-73.46745,daycare
Head Start Of Northern Fairfield Cty Lrl,Danbury,41.401099,-73.458591,daycare
Hudson Country Montessori School,Danbury,41.390444,-73.430295,daycare
Interfaith Early Learning Center,Danbury,41.404501,-73.440392,daycare
Kindercare Learning Ctr Inc #755,Danbury,41.42088,-73.499082,daycare
King Street Nursery School Inc.,Danbury,41.428912,-73.506301,daycare
Little People Learning Center Llc,Danbury,41.399987,-73.43494,daycare
Little Rascals Nursery School Inc,Danbury,41.43633,-73.478101,daycare
Mill Ridge School Readiness Program,Danbury,41.387688,-73.480505,daycare
New England Country Day School Inc.,Danbury,41.378927,-73.494422,daycare
Right Place,Danbury,41.390959,-73.451433,daycare
Sandbox Day Care Center Llc,Danbury,41.444461,-73.426522,daycare
Sandbox Too!,Danbury,41.37703,-73.463962,daycare
Wee Wisdom Child Care Center Fed.corrct.inst-l.sipe Bldg-rt,Danbury,41.3756,-73.4596,daycare
West Side Children's Center,Danbury,41.378561,-73.464002,daycare
Western Ct State University Child Care Ctr,Danbury,41.4006,-73.444511,daycare
First Cong Church Darien Nursery School,Darien,41.081471,-73.465221,daycare
Holly Pond School,Darien,41.05856,-73.498631,daycare
Methodist Family Center Preschool Inc.,Darien,41.083926,-73.48593,daycare
Noroton Presbyterian Church Tot Drop,Darien,41.06018,-73.488072,daycare
Our Gang Nursery School,Darien,41.0849,-73.458821,daycare
St. John Pre School,Darien,41.060451,-73.487151,daycare
St. Luke's Parish School,Darien,41.061425,-73.48407,daycare
St. Thomas More Happiness Preschool,Darien,41.086501,-73.485691,daycare
Banksville Nursery School,Greenwich,41.05835,-73.658709,daycare
Bridges School- Amherst Program,Riverside,41.050051,-73.572071,daycare
Chabad Gan Of Greenwich,Greenwich,41.0298,-73.624501,daycare
Children's Day School Inc.,Greenwich,41.037501,-73.664017,daycare
Children's Day School Inc.,Riverside,41.040301,-73.586462,daycare
Christ Church Nursery School,Greenwich,41.03190073,-73.6193233,daycare
Cos Cob Play Group,Cos cob,41.03975381,-73.59805656,daycare
Family Centers Preschool,Greenwich,41.02341643,-73.62789992,daycare
First Church Preschool,Old greenwich,41.03661251,-73.5687205,daycare
First Presbyterian Church Nur Sch,Greenwich,41.03153379,-73.62829329,daycare
Gateway School,Greenwich,41.01541397,-73.65196618,daycare
Glenville Child Care Inc. At Wms,Greenwich,41.01039,-73.648759,daycare
Greenwich Family Ymca @ New Lebanon,Greenwich,41.0015,-73.656022,daycare
Greenwich Family Ymca Child Care,Greenwich,41.01757035,-73.63981683,daycare
