TOWN,AREA,BUFFER,DIFF,PERCENT
Hartford,503356573,355499370,147857203,70.63
New Haven,561025601,388152838,172872763,69.19
Bridgeport,539176784,334361882,204814902,62.01
West Haven,304338698,142477743,161860955,46.82
Waterbury,806836562,362275204,444561358,44.90
West Hartford,620597104,272963041,347634063,43.98
New Britain,375414524,162375258,213039266,43.25
East Hartford,522199484,213808211,308391273,40.94
Ansonia,172476747,62288597,110188150,36.11
Fairfield,874835037,313561917,561273120,35.84
Milford,728288247,251749022,476539225,34.57
New London,295670835,99301634,196369201,33.59
Derby,150697519,49050742,101646777,32.55
Stratford,555262121,179765828,375496293,32.37
Manchester,771683075,238913962,532769113,30.96
Bristol,747539266,227353366,520185900,30.41
Trumbull,656906841,194877828,462029013,29.67
Norwalk,1013500025,287794156,725705869,28.40
Newington,366337864,101503786,264834078,27.71
Danbury,1230585382,333770489,896814893,27.12
Wethersfield,365474574,97041060,268433514,26.55
Naugatuck,457208694,119515729,337692965,26.14
Meriden,673411395,166977249,506434146,24.80
Hamden,928696020,230161160,698534860,24.78
Stamford,1450941003,349625445,1101315558,24.10
Plainville,272659076,62355378,210303698,22.87
Norwich,819791597,186634522,633157075,22.77
Seymour,417525143,94297411,323227732,22.58
Orange,485606035,107909781,377696254,22.22
East Haven,376572955,78568954,298004001,20.86
Bloomfield,731863829,144776869,587086960,19.78
Wallingford,1111470331,219244253,892226078,19.73
Enfield,953896215,185789402,768106813,19.48
Shelton,889374234,169334057,720040177,19.04
Woodbridge,534889843,101316733,433573110,18.94
Vernon,503866451,94814320,409052131,18.82
Cromwell,361036043,66265120,294770923,18.35
Middletown,1181016216,214079872,966936344,18.13
North Haven,588651327,105549863,483101464,17.93
Greenwich,1876103451,315901977,1560201474,16.84
Windsor,863188432,142405783,720782649,16.50
Bethel,471896540,74462987,397433553,15.78
Windsor Locks,261093546,40568750,220524796,15.54
Farmington,802321411,124270290,678051121,15.49
Cheshire,930132820,142684266,787448554,15.34
Avon,657703317,100489296,557214021,15.28
Darien,654482251,97001191,557481060,14.82
Southington,1021514478,146204609,875309869,14.31
Westport,932665036,133348586,799316450,14.30
Watertown,822733454,111054342,711679112,13.50
New Canaan,627923813,84109374,543814439,13.39
Groton,1262365771,167681530,1094684241,13.28
Branford,780351143,102155587,678195556,13.09
South Windsor,799262838,104481685,694781153,13.07
Rocky Hill,385809067,50288656,335520411,13.03
Simsbury,956186544,123200914,832985630,12.88
Brookfield,567835732,70201901,497633831,12.36
Wilton,761011776,92244894,668766882,12.12
Ridgefield,976249169,117569811,858679358,12.04
Monroe,732432452,88169022,644263430,12.04
Berlin,752279203,87996198,664283005,11.70
Putnam,569097042,65914845,503182197,11.58
Deep River,394873187,45298318,349574869,11.47
Madison,1021184313,116389765,904794548,11.40
Wolcott,588237006,66754910,521482096,11.35
Middlefield,369633448,41415902,328217546,11.20
Torrington,1123994385,123302074,1000692311,10.97
Glastonbury,1454853419,157515792,1297337627,10.83
Clinton,530206642,57371593,472835049,10.82
Windham,777661046,78228555,699432491,10.06
Middlebury,514211959,51010892,463201067,9.92
Old Saybrook,601491506,55409879,546081627,9.21
Ellington,964411397,81326358,883085039,8.43
East Granby,492487211,39895078,452592133,8.10
North Branford,743365125,59699970,683665155,8.03
Westbrook,600997755,44210993,556786762,7.36
Stonington,1396236319,100914609,1295321710,7.23
Prospect,403309242,28753384,374555858,7.13
Canton,697651584,49156366,648495218,7.05
Mansfield,1271761650,89367293,1182394357,7.03
Guilford,1386268545,97316626,1288951919,7.02
Essex,330511619,22662667,307848952,6.86
East Lyme,1170697198,78954492,1091742706,6.74
Montville,1231873383,82744897,1149128486,6.72
Bethany,599751530,39454392,560297138,6.58
East Windsor,747617518,48571921,699045597,6.50
Winchester,942923557,60826929,882096628,6.45
Waterford,1241588311,79871002,1161717309,6.43
Beacon Falls,272771687,17434728,255336959,6.39
Portland,692876374,44108790,648767584,6.37
Bolton,409889939,25122921,384767018,6.13
Newtown,1646662887,99087299,1547575588,6.02
Southbury,1117027434,64801956,1052225478,5.80
Durham,663807185,38160541,625646644,5.75
Granby,1137835371,63674550,1074160821,5.60
Easton,799008983,44587622,754421361,5.58
Thomaston,340255606,18828961,321426645,5.53
Weston,576349925,31849169,544500756,5.53
Sprague,385412368,21182363,364230005,5.50
Somers,794162330,43103659,751058671,5.43
Killingly,1390089219,75396888,1314692331,5.42
Tolland,1122284000,59751803,1062532197,5.32
Brooklyn,815211413,43319616,771891797,5.31
New Milford,1776667908,90966184,1685701724,5.12
Plymouth,622677347,31732567,590944780,5.10
Bethlehem,548094338,27811529,520282809,5.07
New Fairfield,701233206,35356359,665876847,5.04
Oxford,929261877,46404898,882856979,4.99
Woodbury,1021513136,50999412,970513724,4.99
East Hampton,1028571594,50617420,977954174,4.92
Ledyard,1115149889,54876262,1060273627,4.92
Litchfield,1583627723,72630601,1510997122,4.59
Old Lyme,803446034,36444555,767001479,4.54
Coventry,1066172710,47572881,1018599829,4.46
Redding,893721109,38570251,855150858,4.32
Plainfield,1198251821,51560253,1146691568,4.30
Suffield,1197166364,50307423,1146858941,4.20
Hebron,1039475277,43670282,995804995,4.20
Washington,1077272967,45179559,1032093408,4.19
Burlington,847674602,34846920,812827682,4.11
New Hartford,1064197499,42231271,1021966228,3.97
Columbia,612911774,23948280,588963494,3.91
Marlborough,655754652,24738579,631016073,3.77
East Haddam,1577391769,56701700,1520690069,3.59
Franklin,545515639,19256830,526258809,3.53
Chaplin,545387445,19047219,526340226,3.49
Haddam,1290228568,44326424,1245902144,3.44
Colchester,1385594207,44113460,1341480747,3.18
Thompson,1356542486,42710325,1313832161,3.15
Salisbury,1674863371,49779687,1625083684,2.97
Sterling,760676958,22253832,738423126,2.93
North Canaan,542879976,15834831,527045145,2.92
Kent,1383018031,39457711,1343560320,2.85
Chester,469119391,12846245,456273146,2.74
Willington,934446678,25456478,908990200,2.72
Lebanon,1540261291,41301978,1498959313,2.68
Stafford,1638153183,40932716,1597220467,2.50
Salem,829843077,19771789,810071288,2.38
Sherman,652430581,15276406,637154175,2.34
Griswold,1033310472,23968356,1009342116,2.32
Woodstock,1723779753,39320397,1684459356,2.28
Roxbury,734766405,15733835,719032570,2.14
Killingworth,997539790,20858647,976681143,2.09
Canaan,926563138,19283343,907279795,2.08
Pomfret,1131270496,23352701,1107917795,2.06
Hampton,710851177,14622664,696228513,2.06
Andover,437524526,8867385,428657141,2.03
Harwinton,868152405,17249174,850903231,1.99
Preston,884861044,17182960,867678084,1.94
Lisbon,465189643,8591806,456597837,1.85
North Stonington,1532404177,27483830,1504920347,1.79
Morris,521822175,8857955,512964220,1.70
Warren,768007059,12453705,755553354,1.62
Canterbury,1120924329,17613207,1103311122,1.57
Colebrook,917857310,13905765,903951545,1.52
Ashford,1100347915,15883163,1084464752,1.44
Bridgewater,482500136,6952882,475547254,1.44
Bozrah,564346424,7776686,556569738,1.38
Scotland,520846266,6952882,513893384,1.33
Goshen,1259730122,13905765,1245824357,1.10
Lyme,960899442,10258747,950640695,1.07
Sharon,1660423365,17400816,1643022549,1.05
Barkhamsted,1082519402,10445985,1072073417,0.96
Eastford,815863746,6952882,808910864,0.85
Union,831519109,6952882,824566227,0.84
Norfolk,1294377411,9675011,1284702400,0.75
Hartland,964551721,6952882,957598839,0.72
Voluntown,1109298980,6952882,1102346098,0.63
Cornwall,1291167574,7538199,1283629375,0.58
