Month,Construction,Manufacturing,"Trade, Transportation, Utilities",Information,Financial,Professional Business,Educational and Health Services ,Leisure Hospitality,Other Services,Government
1/1/90,67900,307200,326000,43400,154600,171000,193900,110300,58600,210000
2/1/90,67500,306400,324400,43100,154700,170800,193400,109700,58700,209200
3/1/90,66600,306000,323800,43100,154500,171000,194100,109800,58900,208900
4/1/90,64600,305600,321400,42900,154200,167400,195400,108800,58600,208700
5/1/90,63900,303900,320300,42800,154300,168700,196100,108400,58300,211400
6/1/90,62600,302000,319700,43000,153900,169800,197200,108200,58000,213200
7/1/90,61700,301900,318200,42000,154200,168700,198600,107500,57700,208800
8/1/90,60500,298400,317000,41800,153900,169100,199200,106700,57800,209900
9/1/90,60500,296500,315300,41300,153300,168800,199800,107200,57300,211600
10/1/90,58200,295200,312300,41200,152300,168500,200400,106000,55500,210700
11/1/90,57100,293800,309600,40800,150900,168500,201400,106000,54800,211300
12/1/90,56100,292800,307500,40700,150900,167900,201700,105700,54100,211300
1/1/91,54900,292000,306400,41800,152300,168200,204800,100700,52700,211200
2/1/91,53500,290100,302200,41400,151200,167100,205500,100600,51800,209500
3/1/91,52800,289300,302300,41100,150700,166900,206800,100700,51200,208700
4/1/91,52600,289500,302200,40200,150000,165900,205800,101900,50500,209000
5/1/91,52200,286500,301300,40200,149400,165600,206000,101700,50500,207800
6/1/91,51700,286200,299700,39900,149000,165500,205900,102200,50800,209300
7/1/91,51000,282000,298100,39900,148200,165700,205300,101600,51800,205600
8/1/91,50500,280200,297200,39500,148200,164900,205200,101300,51000,207500
9/1/91,50300,282000,295900,39500,147800,164600,204700,101200,51000,207200
10/1/91,49700,284300,294200,39400,147700,163700,205100,101600,50200,207200
11/1/91,49100,283300,293500,39200,147700,163600,204900,101900,49900,206800
12/1/91,48600,281800,294000,39400,147500,163700,205000,101800,50400,206500
1/1/92,48500,279700,293000,39100,143600,163200,207400,101500,49400,207000
2/1/92,48000,279500,292200,39200,143000,163200,204300,101900,49300,207100
3/1/92,47900,278500,292800,39200,142800,163300,204400,101500,49500,206500
4/1/92,46400,275800,290500,39200,143900,163900,204600,100500,50800,208200
5/1/92,46800,275300,290100,39200,143800,164000,205000,100200,51500,208600
6/1/92,47200,274100,289000,39300,143100,163800,206100,100000,51700,208600
7/1/92,48200,273400,289500,39500,143400,163700,209800,100300,52500,206300
8/1/92,47700,272100,288800,39700,142500,164000,210000,100700,52800,207400
9/1/92,47600,270900,287800,39700,142400,163900,210700,100800,52800,206500
10/1/92,48000,268800,288300,39600,141900,163900,210200,101400,53700,207200
11/1/92,48100,268000,289000,39600,141600,163700,210900,101000,54200,206500
12/1/92,48200,267300,289000,39500,141700,163000,211400,100000,54700,207100
1/1/93,50600,266400,290100,39700,142100,165900,212100,103300,55700,208200
2/1/93,50500,266100,289900,40000,141600,165700,212200,102500,56400,209800
3/1/93,49400,264500,288900,39700,141700,165500,212800,100900,56800,209500
4/1/93,45800,264400,287400,39300,140600,163500,214900,101900,57100,209700
5/1/93,46700,262300,287600,39300,140200,165500,216100,102900,57000,210200
6/1/93,46600,261200,287700,39400,139800,165800,215300,102800,56500,209900
7/1/93,47000,260700,287000,39300,139800,166000,214900,103000,57200,210200
8/1/93,47300,259500,287000,39400,139800,166000,215900,103400,57400,210100
9/1/93,47700,259600,287700,39600,139800,166400,216400,103400,57700,211000
10/1/93,47300,259200,288400,39900,139800,167200,218500,104000,57900,212100
