"","Town","Overdoses","real.town.name"
"1","",2,NA
"2","Amston",1,"Hebron"
"3","Andover",2,"Andover"
"4","Ansonia",9,"Ansonia"
"5","Ashford",1,"Ashford"
"6","Avon",1,"Avon"
"7","Baltic",1,"Sprague"
"8","Barkhamsted",1,"Barkhamsted"
"9","Berlin",8,"Berlin"
"10","Bethany",2,"Bethany"
"11","Bethel",9,"Bethel"
"12","Bloomfield",2,"Bloomfield"
"13","Bozrah",1,"Bozrah"
"14","Branford",10,"Branford"
"15","Bridgeport",109,"Bridgeport"
"16","Bristol",49,"Bristol"
"17","Broad Brook",1,"East Windsor"
"18","Brookfield",1,"Brookfield"
"19","Brooklyn",3,"Brooklyn"
"20","Burlington",1,"Burlington"
"21","Canterbury",1,"Canterbury"
"22","Canton",5,"Canton"
"23","Chaplin",1,"Chaplin"
"24","Cheshire",4,"Cheshire"
"25","Chester",2,"Chester"
"26","Clinton",8,"Clinton"
"27","Colchester",2,"Colchester"
"28","Cos Cob",1,"Greenwich"
"29","Coventry",7,"Coventry"
"30","Cromwell",2,"Cromwell"
"31","Danbury",57,"Danbury"
"32","Danielson",3,"Killingly"
"33","Darien",2,"Darien"
"34","Dayville",1,"Killingly"
"35","Deep River",4,"Deep River"
"36","Derby",26,"Derby"
"37","Durham",4,"Durham"
"38","East Granby",1,"East Granby"
"39","East Haddam",3,"East Haddam"
"40","East Hampton",5,"East Hampton"
"41","East Hartford",29,"East Hartford"
"42","East Hartland",1,"Hartland"
"43","East Haven",10,"East Haven"
"44","East Lyme",3,"East Lyme"
"45","East Windsor",5,"East Windsor"
"46","East Woodstock",1,"Woodstock"
"47","Ellington",3,"Ellington"
"48","Enfield",31,"Enfield"
"49","Essex",6,"Essex"
"50","Fairfield",6,"Fairfield"
"51","Farmington",7,"Farmington"
"52","Franklin",3,"Franklin"
"53","Glastonbury",11,"Glastonbury"
"54","Granby",1,"Granby"
"55","Greenwich",13,"Greenwich"
"56","Groton",18,"Groton"
"57","Guilford",2,"Guilford"
"58","Haddam",1,"Haddam"
"59","Hamden",22,"Hamden"
"60","Hanover",1,"Sprague"
"61","Hanover",1,"Sprague"
"62","Hartford",184,"Hartford"
"63","Harwinton",3,"Harwinton"
"64","Hebron",2,"Hebron"
"65","Jewett City",2,"Griswold"
"66","Killingly",1,"Killingly"
"67","Killingworth",2,"Killingworth"
"68","Lebanon",3,"Lebanon"
"69","Ledyard",3,"Ledyard"
"70","Lisbon",2,"Lisbon"
"71","Madison",3,"Madison"
"72","Manchester",37,"Manchester"
"73","Mansfield",4,"Mansfield"
"74","Marlborough",7,"Marlborough"
"75","Mashantucket",2,"Ledyard"
"76","Meriden",47,"Meriden"
"77","Middlebury",2,"Middlebury"
"78","Middletown",44,"Middletown"
"79","Milford",30,"Milford"
"80","Monroe",1,"Monroe"
"81","Montville",3,"Montville"
"82","Moosup",4,"Plainfield"
"83","Morris",1,"Morris"
"84","Mystic",1,"Stonington"
"85","N Haven",2,"New Haven"
"86","Naugatuck",12,"Naugatuck"
"87","New Britain",70,"New Britain"
"88","New Canaan",1,"New Canaan"
"89","New Fairfield",3,"New Fairfield"
"90","New Hartford",1,"New Hartford"
"91","New Haven",146,"New Haven"
"92","New London",65,"New London"
"93","New Milford",21,"New Milford"
"94","Newington",4,"Newington"
"95","Newtown",4,"Newtown"
"96","Niantic",3,"East Lyme"
"97","No Haven",1,"North Haven"
"98","North Branford",3,"North Branford"
"99","North Canaan",6,"North Canaan"
"100","North Granby",1,"Granby"
"101","North Grosvenordale",1,NA
"102","North Haven",7,"North Haven"
"103","North Stonington",1,"North Stonington"
"104","Northford",1,"North Branford"
"105","Norwalk",24,"Norwalk"
"106","Norwich",60,"Norwich"
"107","Oakdale",1,"Montville"
"108","Oakville",1,"Watertown"
"109","Old Lyme",1,"Old Lyme"
"110","Old Saybrook",3,"Old Saybrook"
"111","Orange",1,"Orange"
"112","Oxford",3,"Oxford"
"113","Pawcatuck",4,"Stonington"
"114","Plainfield",7,"Plainfield"
"115","Plainville",8,"Plainville"
"116","Plymouth",2,"Plymouth"
"117","Pomfret",1,"Pomfret"
"118","Portland",1,"Portland"
"119","Preston",2,"Preston"
"120","Putnam",15,"Putnam"
"121","Quinebaug",1,"Thompson"
"122","Quinebaug",1,"Thompson"
"123","Ridgefield",3,"Ridgefield"
"124","Rockville",2,"Vernon"
"125","Rocky Hill",5,"Rocky Hill"
"126","Rogers",1,"Killingly"
"127","S Glastonbury",1,"Glastonbury"
"128","Salem",2,"Salem"
"129","Salisbury",2,"Salisbury"
"130","Seymour",3,"Seymour"
"131","Sharon",9,"Sharon"
"132","Shelton",9,"Shelton"
"133","Sherman",2,"Sherman"
"134","Simsbury",1,"Simsbury"
"135","South Windsor",1,"South Windsor"
"136","Southbury",1,"Southbury"
"137","Southington",28,"Southington"
"138","Sprague",1,"Sprague"
"139","Stafford",2,"Stafford"
"140","Stafford Spgs",1,"Stafford"
"141","Stafford Spgs",1,"Stafford"
"142","Stafford Springs",7,"Stafford"
"143","Stamford",32,"Stamford"
"144","Sterling",2,"Sterling"
"145","Stonington",1,"Stonington"
"146","Stratford",15,"Stratford"
"147","Suffield",2,"Suffield"
"148","Taftville",2,"Norwich"
"149","Tariffville",1,"Simsbury"
"150","Terryville",4,"Plymouth"
"151","Thomaston",3,"Thomaston"
"152","Thompson",1,"Thompson"
"153","Tolland",4,"Tolland"
"154","Torrington",48,"Torrington"
"155","Trumbull",6,"Trumbull"
"156","Uncasville",5,"Montville"
"157","Unionville",2,"Farmington"
"158","Vernon",22,"Vernon"
"159","Voluntown",2,"Voluntown"
"160","W Haven",1,"West Haven"
"161","W Haven",1,"West Haven"
"162","Wallingford",16,"Wallingford"
"163","Washington",1,"Washington"
"164","Waterbury",143,"Waterbury"
"165","Waterford",3,"Waterford"
"166","Watertown",4,"Watertown"
"167","West Hartford",6,"West Hartford"
"168","West Haven",23,"West Haven"
"169","West Stafford",1,"Stafford"
"170","Westbrook",4,"Westbrook"
"171","Westport",1,"Westport"
"172","Wethersfield",9,"Wethersifield"
"173","Willimantic",20,"Windham"
"174","Willington",1,"Willington"
"175","Wilton",1,"Wilton"
"176","Winchester",3,"Winchester"
"177","Windham",3,"Windham"
"178","Windsor",10,"Windsor"
"179","Windsor Locks",7,"Windsor Locks"
"180","Winsted",5,"Winchester"
"181","Woodbridge",1,"Woodbridge"
"182","Woodbury",2,"Woodbury"
