"","Town","Overdoses"
"1","",54
"2","Alfred Station",1
"3","Allston",1
"4","Amston",1
"5","Andover",2
"6","Ansonia",13
"7","Arlington Heights",1
"8","Astoria",1
"9","Aventura",1
"10","Avon",1
"11","Baltic",3
"12","Bass Harbor",1
"13","Beacon Falls",1
"14","Berlin",9
"15","Bethany",1
"16","Bethel",11
"17","Bloomfield",1
"18","Bolton",2
"19","Bozrah",2
"20","Branford",12
"21","Brewster",1
"22","Bridgeport",75
"23","Bristol",42
"24","Broad Brook",2
"25","Brookfield",4
"26","Brooklyn",5
"27","Burlington",2
"28","Canaan",2
"29","Canterbury",2
"30","Canton",3
"31","Charlestown",1
"32","Chesapeake",1
"33","Cheshire",7
"34","Chester",2
"35","Chicopee",1
"36","Clinton",11
"37","Colchester",5
"38","Collinsville",1
"39","Columbus",1
"40","Coventry",8
"41","Cromwell",3
"42","Danbury",35
"43","Danielson",5
"44","Darien",3
"45","Dayville",3
"46","Deep River",4
"47","Deer Lodge",1
"48","Derby",13
"49","Dover Plains",1
"50","Durham",4
"51","East Berlin",1
"52","East Canaan",1
"53","East Granby",1
"54","East Haddam",5
"55","East Hampton",10
"56","East Hartford",36
"57","East Hartland",1
"58","East Haven",23
"59","East Lyme",4
"60","East Meadow",1
"61","East Windsor",5
"62","East Woodstock",1
"63","Eastford",2
"64","Ellington",2
"65","Enfield",33
"66","Essex",3
"67","Fairfield",11
"68","Falls Village",1
"69","Farmington",6
"70","Flushing",1
"71","Franklin",3
"72","Gales Ferry",3
"73","Glastonbury",15
"74","Goshen",1
"75","Granby",2
"76","Granville",1
"77","Greenwich",6
"78","Griswold",1
"79","Groton",21
"80","Guilford",5
"81","Haddam",2
"82","Hamden",29
"83","Hamilton",1
"84","Hampton Bays",1
"85","Hancock",1
"86","Hanover",1
"87","Hartford",96
"88","Harwinton",4
"89","Hebron",5
"90","Hurley",1
"91","Ivoryton",1
"92","Jasper",1
"93","Jewett City",9
"94","Kensington",1
"95","Killingly",1
"96","Killingworth",2
"97","Kingston",1
"98","Lebanon",5
"99","Ledyard",4
"100","Lisbon",5
"101","Litchfield",1
"102","Madison",4
"103","Mahopac",1
"104","Manchester",36
"105","Mansfield",5
"106","Maplewood",1
"107","Marlborough",3
"108","Meriden",41
"109","Middlebury",3
"110","Middletown",39
"111","Milford",29
"112","Millerton",1
"113","Monroe",4
"114","Montville",3
"115","Moodus",2
"116","Moosup",4
"117","Morris",2
"118","Mystic",2
"119","N Haven",3
"120","Naples",1
"121","Naugatuck",19
"122","New Bedford",1
"123","New Brit",1
"124","New Britain",68
"125","New Canaan",1
"126","New Castle",1
"127","New Fairfield",7
"128","New Haven",93
"129","New London",37
"130","New Milford",24
"131","New York",2
"132","Newington",10
"133","Newtown",7
"134","Niantic",4
"135","No Haven",1
"136","North Branford",5
"137","North Canaan",5
"138","North Grosvenordale",1
"139","North Haven",11
"140","North Salem",1
"141","North Stonington",1
"142","Northford",1
"143","Norwalk",20
"144","Norwich",35
"145","Nutley",1
"146","Oakdale",5
"147","Oakville",5
"148","Old Greenwich",1
"149","Old Lyme",4
"150","Old Saybrook",3
"151","Oneco",1
"152","Orange",2
"153","Orlando",1
"154","Oshkosh",1
"155","Oxford",3
"156","Palmer",1
"157","Pawcatuck",4
"158","Pawtucket",1
"159","Pittsburgh",1
"160","Plainfield",4
"161","Plainville",12
"162","Plantsville",2
"163","Plymouth",2
"164","Pomfret",1
"165","Port Chester",2
"166","Portchester",1
"167","Portland",3
"168","Preston",4
"169","Prospect",3
"170","Putnam",8
"171","Quaker Hill",1
"172","Quincy",1
"173","Quinebaug",1
"174","Redding",2
"175","Ridgefield",6
"176","Rockville",2
"177","Rocky Hill",6
"178","Rogers",2
"179","Rye",2
"180","S Glastonbury",1
"181","Sakem",1
"182","Salem",2
"183","Salisbury",3
"184","Sandy Hook",1
"185","Santa Cruz",1
"186","Saratoga Spgs",1
"187","Saugus",1
"188","Seymour",9
"189","Sharon",3
"190","Shelton",17
"191","Sherman",1
"192","Simsbury",2
"193","Somers",2
"194","South Glastonbury",1
"195","South Lyme",1
"196","South Windsor",5
"197","Southbury",3
"198","Southington",24
"199","Sprague",1
"200","Stafford",2
"201","Stafford Spgs",2
"202","Stafford Springs",5
"203","Stamford",26
"204","Stanfordville",1
"205","Sterling",2
"206","Stratford",22
"207","Sudbury",1
"208","Suffield",3
"209","Taconic",1
"210","Taftville",1
"211","Tariffville",2
"212","Terryville",7
"213","Thomaston",5
"214","Thompson",1
"215","Tolland",6
"216","Torrington",41
"217","Trumbull",8
"218","Uncasville",8
"219","Unionville",2
"220","Vernon",20
"221","Vernon Rockvl",1
"222","Vine Grove",1
"223","Voluntown",4
"224","W Haven",2
"225","Wallingford",20
"226","Washington",2
"227","Waterbruy",1
"228","Waterbury",111
"229","Waterford",8
"230","Watertown",8
"231","Weatogue",1
"232","Webster",1
"233","Wellesley",1
"234","West  Haven",1
"235","West Hartford",10
"236","West Haven",30
"237","Westbrook",2
"238","Westport",3
"239","Wethersfield",12
"240","Willacoochee",1
"241","Willimantic",10
"242","Willington",2
"243","Wilton",6
"244","Winchester",3
"245","Windham",5
"246","Windsor",9
"247","Windsor Locks",7
"248","Wingdale",2
"249","Winsted",8
"250","Wolcott",5
"251","Woodbridge",1
"252","Woodbury",3
"253","Zionsville",1
