"","Town","Heroin.Overdoses","real.town.name"
"1","Amston",1,"Hebron"
"2","Andover",1,"Andover"
"3","Ansonia",2,"Ansonia"
"4","Avon",1,"Avon"
"5","Baltic",1,"Sprague"
"6","Barkhamsted",1,"Barkhamsted"
"7","Berlin",5,"Berlin"
"8","Bethany",1,"Bethany"
"9","Bethel",5,"Bethel"
"10","Bloomfield",1,"Bloomfield"
"11","Bozrah",1,"Bozrah"
"12","Branford",6,"Branford"
"13","Bridgeport",58,"Bridgeport"
"14","Bristol",28,"Bristol"
"15","Broad Brook",1,"East Windsor"
"16","Brookfield",1,"Brookfield"
"17","Brooklyn",1,"Brooklyn"
"18","Burlington",1,"Burlington"
"19","Canterbury",1,"Canterbury"
"20","Canton",2,"Canton"
"21","Chaplin",1,"Chaplin"
"22","Cheshire",2,"Cheshire"
"23","Chester",1,"Chester"
"24","Clinton",1,"Clinton"
"25","Coventry",3,"Coventry"
"26","Cromwell",1,"Cromwell"
"27","Danbury",27,"Danbury"
"28","Danielson",2,"Killingly"
"29","Deep River",3,"Deep River"
"30","Derby",9,"Derby"
"31","Durham",3,"Durham"
"32","East Granby",1,"East Granby"
"33","East Haddam",2,"East Haddam"
"34","East Hampton",2,"East Hampton"
"35","East Hartford",20,"East Hartford"
"36","East Haven",4,"East Haven"
"37","East Lyme",3,"East Lyme"
"38","East Windsor",3,"East Windsor"
"39","Ellington",2,"Ellington"
"40","Enfield",16,"Enfield"
"41","Essex",2,"Essex"
"42","Fairfield",5,"Fairfield"
"43","Farmington",3,"Farmington"
"44","Franklin",1,"Franklin"
"45","Glastonbury",7,"Glastonbury"
"46","Granby",1,"Granby"
"47","Greenwich",3,"Greenwich"
"48","Groton",13,"Groton"
"49","Guilford",2,"Guilford"
"50","Haddam",1,"Haddam"
"51","Hamden",9,"Hamden"
"52","Hanover",1,"Sprague"
"53","Hanover",1,"Sprague"
"54","Hartford",113,"Hartford"
"55","Harwinton",2,"Harwinton"
"56","Hebron",2,"Hebron"
"57","Jewett City",2,"Griswold"
"58","Killingworth",1,"Killingworth"
"59","Lebanon",2,"Lebanon"
"60","Ledyard",2,"Ledyard"
"61","Lisbon",2,"Lisbon"
"62","Madison",1,"Madison"
"63","Manchester",26,"Manchester"
"64","Mansfield",1,"Mansfield"
"65","Marlborough",5,"Marlborough"
"66","Mashantucket",1,"Ledyard"
"67","Meriden",25,"Meriden"
"68","Middlebury",1,"Middlebury"
"69","Middletown",27,"Middletown"
"70","Milford",18,"Milford"
"71","Monroe",1,"Monroe"
"72","Montville",1,"Montville"
"73","Moosup",2,"Plainfield"
"74","N Haven",1,"New Haven"
"75","Naugatuck",5,"Naugatuck"
"76","New Britain",36,"New Britain"
"77","New Fairfield",1,"New Fairfield"
"78","New Hartford",1,"New Hartford"
"79","New Haven",76,"New Haven"
"80","New London",44,"New London"
"81","New Milford",15,"New Milford"
"82","Newington",2,"Newington"
"83","Newtown",2,"Newtown"
"84","Niantic",2,"East Lyme"
"85","No Haven",1,"North Haven"
"86","North Branford",1,"North Branford"
"87","North Canaan",4,"North Canaan"
"88","North Granby",1,"Granby"
"89","North Grosvenordale",1,"Thompson"
"90","North Haven",3,"North Haven"
"91","Northford",1,"North Branford"
"92","Norwalk",15,"Norwalk"
"93","Norwich",35,"Norwich"
"94","Oakdale",1,"Montville"
"95","Oakville",1,"Watertown"
"96","Old Saybrook",1,"Old Saybrook"
"97","Orange",1,"Orange"
"98","Oxford",1,"Oxford"
"99","Pawcatuck",1,"Stonington"
"100","Plainfield",4,"Plainfield"
"101","Plainville",7,"Plainville"
"102","Plymouth",1,"Plymouth"
"103","Pomfret",1,"Pomfret"
"104","Portland",1,"Portland"
"105","Preston",1,"Preston"
"106","Putnam",12,"Putnam"
"107","Rockville",2,"Vernon"
"108","Rocky Hill",1,"Rocky Hill"
"109","Rogers",1,"Killingly"
"110","S Glastonbury",1,"Glastonbury"
"111","Salem",1,"Salem"
"112","Salisbury",1,"Salisbury"
"113","Seymour",2,"Seymour"
"114","Sharon",3,"Sharon"
"115","Shelton",4,"Shelton"
"116","Southington",15,"Southington"
"117","Sprague",1,"Sprague"
"118","Stafford",1,"Stafford"
"119","Stafford Springs",4,"Stafford"
"120","Stamford",17,"Stamford"
"121","Sterling",1,"Sterling"
"122","Stonington",1,"Stonington"
"123","Stratford",4,"Stratford"
"124","Suffield",1,"Suffield"
"125","Taftville",1,"Norwich"
"126","Terryville",4,"Plymouth"
"127","Thomaston",2,"Thomaston"
"128","Thompson",1,"Thompson"
"129","Tolland",2,"Tolland"
"130","Torrington",35,"Torrington"
"131","Trumbull",1,"Trumbull"
"132","Uncasville",2,"Montville"
"133","Unionville",1,"Farmington"
"134","Vernon",11,"Vernon"
"135","Voluntown",1,"Voluntown"
"136","Wallingford",6,"Wallingford"
"137","Waterbury",81,"Waterbury"
"138","Waterford",2,"Waterford"
"139","Watertown",1,"Watertown"
"140","West Hartford",4,"West Hartford"
"141","West Haven",6,"West Haven"
"142","West Stafford",1,"Stafford"
"143","Westbrook",2,"Westbrook"
"144","Wethersfield",4,"Wethersfield"
"145","Willimantic",12,"Windham"
"146","Wilton",1,"Wilton"
"147","Windham",2,"Windham"
"148","Windsor",5,"Windsor"
"149","Windsor Locks",4,"Windsor Locks"
"150","Winsted",1,"Winchester"
"151","Woodbridge",1,"Woodbridge"
"152","Woodbury",2,"Woodbury"
