"","Town","Heroin.overdoses"
"1","Andover",1
"2","Ansonia",2
"3","Avon",1
"4","Barkhamsted",1
"5","Berlin",5
"6","Bethany",1
"7","Bethel",5
"8","Bloomfield",1
"9","Bozrah",1
"10","Branford",6
"11","Bridgeport",58
"12","Bristol",28
"13","Brookfield",1
"14","Brooklyn",1
"15","Burlington",1
"16","Canterbury",1
"17","Canton",2
"18","Chaplin",1
"19","Cheshire",2
"20","Chester",1
"21","Clinton",1
"22","Coventry",3
"23","Cromwell",1
"24","Danbury",27
"25","Deep River",3
"26","Derby",9
"27","Durham",3
"28","East Granby",1
"29","East Haddam",2
"30","East Hampton",2
"31","East Hartford",20
"32","East Haven",4
"33","East Lyme",5
"34","East Windsor",4
"35","Ellington",2
"36","Enfield",16
"37","Essex",2
"38","Fairfield",5
"39","Farmington",4
"40","Franklin",1
"41","Glastonbury",8
"42","Granby",2
"43","Greenwich",3
"44","Griswold",2
"45","Groton",13
"46","Guilford",2
"47","Haddam",1
"48","Hamden",9
"49","Hartford",113
"50","Harwinton",2
"51","Hebron",3
"52","Killingly",3
"53","Killingworth",1
"54","Lebanon",2
"55","Ledyard",3
"56","Lisbon",2
"57","Madison",1
"58","Manchester",26
"59","Mansfield",1
"60","Marlborough",5
"61","Meriden",25
"62","Middlebury",1
"63","Middletown",27
"64","Milford",18
"65","Monroe",1
"66","Montville",4
"67","Naugatuck",5
"68","New Britain",36
"69","New Fairfield",1
"70","New Hartford",1
"71","New Haven",77
"72","New London",44
"73","New Milford",15
"74","Newington",2
"75","Newtown",2
"76","North Branford",2
"77","North Canaan",4
"78","North Haven",4
"79","Norwalk",15
"80","Norwich",36
"81","Old Saybrook",1
"82","Orange",1
"83","Oxford",1
"84","Plainfield",6
"85","Plainville",7
"86","Plymouth",5
"87","Pomfret",1
"88","Portland",1
"89","Preston",1
"90","Putnam",12
"91","Rocky Hill",1
"92","Salem",1
"93","Salisbury",1
"94","Seymour",2
"95","Sharon",3
"96","Shelton",4
"97","Southington",15
"98","Sprague",4
"99","Stafford",6
"100","Stamford",17
"101","Sterling",1
"102","Stonington",2
"103","Stratford",4
"104","Suffield",1
"105","Thomaston",2
"106","Thompson",2
"107","Tolland",2
"108","Torrington",35
"109","Trumbull",1
"110","Vernon",13
"111","Voluntown",1
"112","Wallingford",6
"113","Waterbury",81
"114","Waterford",2
"115","Watertown",2
"116","West Hartford",4
"117","West Haven",6
"118","Westbrook",2
"119","Wethersfield",4
"120","Wilton",1
"121","Winchester",1
"122","Windham",14
"123","Windsor",5
"124","Windsor Locks",4
"125","Woodbridge",1
"126","Woodbury",2
