"","Town","opioid.Overdoses","real.town.name"
"1","Amston",1,"Hebron"
"2","Andover",1,"Andover"
"3","Ansonia",3,"Ansonia"
"4","Berlin",4,"Berlin"
"5","Bethany",1,"Bethany"
"6","Bloomfield",1,"Bloomfield"
"7","Branford",2,"Branford"
"8","Bridgeport",22,"Bridgeport"
"9","Bristol",12,"Bristol"
"10","Brookfield",1,"Brookfield"
"11","Canterbury",1,"Canterbury"
"12","Clinton",2,"Clinton"
"13","Colchester",1,"Colchester"
"14","Danbury",12,"Danbury"
"15","Danielson",3,"Killingly"
"16","Darien",1,"Darien"
"17","Derby",7,"Derby"
"18","Durham",2,"Durham"
"19","East Haddam",1,"East Haddam"
"20","East Hampton",2,"East Hampton"
"21","East Hartford",5,"East Hartford"
"22","East Haven",8,"East Haven"
"23","East Lyme",1,"East Lyme"
"24","Enfield",9,"Enfield"
"25","Essex",1,"Essex"
"26","Fairfield",2,"Fairfield"
"27","Farmington",1,"Farmington"
"28","Franklin",1,"Franklin"
"29","Glastonbury",2,"Glastonbury"
"30","Greenwich",1,"Greenwich"
"31","Groton",6,"Groton"
"32","Haddam",1,"Haddam"
"33","Hamden",8,"Hamden"
"34","Hanover",1,"Sprague"
"35","Hanover",1,"Sprague"
"36","Hartford",50,"Hartford"
"37","Harwinton",2,"Harwinton"
"38","Jewett City",1,"Griswold"
"39","Killingworth",1,"Killingworth"
"40","Lebanon",1,"Lebanon"
"41","Madison",1,"Madison"
"42","Manchester",11,"Manchester"
"43","Mansfield",1,"Mansfield"
"44","Marlborough",1,"Marlborough"
"45","Mashantucket",1,"Ledyard"
"46","Meriden",9,"Meriden"
"47","Middlebury",1,"Middlebury"
"48","Middletown",14,"Middletown"
"49","Milford",6,"Milford"
"50","Moosup",1,"Plainfield"
"51","Naugatuck",5,"Naugatuck"
"52","New Britain",20,"New Britain"
"53","New Canaan",1,"New Canaan"
"54","New Hartford",1,"New Hartford"
"55","New Haven",34,"New Haven"
"56","New London",14,"New London"
"57","New Milford",5,"New Milford"
"58","Newtown",1,"Newtown"
"59","Niantic",1,"East Lyme"
"60","North Branford",1,"North Branford"
"61","North Canaan",3,"North Canaan"
"62","North Grosvenordale",1,"Thompson"
"63","North Haven",2,"North Haven"
"64","Norwalk",7,"Norwalk"
"65","Norwich",12,"Norwich"
"66","Old Saybrook",2,"Old Saybrook"
"67","Orange",1,"Orange"
"68","Oxford",1,"Oxford"
"69","Pawcatuck",1,"Stonington"
"70","Plainfield",1,"Plainfield"
"71","Plainville",1,"Plainville"
"72","Putnam",2,"Putnam"
"73","Salisbury",1,"Salisbury"
"74","Seymour",2,"Seymour"
"75","Sharon",3,"Sharon"
"76","Shelton",2,"Shelton"
"77","Sherman",1,"Sherman"
"78","Southington",6,"Southington"
"79","Sprague",1,"Sprague"
"80","Stafford Spgs",1,"Stafford"
"81","Stafford Spgs",1,"Stafford"
"82","Stamford",3,"Stamford"
"83","Sterling",1,"Sterling"
"84","Stratford",2,"Stratford"
"85","Suffield",1,"Suffield"
"86","Taftville",1,"Norwich"
"87","Tariffville",1,"Simsbury"
"88","Terryville",1,"Plymouth"
"89","Thomaston",1,"Thomaston"
"90","Thompson",2,"Thompson"
"91","Tolland",3,"Tolland"
"92","Torrington",8,"Torrington"
"93","Trumbull",1,"Trumbull"
"94","Uncasville",1,"Montville"
"95","Vernon",4,"Vernon"
"96","Voluntown",1,"Voluntown"
"97","Wallingford",3,"Wallingford"
"98","Washington",1,"Washington"
"99","Waterbury",36,"Waterbury"
"100","Waterford",1,"Waterford"
"101","Watertown",2,"Watertown"
"102","West Hartford",1,"West Hartford"
"103","West Haven",9,"West Haven"
"104","Westbrook",3,"Westbrook"
"105","Wethersfield",2,"Wethersfield"
"106","Willimantic",4,"Windham"
"107","Windham",2,"Windham"
"108","Windsor",1,"Windsor"
"109","Windsor Locks",3,"Windsor Locks"
"110","Winsted",1,"Winchester"
