"","Town","opioid.overdoses"
"1","Andover",1
"2","Ansonia",3
"3","Berlin",4
"4","Bethany",1
"5","Bloomfield",1
"6","Branford",2
"7","Bridgeport",22
"8","Bristol",12
"9","Brookfield",1
"10","Canterbury",1
"11","Clinton",2
"12","Colchester",1
"13","Danbury",12
"14","Darien",1
"15","Derby",7
"16","Durham",2
"17","East Haddam",1
"18","East Hampton",2
"19","East Hartford",5
"20","East Haven",8
"21","East Lyme",2
"22","Enfield",9
"23","Essex",1
"24","Fairfield",2
"25","Farmington",1
"26","Franklin",1
"27","Glastonbury",2
"28","Greenwich",1
"29","Griswold",1
"30","Groton",6
"31","Haddam",1
"32","Hamden",8
"33","Hartford",50
"34","Harwinton",2
"35","Hebron",1
"36","Killingly",3
"37","Killingworth",1
"38","Lebanon",1
"39","Ledyard",1
"40","Madison",1
"41","Manchester",11
"42","Mansfield",1
"43","Marlborough",1
"44","Meriden",9
"45","Middlebury",1
"46","Middletown",14
"47","Milford",6
"48","Montville",1
"49","Naugatuck",5
"50","New Britain",20
"51","New Canaan",1
"52","New Hartford",1
"53","New Haven",34
"54","New London",14
"55","New Milford",5
"56","Newtown",1
"57","North Branford",1
"58","North Canaan",3
"59","North Haven",2
"60","Norwalk",7
"61","Norwich",13
"62","Old Saybrook",2
"63","Orange",1
"64","Oxford",1
"65","Plainfield",2
"66","Plainville",1
"67","Plymouth",1
"68","Putnam",2
"69","Salisbury",1
"70","Seymour",2
"71","Sharon",3
"72","Shelton",2
"73","Sherman",1
"74","Simsbury",1
"75","Southington",6
"76","Sprague",3
"77","Stafford",2
"78","Stamford",3
"79","Sterling",1
"80","Stonington",1
"81","Stratford",2
"82","Suffield",1
"83","Thomaston",1
"84","Thompson",3
"85","Tolland",3
"86","Torrington",8
"87","Trumbull",1
"88","Vernon",4
"89","Voluntown",1
"90","Wallingford",3
"91","Washington",1
"92","Waterbury",36
"93","Waterford",1
"94","Watertown",2
"95","West Hartford",1
"96","West Haven",9
"97","Westbrook",3
"98","Wethersfield",2
"99","Winchester",1
"100","Windham",6
"101","Windsor",1
"102","Windsor Locks",3
