"","Town","Population","Heroin.overdoses","opioid.overdoses","Heroin.percapita","Opioid.percapita"
"1","Andover",3095,1,1,0.32,0.32
"2","Ansonia",19163,2,3,0.1,0.16
"3","Ashford",4301,NA,NA,NA,NA
"4","Avon",18205,1,NA,0.05,NA
"5","Barkhamsted",3772,1,NA,0.27,NA
"6","Beacon Falls",6038,NA,NA,NA,NA
"7","Berlin",20179,5,4,0.25,0.2
"8","Bethany",5555,1,1,0.18,0.18
"9","Bethel",18887,5,NA,0.26,NA
"10","Bethlehem",3585,NA,NA,NA,NA
"11","Bloomfield",20562,1,1,0.05,0.05
"12","Bolton",4971,NA,NA,NA,NA
"13","Bozrah",2618,1,NA,0.38,NA
"14","Branford",28025,6,2,0.21,0.07
"15","Bridgeport",145587,58,22,0.4,0.15
"16","Bridgewater",1729,NA,NA,NA,NA
"17","Bristol",60536,28,12,0.46,0.2
"18","Brookfield",16614,1,1,0.06,0.06
"19","Brooklyn",8220,1,NA,0.12,NA
"20","Burlington",9384,1,NA,0.11,NA
"21","Canaan",1148,NA,NA,NA,NA
"22","Canterbury",5119,1,1,0.2,0.2
"23","Canton",10304,2,NA,0.19,NA
"24","Chaplin",2408,1,NA,0.42,NA
"25","Cheshire",29264,2,NA,0.07,NA
"26","Chester",4154,1,NA,0.24,NA
"27","Clinton",13239,1,2,0.08,0.15
"28","Colchester",16119,NA,1,NA,0.06
"29","Colebrook",1523,NA,NA,NA,NA
"30","Columbia",5476,NA,NA,NA,NA
"31","Cornwall",1519,NA,NA,NA,NA
"32","Coventry",12435,3,NA,0.24,NA
"33","Cromwell",14076,1,NA,0.07,NA
"34","Danbury",81967,27,12,0.33,0.15
"35","Darien",20925,NA,1,NA,0.05
"36","Deep River",4615,3,NA,0.65,NA
"37","Derby",12841,9,7,0.7,0.55
"38","Durham",7380,3,2,0.41,0.27
"39","East Granby",5036,1,NA,0.2,NA
"40","East Haddam",9138,2,1,0.22,0.11
"41","East Hampton",12949,2,2,0.15,0.15
"42","East Hartford",51241,20,5,0.39,0.1
"43","East Haven",29167,4,8,0.14,0.27
"44","East Lyme",19119,5,2,0.26,0.1
"45","East Windsor",11281,4,NA,0.35,NA
"46","Eastford",1650,NA,NA,NA,NA
"47","Easton",7550,NA,NA,NA,NA
"48","Ellington",15675,2,NA,0.13,NA
"49","Enfield",44699,16,9,0.36,0.2
"50","Essex",6668,2,1,0.3,0.15
"51","Fairfield",60126,5,2,0.08,0.03
"52","Farmington",25429,4,1,0.16,0.04
"53","Franklin",1950,1,1,0.51,0.51
"54","Glastonbury",34551,8,2,0.23,0.06
"55","Goshen",2953,NA,NA,NA,NA
"56","Granby",11284,2,NA,0.18,NA
"57","Greenwich",61733,3,1,0.05,0.02
"58","Griswold",11959,2,1,0.17,0.08
"59","Groton",40126,13,6,0.32,0.15
"60","Guilford",22377,2,NA,0.09,NA
"61","Haddam",8343,1,1,0.12,0.12
"62","Hamden",61468,9,8,0.15,0.13
"63","Hampton",1815,NA,NA,NA,NA
"64","Hartford",125130,113,50,0.9,0.4
"65","Hartland",2257,NA,NA,NA,NA
"66","Harwinton",5636,2,2,0.35,0.35
"67","Hebron",9638,3,1,0.31,0.1
"68","Kent",2964,NA,NA,NA,NA
"69","Killingly",17317,3,3,0.17,0.17
"70","Killingworth",6501,1,1,0.15,0.15
"71","Lebanon",7322,2,1,0.27,0.14
"72","Ledyard",15051,3,1,0.2,0.07
"73","Lisbon",4334,2,NA,0.46,NA
"74","Litchfield",8406,NA,NA,NA,NA
"75","Lyme",2417,NA,NA,NA,NA
"76","Madison",18289,1,1,0.05,0.05
"77","Manchester",58196,26,11,0.45,0.19
"78","Mansfield",26379,1,1,0.04,0.04
"79","Marlborough",6398,5,1,0.78,0.16
"80","Meriden",60691,25,9,0.41,0.15
"81","Middlebury",7550,1,1,0.13,0.13
"82","Middlefield",4421,NA,NA,NA,NA
"83","Middletown",47539,27,14,0.57,0.29
"84","Milford",52894,18,6,0.34,0.11
"85","Monroe",19631,1,NA,0.05,NA
"86","Montville",19621,4,1,0.2,0.05
"87","Morris",2380,NA,NA,NA,NA
"88","Naugatuck",31786,5,5,0.16,0.16
"89","New Britain",73112,36,20,0.49,0.27
"90","New Canaan",19938,NA,1,NA,0.05
"91","New Fairfield",14010,1,NA,0.07,NA
"92","New Hartford",6932,1,1,0.14,0.14
"93","New Haven",130338,77,34,0.59,0.26
"94","New London",27588,44,14,1.59,0.51
"95","New Milford",27983,15,5,0.54,0.18
"96","Newington",30606,2,NA,0.07,NA
"97","Newtown",27772,2,1,0.07,0.04
"98","Norfolk",1497,NA,NA,NA,NA
"99","North Branford",14383,2,1,0.14,0.07
"100","North Canaan",3286,4,3,1.22,0.91
"101","North Haven",24011,4,2,0.17,0.08
"102","North Stonington",5291,NA,NA,NA,NA
"103","Norwalk",86499,15,7,0.17,0.08
"104","Norwich",40424,36,13,0.89,0.32
"105","Old Lyme",7598,NA,NA,NA,NA
"106","Old Saybrook",10258,1,2,0.1,0.19
"107","Orange",13934,1,1,0.07,0.07
"108","Oxford",12736,1,1,0.08,0.08
"109","Plainfield",15320,6,2,0.39,0.13
"110","Plainville",17767,7,1,0.39,0.06
"111","Plymouth",12148,5,1,0.41,0.08
"112","Pomfret",4219,1,NA,0.24,NA
"113","Portland",9487,1,NA,0.11,NA
"114","Preston",4751,1,NA,0.21,NA
"115","Prospect",9520,NA,NA,NA,NA
"116","Putnam",9548,12,2,1.26,0.21
"117","Redding",9207,NA,NA,NA,NA
"118","Ridgefield",24831,NA,NA,NA,NA
"119","Rocky Hill",19743,1,NA,0.05,NA
"120","Roxbury",2301,NA,NA,NA,NA
"121","Salem",4173,1,NA,0.24,NA
"122","Salisbury",3722,1,1,0.27,0.27
"123","Scotland",1739,NA,NA,NA,NA
"124","Seymour",16535,2,2,0.12,0.12
"125","Sharon",2769,3,3,1.08,1.08
"126","Shelton",40006,4,2,0.1,0.05
"127","Sherman",3627,NA,1,NA,0.28
"128","Simsbury",23591,NA,1,NA,0.04
"129","Somers",11447,NA,NA,NA,NA
"130","South Windsor",25756,NA,NA,NA,NA
"131","Southbury",19864,NA,NA,NA,NA
"132","Southington",43288,15,6,0.35,0.14
"133","Sprague",2986,4,3,1.34,1
"134","Stafford",12035,6,2,0.5,0.17
"135","Stamford",123995,17,3,0.14,0.02
"136","Sterling",3801,1,1,0.26,0.26
"137","Stonington",18527,2,1,0.11,0.05
"138","Stratford",51694,4,2,0.08,0.04
"139","Suffield",15731,1,1,0.06,0.06
"140","Thomaston",7831,2,1,0.26,0.13
"141","Thompson",9411,2,3,0.21,0.32
"142","Tolland",14977,2,3,0.13,0.2
"143","Torrington",36061,35,8,0.97,0.22
"144","Trumbull",36251,1,1,0.03,0.03
"145","Union",1041,NA,NA,NA,NA
"146","Vernon",29179,13,4,0.45,0.14
"147","Voluntown",2608,1,1,0.38,0.38
"148","Wallingford",45112,6,3,0.13,0.07
"149","Warren",1475,NA,NA,NA,NA
"150","Washington",3562,NA,1,NA,0.28
"151","Waterbury",110052,81,36,0.74,0.33
"152","Waterford",19508,2,1,0.1,0.05
"153","Watertown",22387,2,2,0.09,0.09
"154","West Hartford",63340,4,1,0.06,0.02
"155","West Haven",55349,6,9,0.11,0.16
"156","Westbrook",6922,2,3,0.29,0.43
"157","Weston",10261,NA,NA,NA,NA
"158","Westport",26769,NA,NA,NA,NA
"159","Wethersfield",26590,4,2,0.15,0.08
"160","Willington",6018,NA,NA,NA,NA
"161","Wilton",18353,1,NA,0.05,NA
"162","Winchester",11150,1,1,0.09,0.09
"163","Windham",25315,14,6,0.55,0.24
"164","Windsor",29100,5,1,0.17,0.03
"165","Windsor Locks",12531,4,3,0.32,0.24
"166","Wolcott",16688,NA,NA,NA,NA
"167","Woodbridge",8981,1,NA,0.11,NA
"168","Woodbury",9910,2,NA,0.2,NA
"169","Woodstock",7932,NA,NA,NA,NA
