Fiscal Year,Weekly,Instant,Daily,Lotto,Cash5,Powerball,Lucky-4-Life,Mega Millions,CSD,Total
1972,$17288925.00,,,,,,,,,$17288925.00
1973,$34711849.00,,,,,,,,,$34711849.00
1974,$30752727.00,,,,,,,,,$30752727.00
1975,$30894815.00,,,,,,,,,$30894815.00
1976,$29493098.00,$41927201.00,,,,,,,,$71420299.00
1977,$25824711.00,$23826954.00,$13082292.00,,,,,,,$62733957.00
1978,$19201917.00,$41863247.00,$46391128.00,,,,,,,$107456292.00
1979,$12871166.00,$49725859.00,$58327191.00,,,,,,,$120924216.00
1980,$11525566.00,$45505590.00,$73167966.00,,,,,,,$130199122.00
1981,$10103356.00,$56162297.00,$84695066.00,,,,,,,$150960719.00
1982,$10374509.00,$53811277.00,$105858579.00,,,,,,,$170044365.00
1983,$14169658.00,$56039768.00,$118462919.00,,,,,,,$188672345.00
1984,$11824652.00,$67029466.00,$131497615.00,$44062100.00,,,,,,$254413833.00
1985,$7334605.00,$74473823.00,$144166658.00,$118481848.00,,,,,,$344456934.00
1986,,$75370000.00,$152562000.00,$201180000.00,,,,,,$429112000.00
1987,,$80744000.00,$162070000.00,$246470000.00,,,,,,$489284000.00
1988,,$79961000.00,$175289000.00,$259347000.00,,,,,,$514597000.00
1989,,$72326000.00,$186187000.00,$236011000.00,,,,,,$494524000.00
1990,,$94695000.00,$197783000.00,$232880000.00,,,,,,$525358000.00
1991,,$120006000.00,$191625000.00,$219541000.00,,,,,,$531172000.00
1992,,$119752000.00,$195228000.00,$219794000.00,$8911000.00,,,,,$543685000.00
1993,,$110270096.00,$206512689.00,$202473626.00,$33289095.00,,,,,$552545506.00
1994,,$163424175.00,$204435016.00,$153699391.00,$30688193.00,,,,,$552246775.00
1995,,$260133000.00,$195027213.00,$170456205.00,$45198122.00,,,,,$670814540.00
1996,,$296131624.00,$181286172.00,$139506779.00,$48453225.00,$41529699.00,,,,$706907499.00
1997,,$395985000.00,$187365000.00,$90125000.00,$47301000.00,$49013000.00,,,,$769789000.00
1998,,$429274577.00,$175273722.00,$81294438.00,$58485186.00,$61284746.00,,,,$805612669.00
1999,,$474031672.00,$172719693.00,$51307443.00,$48359709.00,$124498286.00,,,,$870916803.00
2000,,$516624983.00,$172549679.00,$47331909.00,$44521398.00,$56481537.00,,,,$837509506.00
2001,,$528334805.00,$178014553.00,$37219618.00,$41820131.00,$54322440.00,,,,$839711547.00
2002,,$543242449.00,$179607289.00,$54078099.00,$42049572.00,$88925859.00,,,,$907903268.00
2003,,$530692944.00,$181810755.00,$36675347.00,$41154669.00,$74955932.00,,,,$865289647.00
2004,,$558013401.00,$178304309.00,$34200305.00,$41280824.00,$95857056.00,,,,$907655895.00
2005,,$592265541.00,$184713023.00,$35614156.00,$40780953.00,$79560269.00,,,,$932933942.00
2006,,$587558948.00,$187222868.00,$32260541.00,$41351503.00,$121932928.00,,,,$970326788.00
2007,,$594933065.00,$197584181.00,$30386267.00,$41371201.00,$92751720.00,,,,$957026434.00
2008,,$618969398.00,$207618854.00,$32201001.00,$41158693.00,$98199946.00,,,,$998147892.00
2009,,$610012538.00,$206343277.00,$32942176.00,$40419912.00,$92133639.00,$9451502.00,,,$991303044.00
2010,,$593374212.00,$211315945.00,$29904367.00,$35041315.00,$85282260.00,$30698268.00,$11230441.00,,$996846808.00
2011,,$610567984.00,$225380463.00,$24341107.00,$34243204.00,$60280232.00,$23815216.00,$33184547.00,$4801260.00,$1016614013.00
2012,,$653310309.00,$220060261.00,$27372269.00,$33780509.00,$74281049.00,$26871458.00,$40628351.00,$5435860.00,$1081740066.00
2013,,$667255859.00,$233618407.00,$22149929.00,$32564213.00,$107382701.00,$30432202.00,$23727284.00,$5564355.00,$1122694950.00
Total,$266371554.00,$11487626062.00,$6123156782.00,$3143306921.00,$872223627.00,$1458673299.00,$121268646.00,$108770623.00,$15801475.00,$23597198988.00
Notes:,,,,,,,,,,
"(1)  P.A. 96-212, effective July 1, 1996, established the Connecticut Lottery Corporation to operate the lottery.  The fiscal year 1997",,,,,,,,,,
        thru 2012 figures are from the Connecticut Lottery Corporation's audited financial statements.,,,,,,,,,,
