2998,384 STATE ST,NORTH HAVEN,CT,6473
2999,244 FARMS VILLAGE RD BLDG N,WEST SIMSBURY,CT,60922407
3000,49 SOUTH ST,DANBURY,CT,68108155
3001,619 S MAIN ST,MIDDLETOWN,CT,64574252
3002,999 MAPLEWOOD AVE,BRIDGEPORT,CT,66051638
3003,610 MAIN ST,MIDDLETOWN,CT,64572824
3004,133 CHAMBERLAIN HWY,MERIDEN,CT,64512831
3005,289 N MAIN ST,WINSTED,CT,60981277
3006,45 CHAMBERLAIN HWY,KENSINGTON,CT,60371920
3007,104 MAIN ST,WILLIMANTIC,CT,62263117
3008,9 WOODSTOCK RD,THOMPSON,CT,62772247
3009,200 CLEMENT RD,E HARTFORD,CT,61181199
3010,630 TALCOTTVILLE RD,VERNON,CT,60662393
3011,1226 OLD COLCHESTER RD,OAKDALE,CT,63701672
3012,295 WINDSOR AVE,WINDSOR,CT,60954557
3013,176 WEST ST,CROMWELL,CT,64161880
3014,305 GREEN RD,MANCHESTER,CT,60423247
3015,385 WHALLEY AVE,NEW HAVEN,CT,65113044
3016,3634 MAIN ST,STRATFORD,CT,66144102
3017,276 WHITE ST,DANBURY,CT,68106932
3018,49 LEETES ISLAND RD,BRANFORD,CT,64056513
3019,CONNECTICUT BRAND REGISTRATION,HARTFORD,CT,6106
3020,704 NORWICH RD,PLAINFIELD,CT,63741729
3021,564 W MAIN ST,NORWICH,CT,63605321
3022,126 S MAIN ST,NEW BRITAIN,CT,60513107
3023,284 MAIN ST S,SOUTHBURY,CT,64882216
3024,711 RUBBER AVE,NAUGATUCK,CT,67703601
3025,340 S MAIN ST,NEW BRITAIN,CT,60513553
3026,518 HOPMEADOW ST,SIMSBURY,CT,60702415
3027,45 PEARL ST,SEYMOUR,CT,64833312
3028,600 NEW HAVEN AVE,DERBY,CT,64182529
3029,1607 BARNUM AVE,STRATFORD,CT,66145302
3030,502 SAW MILL RD,WEST HAVEN,CT,65164046
3031,554 FERRY ST,NEW HAVEN,CT,65133053
3032,61 CHURCH HILL RD,NEWTOWN,CT,64701614
3033,497 ROUTE 6,ANDOVER,CT,62321320
3034,388 MAIN ST,EAST HAVEN,CT,65122837
3035,534 WOLCOTT RD,WOLCOTT,CT,67162451
3036,583 BOSTON POST RD,OLD SAYBROOK,CT,64751572
3037,224 MAGEE AVE,STAMFORD,CT,69025926
3038,2808 FAIRFIELD AVE,BRIDGEPORT,CT,66053047
3039,126 GALLUP HILL RD,LEDYARD,CT,63391612
3040,293 W MAIN ST,MERIDEN,CT,64514005
3041,398 MAIN ST,SOUTHINGTON,CT,64894522
3042,1707 STANLEY ST,NEW BRITAIN,CT,60532021
3043,102 COLEBROOK RIVER RD,WINSTED,CT,60982205
3044,1657 BOSTON TPKE,COVENTRY,CT,62381105
3045,538 E MAIN ST,NEW BRITAIN,CT,60512042
3046,8 ROGER SQ,NORWALK,CT,68552012
3047,37 CENTER ST,BRISTOL,CT,60104917
3048,846 BOYDEN ST,WATERBURY,CT,67041522
3049,641 WASHINGTON AVE,NORTH HAVEN,CT,64731134
3050,3 E MAIN ST,CANAAN,CT,60182513
3051,149 NEW BRITAIN AVE,PLAINVILLE,CT,60622074
3052,1980 PARK ST,HARTFORD,CT,61062022
3053,117 PROSPECT AVE,HARTFORD,CT,61062941
3054,1219 E MAIN ST,BRIDGEPORT,CT,66081621
3055,1439 EAST ST,NEW BRITAIN,CT,60532136
3056,1913 DIXWELL AVE,HAMDEN,CT,65142402
3057,78 BOSTON POST RD,MADISON,CT,64432157
3058,724 SILAS DEANE HWY,WETHERSFIELD,CT,61093027
3059,915 BANK ST,NEW LONDON,CT,63202702
3060,1700 WEST ST,SOUTHINGTON,CT,64891054
3061,196 PINE HILL RD RTE 6,THOMASTON,CT,67871907
3062,71 HARTFORD TPKE,TOLLAND,CT,60842819
3063,180 CONNECTICUT AVE,NORWALK,CT,68541962
3064,101 W MAIN ST,MERIDEN,CT,64514141
3065,237 ROUTE 81,KILLINGWORTH,CT,64191445
3066,2414 GOLD STAR HWY,MYSTIC,CT,63551132
3067,211 N MAIN ST,JEWETT CITY,CT,63511827
3068,927 E MAIN ST,MERIDEN,CT,64506006
3069,33 WHARTON BROOK DR,WALLINGFORD,CT,64924825
3070,685 WOLCOTT RD,WOLCOTT,CT,67162426
3071,100 NEWTOWN RD,DANBURY,CT,68104123
3072,248 BOSTON POST RD,ORANGE,CT,64773207
3073,196 S MONTOWESE ST,BRANFORD,CT,64055242
3074,490 WASHINGTON AVE,NORTH HAVEN,CT,64731313
3075,276 MAIN ST,BERLIN,CT,60372637
3076,347 KENNEDY DR,PUTNAM,CT,62601636
3077,360 ROUTE 44,PINE MEADOW,CT,6061
3078,27 BEDFORD ST,STAMFORD,CT,69011908
3079,749 SAYBROOK RD,MIDDLETOWN,CT,64574742
3080,649 E MAIN ST,WATERBURY,CT,67021709
3081,77 WESTCOTT RD,DANIELSON,CT,62392929
3082,813 RIVER RD,SHELTON,CT,64845432
3083,162 SCHOOL ST,PUTNAM,CT,62601614
3084,169 MAIN ST,SOMERS,CT,60711823
3085,166 SOUTH RIVERSIDE AVE,PEQUABUCK,CT,6781
3086,496 FROST RD,WATERBURY,CT,67052304
3087,1481 SOUTHFORD RD,SOUTHBURY,CT,64882484
3088,2008 WHITNEY AVE,HAMDEN,CT,65171025
3089,44 NEW HAVEN RD,SEYMOUR,CT,64833406
3090,460 OAKLAND ST,MANCHESTER,CT,60422121
3091,409 PROVIDENCE RD,BROOKLYN,CT,62341818
3092,128 FEDERAL RD,DANBURY,CT,68114022
3093,77 ELLA GRASSO TPKE,WINDSOR LOCKS,CT,60961016
3094,158 FRANKLIN AVE,HARTFORD,CT,61141334
3095,36 E MAIN ST,BRISTOL,CT,60107053
3096,126 SOUTH RD,ENFIELD,CT,60824430
3097,21 WATERBURY RD,THOMASTON,CT,67871825
3098,404 HOPMEADOW ST,WEATOGUE,CT,60899731
3099,95 BUCKLAND ST,MANCHESTER,CT,60428792
3100,19 PUTNAM RD,POMFRET,CT,6258
3101,221 DANBURY RD,NEW MILFORD,CT,67764354
3102,2103 STORRS RD,STORRS,CT,62681142
3103,57 PENNSYLVANIA AVE,NIANTIC,CT,63573224
3104,350 STEPSTONE HILL RD,GUILFORD,CT,64372041
3105,1675 BOSTON POST RD,GUILFORD,CT,64372387
3106,47 MAIN ST,OLD MYSTIC,CT,63729992
3107,153 HARTFORD TPKE,TOLLAND,CT,60842819
3108,57 PENNSYLVANIA AVE,NIANTIC,CT,63573224
3109,90 PLAINS RD,ESSEX,CT,64261501
3110,229 HENRY ST,STAMFORD,CT,69026959
3111,720 FOXON RD,EAST HAVEN,CT,65131863
3112,198 BURLINGTON AVE,BRISTOL,CT,60103678
3113,934 BROAD ST,MERIDEN,CT,64503471
3114,237 MERROW RD,TOLLAND,CT,60843915
3115,89 STAFFORD AVE,BRISTOL,CT,60104605
3116,130 BOSTON POST RD,WESTBROOK,CT,64981771
3117,447 OSGOOD AVE,NEW BRITAIN,CT,60532230
3118,90 ELM ST,ENFIELD,CT,60823770
3119,607 CORNWALL BRIDGE RD,CORNWALL BRIDGE,CT,67541905
3120,693 CONNECTICUT AVE,BRIDGEPORT,CT,66071134
