1,328 ROUTE 12,GROTON,CT,06340-2930
2,5 PERSHING DR,ANSONIA,CT,06401-2213
3,77 N TURNPIKE RD,WALLINGFORD,CT,06492-2911
4,224 SALEM TPKE,NORWICH,CT,06360-6455
5,82 MAIN ST,CENTERBROOK,CT,06409-1001
6,9 RIVER RD,STAFFORD SPRINGS,CT,06076-1501
7,567 WAUREGAN RD,DANIELSON,CT,06239-4237
8,399 DANBURY RD,RIDGEFIELD,CT,06877-2805
9,29 MAIN ST,WINSTED,CT,06098-1703
10,394 N MAIN ST,MARLBOROUGH,CT,06447-1346
11,208 FOXON RD,N BRANFORD,CT,64711001
12,47 NORWICH-NEW LONDON,WATERFORD,CT,6385
13,1673 ROUTE 12,GALES FERRY,CT,06335-1536
14,1082 E MAIN ST,TORRINGTON,CT,06790-3912
15,1088 BOSTON POST RD,WEST HAVEN,CT,06516-2248
16,3 N MAIN ST,MARLBOROUGH,CT,06447-1309
17,334 W MAIN ST,WATERBURY,CT,06702-1102
18,8 S MAIN ST STE A,TERRYVILLE,CT,06786-6235
19,5 S MAIN ST,KENT,CT,06757-1435
20,57 DODGINGTOWN RD,NEWTOWN,CT,06470-1876
21,70 WAUREGAN RD,DANIELSON,CT,06239-3712
22,111 MILL ST,GREENWICH,CT,68305800
23,344 REIDVILLE DR,WATERBURY,CT,06705-2638
24,32 E HIGH ST,EAST HAMPTON,CT,06424-1002
25,294 RTE 12,GROTON,CT,6340
26,1288 E MAIN ST,TORRINGTON,CT,06790-3514
27,31-33 W MAIN ST,CLINTON,CT,06413-2076
28,914 S MAIN ST,CHESHIRE,CT,06410-3419
29,510 E PUTNAM AVE,GREENWICH,CT,06830-4805
30,99 STAFFORD RD,ELLINGTON,CT,06029-2834
31,337 KENT RD,KENT,CT,06757-1425
32,1201 HIGH RIDGE RD,STAMFORD,CT,69051214
33,100 N ELM ST,TORRINGTON,CT,06790-4605
34,1036 E MAIN ST,TORRINGTON,CT,06790-3911
35,30 FEDERAL RD,BROOKFIELD,CT,06804-2510
36,480 BOSTON POST RD,MILFORD,CT,06460-2529
37,1009 MAIN ST,WATERTOWN,CT,06795-2933
38,161 W PUTNAM AVE,GREENWICH,CT,06830-5329
39,2020 NORWICH NEW LONDON TPKE,MONTVILLE,CT,6353
40,99 FEDERAL ROAD,DANBURY,CT,6810
41,1095 NORTH MAIN STREET,DAYVILLE,CT,6239
42,220 ROUTE 12,GROTON,CT,06340-3414
43,286 BROAD ST,MANCHESTER,CT,06040-4034
44,5 BRYAN MEMORIAL PLAZA,WASHINGTON DEPOT,CT,6794
45,15 RT 39 N,SHERMAN,CT,6784
46,351 N FRONTAGE RD,NEW LONDON,CT,06320-2628
47,332 S FRONTAGE RD,NEW LONDON,CT,06320-2608
48,150 NEW PARK AVE,HARTFORD,CT,06106-2159
49,316 MARLBOROUGH ST,PORTLAND,CT,64801977
50,1107 PLAINFIELD PIKE,STERLING,CT,06377-2109
51,664 COE AVE,EAST HAVEN,CT,6517
52,1896 MERIDEN-WATERBURY RD,MILLDALE,CT,6467
53,1261 BOSTON POST RD,GREENWICH,CT,6870
54,400 BOSTON POST RD,MILFORD,CT,06460-2579
55,32 HOWE ST,NEW HAVEN,CT,06511-4606
56,23 MAIN ST,CENTERBROOK,CT,06409-1072
57,24 S ELM ST,WINDSOR LOCKS,CT,06096-2128
58,71 N TURNPIKE RD,WALLINGFORD,CT,06492-2978
59,4 FALLS RD,MOODUS,CT,06469-1139
60,100 QUALITY ST,TRUMBULL,CT,06611-3143
61,1360 E TOWN RD,MILFORD,CT,06460-3623
62,111 MILL PLAIN ROAD,DANBURY,CT,6810
63,1046 N COLONY RD,WALLINGFORD,CT,06492-1764
64,640 OLD COLONY RD,MERIDEN,CT,06451-7931
65,3 E INDUSTRIAL RD,BRANFORD,CT,64056508
66,528 MAIN ST,WEST HAVEN,CT,65164819
67,83 W STAFFORD RD,STAFFORD SPRINGS,CT,06076-1015
68,340 MAIN ST,ANSONIA,CT,06401-2303
69,352 ROUTE 2,PRESTON,CT,06365-8647
70,1167 MAIN ST,WATERTOWN,CT,06795-3129
71,PO BOX 359,GEORGETOWN,CT,06829-0359
72,1092 KILLINGLY COMMONS DR,KILLINGLY,CT,6241
73,25 E HIGH ST STE 8,EAST HAMPTON,CT,06424-1087
74,37 S BROAD ST,PAWCATUCK,CT,06379-7909
75,87 W STAFFORD RD,STAFFORD SPRINGS,CT,06076-1044
76,50 MAIN ST,PLAINFIELD,CT,06374-2215
77,4 NEW PARK AVE,HARTFORD,CT,06106-2122
78,922 S MAIN ST,CHESHIRE,CT,06410-3419
79,624 W MAIN ST,NORWICH,CT,06360-6043
80,75 E MAIN ST,AVON,CT,06001-3805
81,147 N WASHINGTON ST,PLAINVILLE,CT,06062-1630
82,601 ROUTE 32 STE F,UNCASVILLE,CT,06382-2104
83,125 WESTBROOK RD,ESSEX,CT,06426-1521
84,3232 POST RD,SOUTHPORT,CT,06890-1308
85,639 RTE.12,GROTON,CT,6340
86,930 N COLONY RD,WALLINGFORD,CT,06492-2471
87,133 MIDDLETOWN AVE,NORTH HAVEN,CT,06473-3909
88,810 S COLONY RD,WALLINGFORD,CT,06492-5130
89,618 W MAIN ST,WATERBURY,CT,06702-1030
90,1044 POST RD,DARIEN,CT,06820-5413
91,363 ROUTE 165,PRESTON,CT,06365-8722
92,331 WEST ST,LITCHFIELD,CT,06759-3406
93,634 W MAIN ST,NORWICH,CT,06360-6007
94,152 TAFTVILLE OCCUM RD,NORWICH,CT,06360-1381
95,868 N COLONY RD,WALLINGFORD,CT,06492-2410
96,25 STATE ROUTE 39,NEW FAIRFIELD,CT,06812-4044
97,280 S MAIN ST,NAUGATUCK,CT,06770-4635
98,196 E MAIN ST,CLINTON,CT,06413-2230
99,57 WAUREGAN RD,WAUREGAN,CT,6387
100,1780 BERLIN TPKE,WETHERSFIELD,CT,06109-1300
101,309 PUTNAM AVE,WAUREGAN,CT,6387
102,60 S BROAD ST,PAWCATUCK,CT,06379-1985
103,2 CORNWALL RD,WARREN,CT,06754-1715
104,11 E HIGH ST,EAST HAMPTON,CT,06424-1022
105,250 BARNUM AVENUE CUTOFF,STRATFORD,CT,06614-5152
106,90 PLAINS RD,ESSEX,CT,64261501
107,195 STATE ST,NORTH HAVEN,CT,64732202
108,1585 MERIDEN RD,WOLCOTT,CT,06716-3253
109,1799 FARMINGTON AVE,UNIONVILLE,CT,6013
110,901 W MAIN ST,CHESHIRE,CT,06410-3936
111,1059 N COLONY RD,WALLINGFORD,CT,06492-1704
112,618 WOODTICK RD,WATERBURY,CT,67051739
113,131 W MAIN ST,WATERBURY,CT,06702-2007
114,565 W MAIN ST,NORWICH,CT,06360-5316
115,266 E MAIN ST,CLINTON,CT,06413-2254
116,846 N COLONY RD,WALLINGFORD,CT,06492-2410
117,161 BOSTON POST RD,WEST HAVEN,CT,06516-2026
118,493 CONNECTICUT AVE,NORWALK,CT,06854-1710
119,353 ROUTE 165,PRESTON,CT,06365-8631
120,56 W MAIN ST,CLINTON,CT,06413-2074
121,30 ORANGE AVE,NEW HAVEN,CT,06519-1821
122,1135 BOSTON TPKE,BOLTON,CT,06043-7405
123,80 E MAIN ST,AVON,CT,06001-3806
124,749 MAIN ST,WATERTOWN,CT,06795-2624
125,193 BOSTON POST RD,WEST HAVEN,CT,06516-2026
126,1219 MAIN ST,WATERTOWN,CT,06795-3107
127,957 FOXON RD,EAST HAVEN,CT,65131841
128,25 BROADWAY AVE,MYSTIC,CT,63552834
129,WILBUR CROSS PARKWAY S,NORTH HAVEN,CT,6473
130,863 BECKLEY RD,EAST BERLIN,CT,06023-1031
131,266 S MAIN ST # D6,NEWTOWN,CT,64706706
132,1611 MERIDEN WATERBURY RD,MILLDALE,CT,6444
133,482C SPRING ST,WINDSOR LOCKS,CT,06096-1107
134,240 W MAIN ST,VERNON ROCKVILLE,CT,06066-3442
135,50 WATERBURY RD UNIT F,PROSPECT,CT,6712
136,143 LOWREY PL,NEWINGTON,CT,06111-3003
137,242 S SALEM RD,RIDGEFIELD,CT,06877-4834
138,71 MAIN ST,TERRYVILLE,CT,06786-5122
139,744 BOSTON POST RD,WEST HAVEN,CT,06516-1840
140,299 S MAIN ST,COLCHESTER,CT,06415-1441
141,125 WESTBROOK RD,ESSEX,CT,06426-1521
142,820 E MAIN ST,STAMFORD,CT,69023915
143,539 W MAIN ST,CHESHIRE,CT,06410-2422
144,450 W MAIN ST,WATERBURY,CT,06702-1123
145,67 E MAIN ST,PLAINVILLE,CT,06062-1935
146,413 MAIN ST,WALLINGFORD,CT,06492-2262
147,1875 MERIDEN WATERBURY TPK,MILLDALE,CT,6467
148,224 QUINNIPIAC AVE,NORTH HAVEN,CT,06473-3626
149,25 N MAIN ST,BEACON FALLS,CT,06403-1127
150,1660 STAFFORD AVE,BURLINGTON,CT,6013
151,1660 STORRS RD,STORRS MANSFIELD,CT,06268-1253
152,106 FEDERAL RD,BROOKFIELD,CT,06804-2536
153,WILBUR CROSS PARKWAY N,NORTH HAVEN,CT,6473
154,601 NORWICH NORWICH LONDON TPKE,UNCASVILLE,CT,6382
155,128 FEDERAL RD,DANBURY,CT,68114022
156,1240 STRATFORD AVE,STRATFORD,CT,66156325
157,414 STATE ST,NORTH HAVEN,CT,06473-3037
158,184 ROUTE 81,KILLINGWORTH,CT,06419-1472
159,432 SHELTON AVE,HAMDEN,CT,06511-1125
160,193 E HIGH ST,EAST HAMPTON,CT,06424-2010
161,444 SAW MILL RD,WEST HAVEN,CT,06516-4015
162,685 BOSTON POST RD,OLD SAYBROOK,CT,06475-2125
163,220 ROUTE 12,GROTON,CT,06340-3414
164,612 S COLONY RD,WALLINGFORD,CT,06492-5154
165,141 MAIN ST,NEW HARTFORD,CT,06057-2747
166,1123 MERIDEN WATERBURY TPKE,CHESHIRE,CT,6410
167,277 CHURCH STREET,HEBRON,CT,6248
168,92 MAIN ST,THOMASTON,CT,67871715
169,526 W THAMES ST,NORWICH,CT,06360-7136
170,2201 MERIDEN WATERBURY RD,MARION,CT,6444
171,696 AMITY RD,BETHANY,CT,06524-3006
172,1055 BOSTON POST RD,WEST HAVEN,CT,06516-1744
173,6 BOSTON POST RD,WATERFORD,CT,06385-2402
174,25 SIGOURNEY ST,HARTFORD,CT,06106-5041
175,2 RIVER RD,WALLINGFORD,CT,06492-3536
176,60 S MAIN ST,WINSTED,CT,06098-2002
177,28 WATERBURY RD,PROSPECT,CT,06712-1238
178,144 ARCH ST,HAMDEN,CT,06514-5025
179,1070 N COLONY RD,WALLINGFORD,CT,06492-1765
180,1 LAKE AVE EXT,DANBURY,CT,6811
181,95 BRIDGE ST,HADDAM,CT,6438
182,1195 N COLONY RD,WALLINGFORD,CT,06492-1739
183,221 BOSTON POST RD,WEST HAVEN,CT,06516-2028
184,520 E PUTNAM AVE,GREENWICH,CT,06830-4806
185,144 ROUTE 6,ANDOVER,CT,62321034
