original address,latitude,longitude
"9 RIVER RD, STAFFORD SPRINGS, CT, 06076-1501",41.951306,-72.304071
"567 WAUREGAN RD, DANIELSON, CT, 06239-4237",41.765279,-71.900487
"399 DANBURY RD, RIDGEFIELD, CT, 06877-2805",41.310517,-73.485329
"29 MAIN ST, WINSTED, CT, 06098-1703",41.854925,-72.956711
"394 N MAIN ST, MARLBOROUGH, CT, 06447-1346",41.648896,-72.484555
"208 FOXON RD, N BRANFORD, CT, 64711001",41.32765,-72.816853
"47 NORWICH-NEW LONDON, WATERFORD, CT, 6385",41.424876,-72.109873
"1673 ROUTE 12, GALES FERRY, CT, 06335-1536",41.430299,-72.08248
"1082 E MAIN ST, TORRINGTON, CT, 06790-3912",41.814119,-73.09739
"1088 BOSTON POST RD, WEST HAVEN, CT, 06516-2248",41.281998,-72.981611
"3 N MAIN ST, MARLBOROUGH, CT, 06447-1309",41.631448,-72.460373
"334 W MAIN ST, WATERBURY, CT, 06702-1102",41.558262,-73.046309
"8 S MAIN ST STE A, TERRYVILLE, CT, 06786-6235",41.677884,-73.012026
"5 S MAIN ST, KENT, CT, 06757-1435",41.724224,-73.476955
"57 DODGINGTOWN RD, NEWTOWN, CT, 06470-1876",41.379602,-73.357596
"70 WAUREGAN RD, DANIELSON, CT, 06239-3712",41.793063,-71.883776
"111 MILL ST, GREENWICH, CT, 68305800",41.003467,-73.657447
"344 REIDVILLE DR, WATERBURY, CT, 06705-2638",41.536883,-73.001396
"32 E HIGH ST, EAST HAMPTON, CT, 06424-1002",41.583429,-72.501895
"294 RTE 12, GROTON, CT, 6340",41.370537,-72.070555
"1288 E MAIN ST, TORRINGTON, CT, 06790-3514",41.816609,-73.092481
"31-33 W MAIN ST, CLINTON, CT, 06413-2076",41.279187,-72.530481
"914 S MAIN ST, CHESHIRE, CT, 06410-3419",41.480168,-72.905689
"510 E PUTNAM AVE, GREENWICH, CT, 06830-4805",41.036263,-73.60707
"99 STAFFORD RD, ELLINGTON, CT, 06029-2834",41.931419,-72.382149
"337 KENT RD, KENT, CT, 06757-1425",41.675185,-73.506813
"1201 HIGH RIDGE RD, STAMFORD, CT, 69051214",41.10983,-73.546306
"100 N ELM ST, TORRINGTON, CT, 06790-4605",41.812388,-73.124325
"1036 E MAIN ST, TORRINGTON, CT, 06790-3911",41.813364,-73.098552
"30 FEDERAL RD, BROOKFIELD, CT, 06804-2510",41.432222,-73.414361
"480 BOSTON POST RD, MILFORD, CT, 06460-2529",41.229422,-73.068864
"1009 MAIN ST, WATERTOWN, CT, 06795-2933",41.596371,-73.112461
"161 W PUTNAM AVE, GREENWICH, CT, 06830-5329",41.027337,-73.631384
"2020 NORWICH NEW LONDON TPKE, MONTVILLE, CT, 6353",41.479706,-72.103971
"99 FEDERAL ROAD, DANBURY, CT, 6810",41.411012,-73.427222
"1095 NORTH MAIN STREET, DAYVILLE, CT, 6239",41.841237,-71.877209
"220 ROUTE 12, GROTON, CT, 06340-3414",41.368716,-72.067439
"286 BROAD ST, MANCHESTER, CT, 06040-4034",41.778893,-72.5375
"5 BRYAN MEMORIAL PLAZA, WASHINGTON DEPOT, CT, 6794",47.486357,-122.663285
"15 RT 39 N, SHERMAN, CT, 6784",41.580587,-73.498125
"351 N FRONTAGE RD, NEW LONDON, CT, 06320-2628",41.372131,-72.118486
"332 S FRONTAGE RD, NEW LONDON, CT, 06320-2608",41.368644,-72.120045
"150 NEW PARK AVE, HARTFORD, CT, 06106-2159",41.751753,-72.708626
"316 MARLBOROUGH ST, PORTLAND, CT, 64801977",41.569504,-72.627293
"1107 PLAINFIELD PIKE, STERLING, CT, 06377-2109",41.692354,-71.813497
"664 COE AVE, EAST HAVEN, CT, 6517",41.265771,-72.872726
"1896 MERIDEN-WATERBURY RD, MILLDALE, CT, 6467",41.563336,-72.910547
"1261 BOSTON POST RD, GREENWICH, CT, 6870",40.988101,-73.680036
"400 BOSTON POST RD, MILFORD, CT, 06460-2579",41.226725,-73.071044
"32 HOWE ST, NEW HAVEN, CT, 06511-4606",41.307969,-72.936836
"23 MAIN ST, CENTERBROOK, CT, 06409-1072",41.352189,-72.409818
"24 S ELM ST, WINDSOR LOCKS, CT, 06096-2128",41.924948,-72.647715
"71 N TURNPIKE RD, WALLINGFORD, CT, 06492-2978",41.473221,-72.831547
"4 FALLS RD, MOODUS, CT, 06469-1139",41.50297,-72.449608
"100 QUALITY ST, TRUMBULL, CT, 06611-3143",41.25555,-73.218947
"1360 E TOWN RD, MILFORD, CT, 06460-3623",41.237148,-73.03018
"111 MILL PLAIN ROAD, DANBURY, CT, 6810",41.392121,-73.52039
"1046 N COLONY RD, WALLINGFORD, CT, 06492-1764",41.49474,-72.807239
"640 OLD COLONY RD, MERIDEN, CT, 06451-7931",41.52232,-72.811475
"3 E INDUSTRIAL RD, BRANFORD, CT, 64056508",41.297048,-72.759389
"528 MAIN ST, WEST HAVEN, CT, 65164819",41.269614,-72.95816
"83 W STAFFORD RD, STAFFORD SPRINGS, CT, 06076-1015",41.968859,-72.331123
"340 MAIN ST, ANSONIA, CT, 06401-2303",41.341467,-73.078086
