Fiscal Year,Game,Gross Sales,Prizes,Agent Commissions,Transfers to the General Fund,Percent
1979,Weekly,"$12,871,166.00","$7,953,527.00","$605,841.00","$3,917,000.00",30.40%
1979,Instant,"$49,725,859.00","$26,749,512.00","$2,649,310.00","$18,200,000.00",36.60%
1979,Daily,"$58,327,191.00","$33,334,646.00","$2,915,308.00","$21,000,000.00",36%
1979,Total,"$120,924,216.00","$68,037,685.00","$6,170,459.00","$43,117,000.00",35.70%
1980,Weekly,"$11,525,566.00","$7,203,548.00","$543,883.00","$3,500,000.00",30.40%
1980,Instant,"$45,505,590.00","$25,011,521.00","$2,301,209.00","$17,735,048.00",39%
1980,Daily,"$73,167,966.00","$39,837,734.00","$3,647,986.00","$33,300,000.00",45.50%
1980,Total,"$130,199,122.00","$72,052,803.00","$6,493,078.00","$54,535,048.00",41.90%
1981,Weekly,"$10,103,356.00","$7,636,663.00","$476,104.00","$1,503,000.00",14.90%
1981,Instant,"$56,162,297.00","$30,511,317.00","$3,030,895.00","$21,500,000.00",38.30%
1981,Daily,"$84,695,066.00","$43,215,903.00","$4,194,533.00","$34,650,000.00",40.90%
1981,Total,"$150,960,719.00","$81,363,883.00","$7,701,532.00","$57,653,000.00",38.20%
1982,Weekly,"$10,374,509.00","$6,966,956.00","$492,785.00","$2,400,000.00",23.10%
1982,Instant,"$53,811,277.00","$27,853,078.00","$2,904,746.00","$21,800,000.00",40.50%
1982,Daily,"$105,858,579.00","$52,954,867.00","$5,244,059.00","$46,800,000.00",44.20%
1982,Total,"$170,044,365.00","$87,774,901.00","$8,641,590.00","$71,000,000.00",41.80%
1983,Weekly,"$14,169,658.00","$8,441,000.00","$670,000.00","$4,100,000.00",28.90%
1983,Instant,"$56,039,768.00","$28,882,000.00","$3,014,000.00","$22,825,000.00",40.70%
1983,Daily,"$118,462,919.00","$56,423,000.00","$5,918,000.00","$53,575,000.00",45.20%
1983,Total,"$188,672,345.00","$93,746,000.00","$9,602,000.00","$80,500,000.00",42.70%
1984,Weekly,"$11,824,652.00","$8,417,000.00","$536,000.00","$2,975,000.00",25.20%
1984,Instant,"$67,029,466.00","$36,450,000.00","$3,617,000.00","$24,700,000.00",36.80%
1984,Daily,"$131,497,615.00","$66,017,000.00","$6,572,000.00","$59,000,000.00",44.90%
