"","party","2012","2013","2014","2015"
"1","",182,12,155,0
"2","A Better Connecticut",0,20,1,0
"3","ABC Addition",0,3,0,0
"4","AMERICAN SECURITY INITIATIVE",0,0,0,47
"5","American Unity PAC",13,0,0,0
"6","Andrew Roraback",119,0,0,0
"7","Bob Eick",0,0,14,0
"8","cclucmedia com__",0,1,0,0
"9","Charlie Baker",0,0,0,1
"10","Chris Murphy",308,0,0,0
"11","Christopher Donovan",1,0,0,0
"12","CITIZENS FOR A NUCLEAR FREE IRAN",0,0,0,24
"13","Coalition for a Safe and Healthy Connecticut",0,3,0,0
"14","Communication Workers of America",0,0,0,4
"15","ConnCAN",0,8,1,0
"16","Connecticut Forward",0,0,437,0
"17","Connecticut Hospital Association",0,0,0,31
"18","CT Campaign For A Worthy Wage",0,0,0,13
"19","CT Education Association",0,1,1,22
"20","CT FOWARD",0,0,116,0
"21","CT FUTURE PAC",63,0,0,0
"22","CT Hospital Association",0,0,0,1
"23","Dan Roberti",2,0,0,0
"24","Daniel Roberti",39,0,0,0
"25","Dannel Malloy",0,0,711,0
"26","Democratic Congressional Campaign Committee",270,0,90,0
"27","Denise Merrill",0,0,65,1
"28","Denise Nappier",0,0,128,0
"29","Edwin Vargas",0,0,0,1
"30","Elizabeth Esty",121,0,570,2
"31","FAMILIES FOR EXCELLENT SCHOOLS",0,0,16,52
"32","Federal Statement of No Political Ads",0,0,0,4
"33","Federal Station Contacts",1,0,0,0
"34","Federal Storm Coverage Hurricane Sandy",1,0,0,0
"35","Fran O'Connell",0,0,0,2
"36","George Jepsen",0,0,52,1
"37","GOVERNMENT INTEGRITY FUND",61,0,0,0
"38","Grow Connecticut",0,0,253,1
"39","HA",94,41,131,0
"40","HMP",0,0,12,0
"41","HN",0,0,3,0
"42","House Majority Pac",28,0,158,0
"43","IAFF International Association of Firefighters",25,0,0,0
"44","Independence PAC",18,0,0,0
"45","J STREET",0,0,0,12
"46","John McKinney",0,0,160,0
"47","Joseph Courtney",73,0,0,0
"48","Joseph Ganim",0,0,0,3
"49","Justin Elicker",0,2,0,0
"50","Kevin Lembo",0,0,88,1
"51","Linda McMahon",696,0,0,0
"52","Lisa Wilson-Foley",45,0,0,0
"53","Local Station Contacts",1,0,0,0
"54","Luke Bronin",0,0,0,55
"55","MAIG",0,2,0,0
"56","mailrelay.nbcuni.ge.com",0,1,0,0
"57","MAJORITY PAC",103,0,0,0
"58","Mark Greenberg",7,0,150,0
"59","Mayors Against Illegal Guns",0,8,1,0
"60","Michael DeGrego",2,0,0,0
"61","NAB",3,2,0,0
"62","New Direction Proj",41,0,0,0
"63","NonCandidate Issue Ads",2,0,1,0
"64","NRA",0,0,1,0
"65","Patriot Majority",62,0,0,0
"66","Pedro Segarra",0,0,0,2
"67","Penny Bacchiochi",0,0,15,0
"68","Penny Bacchioci",0,0,33,0
"69","Peter Lumaj",0,0,61,1
"70","President public file",0,0,0,3
"71","REV",0,0,62,0
"72","Rico Dence",0,0,1,0
"73","SENATE MAJORITY PAC",19,0,0,0
"74","Station Contacts",1,0,0,0
"75","Susan Bysiewicz",39,0,0,0
"76","Terms and Disclosures",3,0,3,0
"77","Tim Herbst",0,0,15,0
"78","Tom Foley",0,0,757,2
"79","Toni Harp",0,2,0,0
"80","United Food Commercial Workers",0,0,0,1
"81","US Chamber of Commerce",23,0,0,0
"82","Version",0,0,2,0
"83","Women Vote",22,0,0,0
