Party,WCCT-TV,WCTX,WFSB*,WTIC-TV*,WTNH*,WUVN,WVIT*
Charlie Baker,0,0,0,0,0,1,0
Coalition for a Safe and Healthy Connecticut,0,0,3,0,0,0,0
Communication Workers of America,0,0,3,1,0,0,0
Connecticut Hospital Association,1,0,30,1,0,0,0
CT Campaign For A Worthy Wage,0,0,12,1,0,0,0
CT FOWARD,3,29,435,4,80,0,2
Daniel Roberti,0,0,24,7,8,0,0
Denise Nappier,0,0,90,24,14,0,0
Edwin Vargas,0,0,0,0,0,1,0
Fran O'Connell,0,0,0,0,0,2,0
Joseph Ganim,0,0,3,0,0,0,0
Justin Elicker,0,0,0,0,2,0,0
Michael DeGrego,0,0,0,0,2,0,0
New Direction Proj,0,0,27,8,6,0,0
NRA,1,0,0,0,0,0,0
Pedro Segarra,0,0,0,0,0,2,0
Penny Bacchioci,0,0,33,0,0,0,0
Rico Dence,0,0,0,1,0,0,0
SENATE MAJORITY PAC,0,0,0,19,0,0,0
Terms and Disclosures,0,1,3,0,2,0,0
Toni Harp,0,0,0,0,2,0,0
United Food Commercial Workers,0,0,0,1,0,0,0
Women Vote,0,0,12,6,4,0,0
Christopher Donovan,0,0,0,0,0,0,1
Federal Station Contacts,0,0,0,0,0,0,1
Federal Storm Coverage Hurricane Sandy,0,0,0,0,0,0,1
George Jepsen,0,1,30,13,8,0,1
Grow Connecticut,1,4,186,1,60,1,1
Lisa Wilson-Foley,0,0,24,10,10,0,1
Local Station Contacts,0,0,0,0,0,0,1
mailrelay.nbcuni.ge.com,0,0,0,0,0,0,1
Station Contacts,0,0,0,0,0,0,1
American Unity PAC,0,0,6,5,0,0,2
Dan Roberti,0,0,0,0,0,0,2
Denise Merrill,0,0,42,7,14,1,2
IAFF International Association of Firefighters,0,0,18,3,2,0,2
Independence PAC,0,0,9,7,0,0,2
Mark Greenberg,0,0,63,54,38,0,2
Peter Lumaj,0,0,42,14,4,0,2
US Chamber of Commerce,0,0,9,8,4,0,2
ABC Addition,0,0,0,0,0,0,3
ConnCAN,0,0,6,0,0,0,3
FAMILIES FOR EXCELLENT SCHOOLS,0,0,63,2,0,0,3
J STREET,0,0,3,4,2,0,3
Mayors Against Illegal Guns,0,0,6,0,0,0,3
President public file,0,0,0,0,0,0,3
GOVERNMENT INTEGRITY FUND,0,0,36,11,10,0,4
Patriot Majority,0,0,42,12,4,0,4
Susan Bysiewicz,0,0,27,4,4,0,4
Bob Eick,0,0,6,3,0,0,5
CT Education Association,0,0,18,1,0,0,5
CT FUTURE PAC,0,0,42,10,6,0,5
Joseph Courtney,0,0,45,15,8,0,5
Tim Herbst,0,0,0,0,10,0,5
A Better Connecticut,0,0,15,0,0,0,6
CITIZENS FOR A NUCLEAR FREE IRAN,0,0,12,6,0,0,6
Penny Bacchiochi,0,0,0,5,4,0,6
AMERICAN SECURITY INITIATIVE,0,0,24,9,6,0,8
Dannel Malloy,27,32,450,45,148,0,9
House Majority Pac,12,9,96,44,16,0,9
John McKinney,8,4,102,15,22,0,9
Elizabeth Esty,51,21,432,93,86,0,10
Andrew Roraback,0,0,57,31,20,0,11
Kevin Lembo,0,2,51,7,14,1,14
Tom Foley,47,0,561,76,60,1,14
Luke Bronin,0,0,24,7,8,0,16
Chris Murphy,0,1,180,65,44,0,18
MAJORITY PAC,0,0,78,0,6,0,19
Linda McMahon,0,0,468,136,66,0,26
Democratic Congressional Campaign Committee,7,2,159,79,38,0,75
