,year.month,Date,WCCT-TV,WCTX,WFSB,WHPX-TV,WTIC-TV,WTNH,WUVN,WVIT,,year.month,Date,WCCT-TV,WCTX,WFSB,WHPX-TV,WTIC-TV,WTNH,WUVN,WVIT,,,Date,Ads
1,,,,,,,,,,,,2012-8,Aug-12,0,1,285,0,93,72,0,93,,,Aug-12,544
2,,,,,,,,,,,,2012-9,Sep-12,0,0,192,0,82,36,0,67,,,Sep-12,377
3,,,,,,,,,,,,2012-10,Oct-12,0,1,525,0,207,150,0,216,,,Oct-12,1099
4,,,,,,,,,,,,2012-11,Nov-12,0,0,291,0,84,0,0,93,,,Nov-12,468
5,,,,,,,,,,,,,Dec-12,0,0,0,0,0,0,0,0,,,Dec-12,0
6,,,,,,,,,,,,2013-1,Jan-13,0,0,0,0,0,0,0,31,,,Jan-13,31
7,,,,,,,,,,,,,Feb-13,0,0,0,0,0,0,0,0,,,Feb-13,0
8,,,,,,,,,,,,2013-3,Mar-13,0,0,3,0,0,0,0,0,,,Mar-13,3
9,,,,,,,,,,,,2013-4,Apr-13,0,0,6,0,0,0,0,8,,,Apr-13,14
10,,,,,,,,,,,,2013-5,May-13,0,0,15,0,0,0,0,20,,,May-13,35
11,,,,,,,,,,,,2013-6,Jun-13,0,0,6,0,0,0,0,9,,,Jun-13,15
12,,,,,,,,,,,,2013-7,Jul-13,0,0,0,0,0,0,0,4,,,Jul-13,4
13,,,,,,,,,,,,2013-8,Aug-13,0,0,0,0,0,0,0,0,,,Aug-13,0
14,,,,,,,,,,,,2013-9,Sep-13,0,0,0,0,0,0,0,0,,,Sep-13,0
15,,,,,,,,,,,,2013-10,Oct-13,0,0,0,0,0,4,0,0,,,Oct-13,4
16,,,,,,,,,,,,,Nov-13,0,0,0,0,0,0,0,0,,,Nov-13,0
17,,,,,,,,,,,,,Dec-13,0,0,0,0,0,0,0,0,,,Dec-13,0
18,,,,,,,,,,,,,Jan-14,0,0,0,0,0,0,0,0,,,Jan-14,0
19,,,,,,,,,,,,,Feb-14,0,0,0,0,0,0,0,0,,,Feb-14,0
20,,,,,,,,,,,,,Mar-14,0,0,0,0,0,0,0,0,,,Mar-14,0
21,,,,,,,,,,,,2014-4,Apr-14,0,0,6,0,2,0,0,3,,,Apr-14,11
22,2015-10,,,,,,,,,,,2014-5,May-14,0,0,0,0,1,0,0,2,,,May-14,3
23,2015-11,,,,,,,,,,,2014-6,Jun-14,5,0,36,0,5,0,0,13,,,Jun-14,59
24,2015-12,,,,,,,,,,,2014-7,Jul-14,23,10,162,0,62,58,0,29,,,Jul-14,344
25,2015-4,,,,,,,,,,,2014-8,Aug-14,44,22,378,0,50,54,0,37,,,Aug-14,585
26,2015-5,,,,,,,,,,,2014-9,Sep-14,37,33,1182,0,104,248,0,246,,,Sep-14,1850
27,2015-6,,,,,,,,,,,2014-10,Oct-14,44,20,585,0,137,116,0,40,,,Oct-14,942
28,2015-7,,,,,,,,,,,2014-11,Nov-14,0,19,246,0,0,30,0,52,,,Nov-14,347
29,2015-8,,,,,,,,,,,2014-12,Dec-14,4,0,15,0,11,58,0,35,,,Dec-14,123
30,2015-9,,,,,,,,,,,2015-1,Jan-15,1,0,21,4,4,0,0,0,,,Jan-15,30
,,,,,,,,,,,,,Feb-15,0,0,0,0,0,0,0,0,,,Feb-15,0
,,,,,,,,,,,,,Mar-15,0,0,0,0,0,0,0,0,,,Mar-15,0
,,,,,,,,,,,,,Apr-15,0,0,3,0,0,0,0,0,,,Apr-15,3
,,,,,,,,,,,,,May-15,0,0,30,0,5,0,0,0,,,May-15,35
,,,,,,,,,,,,,Jun-15,0,0,27,0,0,0,0,0,,,Jun-15,27
,,,,,,,,,,,,,Jul-15,0,0,6,0,5,0,0,8,,,Jul-15,19
,,,,,,,,,,,,,Aug-15,0,0,15,0,13,0,1,17,,,Aug-15,46
,,,,,,,,,,,,,Sep-15,0,0,42,0,8,16,0,8,,,Sep-15,74
,,,,,,,,,,,,,Oct-15,0,0,0,0,0,0,0,2,,,Oct-15,2
,,,,,,,,,,,,,Nov-15,1,0,27,0,2,0,9,6,,,Nov-15,45
,,,,,,,,,,,,,Dec-15,0,0,6,0,0,0,0,0,,,Dec-15,6
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
