Town,Reported.Incidents
Ansonia,4
Avon,0
Berlin,6
Bethel,2
Bloomfield,2
Branford,18
Bridgeport,16
Bristol,9
Brookfield,2
Canton,2
Cheshire,5
Clinton,1
Coventry,4
Cromwell,1
Danbury,20
Darien,2
Derby,5
East Hampton,5
East Hartford,36
East Haven,7
Easton,1
Enfield,2
Fairfield,2
Farmington,7
Glastonbury,3
Granby,0
Greenwich,1
Guilford,2
Hamden,5
Hartford,49
Madison,0
Manchester,28
Meriden,15
Middletown,10
Milford,11
Monroe,0
Naugatuck,11
New Britain,10
New Canaan,2
New Haven,15
New London,18
New Milford,8
Newington,4
Newtown,0
North Branford,2
North Haven,6
Norwalk,40
Norwich,17
Orange,6
Plainfield,1
Plainville,2
Plymouth,3
Portland,1
Putnam,6
Redding,2
Ridgefield,4
Rocky Hill ,0
Seymour,1
Shelton,7
Simsbury,0
Southington,6
South Windsor,0
Stonington,0
Suffield,3
Torrington,17
Trumbull,6
Vernon,21
Wallingford,4
Waterbury,27
Waterford,3
Watertown,2
West Hartford,13
West Haven,6
Westport,4
Wethersfield,0
Willimantic,3
Wilton,5
Windsor,2
Windsor Locks,1
Wolcott,0
Woodbridge,0
