row,date,actual_mean_temp,actual_min_temp,actual_max_temp,average_min_temp,average_max_temp,record_min_temp,record_max_temp,record_min_temp_year,record_max_temp_year
1,1/1/15,33,26,40,24,38,5,62,1963,1966
2,1/2/15,38,31,44,24,38,2,53,1968,1972
3,1/3/15,36,28,43,24,38,5,60,2014,2000
4,1/4/15,45,36,54,24,38,-1,59,1981,1998
5,1/5/15,35,19,51,23,38,0,60,1981,1993
6,1/6/15,20,17,22,23,37,2,68,1996,2007
7,1/7/15,17,9,25,23,37,7,55,1988,2012
8,1/8/15,14,4,23,23,37,1,57,1968,1949
9,1/9/15,26,19,32,23,37,-3,65,1968,2008
10,1/10/15,20,16,24,23,37,-2,55,2004,2000
11,1/11/15,27,16,37,23,37,2,56,1968,1975
12,1/12/15,42,36,47,23,37,-3,52,1981,1975
13,1/13/15,26,17,35,23,37,3,56,1981,2005
14,1/14/15,22,14,29,23,37,1,60,2004,1950
15,1/15/15,27,20,34,23,37,-5,61,1957,1995
16,1/16/15,31,18,43,23,37,0,56,1994,1995
17,1/17/15,22,12,31,23,37,-3,55,1982,1949
18,1/18/15,35,24,45,23,37,-5,60,1982,2006
19,1/19/15,39,34,44,23,37,-2,56,1994,1951
20,1/20/15,34,28,39,23,37,1,54,1994,1991
21,1/21/15,28,20,35,23,37,-2,57,1985,2006
22,1/22/15,34,27,40,23,37,-7,52,1984,1952
23,1/23/15,29,21,36,23,37,0,56,1976,1992
24,1/24/15,35,32,37,23,37,0,63,2011,1967
25,1/25/15,32,24,40,23,37,2,55,1961,2010
26,1/26/15,22,19,25,23,37,5,60,2007,1950
27,1/27/15,19,15,23,23,37,-1,65,1994,1974
28,1/28/15,22,15,29,23,37,3,55,2003,2006
29,1/29/15,21,9,32,23,37,4,68,1963,2002
30,1/30/15,27,17,36,23,37,2,57,1952,2002
31,1/31/15,17,10,24,23,37,5,58,1965,2013
32,2/1/15,23,11,35,24,38,0,62,1961,2012
33,2/2/15,23,15,30,24,38,-3,52,1961,1973
34,2/3/15,13,2,24,24,38,0,54,1955,2006
35,2/4/15,23,9,36,24,38,5,59,1955,1991
36,2/5/15,23,11,35,24,38,2,60,1996,1991
37,2/6/15,16,7,25,24,38,4,53,1995,1991
38,2/7/15,25,19,31,24,38,3,52,1993,1951
39,2/8/15,29,22,35,24,38,-5,57,1963,1965
40,2/9/15,22,20,24,24,39,5,58,1963,1949
41,2/10/15,30,23,36,25,39,4,54,1983,2001
42,2/11/15,27,21,32,25,39,-2,59,1962,2009
43,2/12/15,28,20,36,25,39,2,54,1979,2009
44,2/13/15,13,6,20,25,39,-2,54,1967,1951
45,2/14/15,18,3,32,25,39,3,56,1979,1990
46,2/15/15,13,3,23,25,40,2,60,1987,1954
47,2/16/15,9,-2,20,25,40,-2,57,2015,1976
48,2/17/15,19,11,26,26,40,3,65,1979,1976
49,2/18/15,18,8,28,26,40,0,60,1979,1981
50,2/19/15,16,7,24,26,40,7,61,2015,1997
51,2/20/15,11,1,20,26,41,1,54,2015,1949
52,2/21/15,17,3,31,26,41,1,59,1950,2002
53,2/22/15,31,25,37,26,41,6,64,1963,1991
54,2/23/15,18,5,31,26,41,7,60,1972,2012
55,2/24/15,12,0,23,27,42,0,60,2015,1961
56,2/25/15,24,12,36,27,42,11,62,1990,1985
57,2/26/15,23,19,26,27,42,5,57,1990,2002
58,2/27/15,22,15,28,27,42,4,67,1950,1997
59,2/28/15,17,6,27,27,43,6,67,2015,1976
60,3/1/15,20,12,27,28,43,6,59,1980,1972
61,3/2/15,31,24,37,28,43,8,61,1962,2004
62,3/3/15,22,10,33,28,43,8,58,1962,1967
63,3/4/15,36,33,39,28,44,5,58,1950,1974
64,3/5/15,29,19,38,28,44,12,67,1978,1974
65,3/6/15,17,9,24,29,44,11,59,2007,1976
66,3/7/15,24,15,33,29,44,10,67,1990,1987
67,3/8/15,35,24,46,29,45,11,69,1986,1987
68,3/9/15,36,21,51,29,45,9,60,2007,1987
69,3/10/15,34,26,41,30,45,8,70,1984,2006
70,3/11/15,46,35,56,30,46,13,67,1960,1977
71,3/12/15,37,31,42,30,46,11,65,1984,2012
72,3/13/15,31,27,35,30,46,16,84,1998,1990
73,3/14/15,38,33,44,31,46,16,70,1993,2012
74,3/15/15,42,36,47,31,47,12,65,1993,1990
75,3/16/15,37,31,43,31,47,15,65,1992,1990
76,3/17/15,44,33,55,32,47,14,64,1967,1990
77,3/18/15,32,26,38,32,48,9,76,1967,2011
78,3/19/15,32,23,40,32,48,4,68,1967,2012
79,3/20/15,30,27,33,32,48,11,68,1949,2010
80,3/21/15,35,29,41,33,49,14,66,1986,2012
81,3/22/15,32,24,40,33,49,17,71,1988,2012
82,3/23/15,29,20,38,33,49,19,71,1959,2012
83,3/24/15,30,24,36,34,50,20,66,1956,1988
84,3/25/15,34,24,43,34,50,15,68,1956,1987
85,3/26/15,46,37,54,34,50,15,70,1960,1954
86,3/27/15,43,39,47,35,51,20,74,1966,2007
87,3/28/15,34,27,40,35,51,17,76,1966,1991
88,3/29/15,35,25,45,35,52,19,80,1966,1998
89,3/30/15,43,33,53,36,52,16,68,1970,2002
90,3/31/15,40,35,45,36,52,21,74,1964,1998
91,4/1/15,42,32,52,36,53,21,71,1970,1955
92,4/2/15,42,29,55,37,53,24,72,1964,1955
93,4/3/15,48,42,54,37,53,20,75,1954,1967
94,4/4/15,48,40,55,37,54,21,69,1954,2012
95,4/5/15,43,33,53,38,54,22,70,1995,1988
96,4/6/15,42,35,49,38,54,19,70,1982,1991
97,4/7/15,46,41,50,38,55,18,81,1982,2010
98,4/8/15,41,37,45,39,55,23,84,1982,1991
99,4/9/15,41,37,44,39,55,24,81,1977,2013
100,4/10/15,44,38,50,39,56,26,81,1997,1955
101,4/11/15,50,40,60,40,56,27,79,1960,1955
102,4/12/15,48,34,62,40,57,25,86,1976,1977
103,4/13/15,50,36,64,40,57,28,74,1967,1968
104,4/14/15,58,48,68,41,57,26,73,1950,1949
105,4/15/15,60,48,71,41,58,30,81,1973,1960
106,4/16/15,50,42,57,41,58,29,85,1981,2002
107,4/17/15,56,46,66,42,58,30,89,1962,2002
108,4/18/15,60,44,75,42,59,32,85,1962,2002
109,4/19/15,53,45,61,42,59,31,82,2001,1976
