row,date,actual_mean_temp,actual_min_temp,actual_max_temp,average_min_temp,average_max_temp,record_min_temp,record_max_temp,record_min_temp_year,record_max_temp_year
1,6/1/14,59,51,66,55,71,41,96,1945,1879
2,6/2/14,70,56,83,55,72,42,96,1884,1895
3,6/3/14,65,57,72,56,72,44,98,1915,1919
4,6/4/14,58,55,60,56,72,44,96,1881,1925
5,6/5/14,59,57,60,56,73,45,96,1945,1919
6,6/6/14,67,57,76,57,73,45,100,1945,1925
7,6/7/14,71,61,80,57,73,45,97,1932,1999
8,6/8/14,74,67,81,57,74,42,97,1932,1984
9,6/9/14,74,66,81,58,74,47,96,1923,1984
10,6/10/14,69,59,79,58,74,45,96,1881,1959
11,6/11/14,61,58,63,58,75,46,98,1881,1984
12,6/12/14,63,59,66,59,75,46,96,1906,1973
13,6/13/14,62,59,64,59,75,46,98,1881,1984
14,6/14/14,68,58,77,59,76,46,96,1875,1982
15,6/15/14,69,58,80,60,76,42,98,1884,1988
16,6/16/14,68,62,73,60,76,48,96,1965,1891
17,6/17/14,73,62,84,60,77,48,95,1926,1894
18,6/18/14,78,68,87,60,77,47,94,1920,1929
19,6/19/14,76,67,84,61,77,47,96,1920,1923
20,6/20/14,69,61,77,61,78,47,98,1918,1953
21,6/21/14,66,57,75,61,78,48,96,1940,2012
22,6/22/14,65,59,71,62,78,46,97,1940,1983
23,6/23/14,68,59,77,62,78,47,96,1932,1888
24,6/24/14,72,60,84,62,79,46,95,1932,1976
25,6/25/14,78,66,89,62,79,48,97,1903,1943
26,6/26/14,71,60,81,63,79,51,100,1940,1952
27,6/27/14,66,59,72,63,79,52,96,1985,1941
28,6/28/14,70,59,80,63,80,52,97,1970,1991
29,6/29/14,74,62,86,63,80,49,99,1919,1933
30,6/30/14,77,64,89,64,80,52,95,1988,1945
31,7/1/14,79,69,89,64,80,50,98,1988,1963
32,7/2/14,82,73,91,64,80,51,98,1883,1963
33,7/3/14,81,69,92,64,81,51,102,1914,1911
34,7/4/14,70,64,76,64,81,53,104,1914,1911
35,7/5/14,70,59,80,65,81,52,101,1933,1919
36,7/6/14,76,66,85,65,81,50,101,1879,1911
37,7/7/14,79,69,88,65,81,52,99,1902,1993
38,7/8/14,83,73,92,65,81,55,99,2000,1937
39,7/9/14,81,73,88,65,81,53,99,1909,1981
40,7/10/14,74,66,82,65,81,53,101,1890,1880
41,7/11/14,68,63,73,65,82,54,100,1890,1911
42,7/12/14,71,62,80,65,82,54,97,1886,1908
43,7/13/14,77,68,85,66,82,56,97,1933,1894
44,7/14/14,79,71,86,66,82,55,100,1937,1995
45,7/15/14,78,71,85,66,82,54,98,1929,1984
46,7/16/14,73,69,76,66,82,54,99,1884,1983
47,7/17/14,74,67,81,66,82,54,98,1946,1977
48,7/18/14,71,65,76,66,82,54,98,1881,1982
49,7/19/14,68,63,72,66,82,54,99,1881,2013
50,7/20/14,67,61,72,66,82,54,99,1890,1991
51,7/21/14,67,61,73,66,82,52,102,1890,1977
52,7/22/14,75,63,87,66,82,55,103,1890,1926
53,7/23/14,82,71,92,66,82,54,100,1992,1952
54,7/24/14,70,63,76,66,82,54,98,1893,1933
55,7/25/14,73,62,83,66,82,53,96,1901,1882
56,7/26/14,75,64,85,66,82,56,96,1920,1963
57,7/27/14,73,66,80,66,82,52,98,1876,1882
58,7/28/14,75,65,84,66,82,54,99,1884,1949
59,7/29/14,72,64,79,66,82,55,97,1880,1931
60,7/30/14,71,63,78,66,82,52,98,1880,1933
61,7/31/14,72,62,81,66,81,54,98,1895,1917
62,8/1/14,74,65,82,66,81,54,98,1891,1975
63,8/2/14,67,62,72,66,81,54,102,1947,1975
64,8/3/14,66,62,70,66,81,55,98,1964,1930
65,8/4/14,71,62,80,66,81,52,96,1900,1928
66,8/5/14,76,70,82,66,81,54,100,1972,1955
67,8/6/14,77,70,83,66,81,52,97,1883,1931
68,8/7/14,72,64,79,66,81,55,98,1964,1924
69,8/8/14,73,61,85,66,81,52,96,1903,1983
70,8/9/14,72,65,78,66,81,53,99,1899,1949
71,8/10/14,73,66,80,65,81,53,101,1964,1949
72,8/11/14,75,65,84,65,80,54,99,1879,1944
73,8/12/14,73,64,82,65,80,53,101,1930,1944
74,8/13/14,67,64,69,65,80,53,100,1902,1944
75,8/14/14,70,62,77,65,80,52,101,1964,2002
76,8/15/14,68,60,75,65,80,52,98,1964,1944
77,8/16/14,70,61,78,65,80,47,97,1880,1944
78,8/17/14,73,64,81,65,80,51,97,1934,1944
79,8/18/14,71,62,79,65,80,53,95,1918,2002
80,8/19/14,67,59,74,65,79,51,92,1882,1966
81,8/20/14,67,59,74,64,79,52,98,1905,1937
82,8/21/14,66,60,72,64,79,52,97,1882,1955
83,8/22/14,68,63,72,64,79,47,93,1894,1955
84,8/23/14,67,61,72,64,79,49,96,1886,1880
85,8/24/14,69,63,75,64,79,50,96,1873,1947
86,8/25/14,74,67,81,64,78,46,96,1940,1948
87,8/26/14,75,64,85,63,78,50,99,1942,1948
88,8/27/14,79,67,91,63,78,47,100,1880,1948
89,8/28/14,73,64,82,63,78,47,99,1885,1948
90,8/29/14,65,59,71,63,78,47,96,1986,1953
91,8/30/14,69,58,79,63,77,48,99,1965,1973
92,8/31/14,76,67,85,62,77,47,97,1965,1953
93,9/1/14,79,72,85,62,77,50,96,1887,1881
94,9/2/14,82,71,93,62,77,49,100,1967,1953
95,9/3/14,79,72,85,62,76,47,97,1893,1929
96,9/4/14,75,66,83,61,76,43,94,1872,1973
97,9/5/14,79,67,91,61,76,48,93,2000,1880
98,9/6/14,81,69,92,61,76,43,94,1888,1983
99,9/7/14,70,63,76,60,75,43,102,1888,1881
100,9/8/14,65,59,71,60,75,48,95,1978,1872
101,9/9/14,65,61,69,60,75,45,91,1938,1971
102,9/10/14,65,60,70,60,74,41,95,1883,1931
103,9/11/14,71,62,80,59,74,40,99,1917,1983
104,9/12/14,62,56,68,59,74,43,93,1875,1961
105,9/13/14,60,53,67,59,74,45,93,1985,1957
106,9/14/14,59,52,66,58,73,40,92,1884,1931
107,9/15/14,58,48,67,58,73,41,94,1913,1915
108,9/16/14,60,55,65,57,72,42,96,1984,1939
109,9/17/14,62,54,69,57,72,44,91,2013,1915
110,9/18/14,65,55,75,57,72,43,90,1875,1955
111,9/19/14,51,46,56,56,71,42,92,1929,1983
112,9/20/14,60,47,73,56,71,42,97,1929,1983
113,9/21/14,73,63,82,56,71,40,94,1929,1895
114,9/22/14,64,53,74,55,70,35,94,1904,1895
115,9/23/14,61,50,72,55,70,35,96,1904,1895
116,9/24/14,60,54,66,54,70,39,90,1963,1959
117,9/25/14,58,53,62,54,69,38,89,1950,1926
118,9/26/14,62,54,69,54,69,34,95,1879,1881
119,9/27/14,71,60,81,53,68,37,86,1947,1998
120,9/28/14,74,60,87,53,68,37,90,1947,1881
121,9/29/14,66,57,74,52,68,34,88,1914,1952
122,9/30/14,57,56,57,52,67,36,87,1888,1986
123,10/1/14,57,56,57,52,67,36,90,1992,1881
124,10/2/14,54,51,56,51,66,34,88,1899,1954
125,10/3/14,52,48,55,51,66,35,85,1899,1922
126,10/4/14,58,53,63,51,66,34,86,1888,2007
127,10/5/14,55,49,61,50,65,28,87,1881,1922
128,10/6/14,55,43,67,50,65,31,86,1883,1946
129,10/7/14,64,55,73,49,65,30,90,1883,1963
130,10/8/14,66,58,73,49,64,35,88,1964,1879
131,10/9/14,58,50,66,49,64,32,87,1873,2011
132,10/10/14,57,51,63,48,63,32,87,1979,1939
133,10/11/14,51,47,54,48,63,32,82,1979,1955
134,10/12/14,52,44,59,48,63,31,90,1876,1954
