row,date,actual_mean_temp,actual_min_temp,actual_max_temp,average_min_temp,average_max_temp,record_min_temp,record_max_temp,record_min_temp_year,record_max_temp_year
1,1/2/15,35,28,42,23,39,-1,55,1968,1979
2,1/3/15,34,25,43,21,39,3,59,2014,2000
3,1/4/15,44,37,52,23,38,-1,55,1981,1998
4,1/5/15,34,17,50,21,38,-3,58,1981,1993
5,1/6/15,16,12,19,19,37,3,62,1959,2007
6,1/7/15,15,5,24,21,38,5,55,2015,2012
7,1/8/15,12,1,23,19,36,-5,55,1968,1978
8,1/9/15,24,12,36,16,34,-8,57,1968,1965
9,1/10/15,18,14,21,19,36,0,55,2004,2016
10,1/11/15,22,8,36,17,35,-10,60,1981,1980
11,1/12/15,36,34,37,16,35,-11,56,1981,1975
12,1/13/15,25,15,35,17,35,1,59,1976,1972
13,1/14/15,21,15,27,18,36,-2,59,1981,1972
14,1/15/15,28,24,32,19,35,-5,64,1988,2014
15,1/16/15,28,16,39,16,35,-2,52,2004,1990
16,1/17/15,22,12,33,16,36,-6,56,1965,1973
17,1/18/15,37,26,48,15,35,-13,58,1982,1990
18,1/19/15,38,33,42,17,35,-7,54,1965,1972
19,1/20/15,34,27,39,18,36,-1,54,1971,2014
20,1/21/15,26,19,33,17,36,-7,55,1961,2006
21,1/22/15,31,26,36,16,38,-14,55,1961,1973
22,1/23/15,29,23,36,19,40,-6,58,1991,1974
23,1/24/15,34,32,36,21,41,-4,65,1961,1967
24,1/25/15,32,24,39,23,40,0,53,1963,1978
25,1/26/15,24,19,28,23,39,0,55,1991,1978
26,1/27/15,18,14,21,22,37,-4,62,1961,1974
27,1/28/15,18,12,25,19,37,-13,57,1961,1974
28,1/29/15,22,8,35,19,36,-2,55,1961,2002
29,1/30/15,28,16,37,20,38,1,53,1965,1974
30,1/31/15,14,8,19,20,38,-1,58,1961,1974
31,2/1/15,22,12,33,20,38,-2,55,1961,1982
32,2/2/15,22,14,30,21,39,-8,55,1961,1973
33,2/3/15,14,7,21,21,39,-9,57,1961,1991
34,2/4/15,20,3,37,19,36,-12,59,1965,1991
35,2/5/15,23,10,34,18,34,-10,63,1978,1991
36,2/6/15,13,5,21,17,36,0,55,1978,2008
37,2/7/15,24,19,28,18,34,-2,48,1993,2012
38,2/8/15,26,18,34,19,35,-1,57,1963,2009
39,2/9/15,22,17,27,16,36,-1,53,1978,1990
40,2/10/15,28,19,36,17,37,-2,54,1979,2001
41,2/11/15,22,16,27,20,37,-5,62,1979,1999
42,2/12/15,22,12,33,18,37,-10,55,1979,1984
43,2/13/15,10,3,18,17,37,-9,52,1967,1966
44,2/14/15,14,-2,30,20,39,-11,55,1979,1990
45,2/15/15,10,0,21,21,40,0,58,1987,1967
46,2/16/15,7,-2,16,20,40,-2,57,2015,1976
47,2/17/15,17,10,24,21,38,-2,63,1979,1976
48,2/18/15,16,3,28,21,38,-5,65,1979,1981
49,2/19/15,17,8,25,24,42,6,59,1958,1997
50,2/20/15,10,1,19,24,42,1,55,1958,1984
51,2/21/15,14,-5,32,22,42,-5,60,2015,1981
52,2/22/15,31,25,37,25,44,5,61,1963,1991
53,2/23/15,18,3,30,26,43,1,57,1972,1985
54,2/25/15,21,9,33,25,41,9,67,1967,1976
55,2/26/15,22,16,25,23,39,3,57,1990,1976
56,2/27/15,18,7,28,23,41,7,66,1990,1976
57,2/28/15,18,10,25,24,43,9,61,1964,1976
58,3/1/15,17,6,28,25,43,5,59,1980,1972
59,3/2/15,30,24,35,27,43,8,62,1962,1985
60,3/3/15,21,10,32,26,44,7,62,1962,1991
61,3/4/15,36,32,39,25,42,8,60,2003,1974
62,3/5/15,27,19,35,28,44,9,63,2009,1985
63,3/6/15,15,7,23,26,44,7,58,2015,1984
64,3/7/15,22,10,33,26,44,8,63,2003,1987
65,3/8/15,32,21,43,24,44,7,69,1986,1987
66,3/10/15,32,23,43,25,44,7,62,1984,2006
67,3/11/15,42,35,54,27,46,9,63,1960,1986
68,3/12/15,34,26,39,28,45,10,60,1984,1973
69,3/13/15,27,21,33,29,45,16,77,1980,1990
70,3/14/15,36,28,45,30,46,16,66,1993,2012
71,3/15/15,38,32,43,29,46,11,67,1993,1990
72,3/16/15,34,28,41,28,47,16,62,1979,1973
73,3/17/15,43,32,55,29,48,12,61,1967,2003
74,3/18/15,30,25,34,27,45,6,73,1967,2011
75,3/19/15,29,21,37,28,47,0,63,1967,2012
76,3/20/15,28,24,33,29,48,12,64,1967,1959
77,3/21/15,34,28,39,31,47,13,63,1986,2012
78,3/22/15,31,23,37,29,47,15,68,1988,1979
79,3/23/15,27,19,35,30,48,14,68,2004,2012
80,3/24/15,28,21,34,29,48,18,65,2014,1987
81,3/25/15,30,19,43,29,48,15,62,2014,1963
82,3/26/15,47,39,55,31,51,11,63,1960,1976
83,3/27/15,42,39,46,29,50,15,71,1975,1998
84,3/28/15,36,30,41,31,53,16,75,1966,1991
85,3/29/15,32,25,42,33,53,16,75,1974,1998
86,3/30/15,38,33,46,33,51,13,75,1970,1977
87,3/31/15,40,35,46,33,51,19,73,1964,1986
88,4/1/15,40,28,50,33,52,16,66,1964,1975
89,4/2/15,38,25,52,34,53,20,71,1964,1986
90,4/3/15,47,44,51,34,53,23,77,1965,1967
91,4/4/15,46,37,55,35,51,24,66,1962,2012
92,4/6/15,40,30,51,34,52,19,72,1982,1991
93,4/7/15,45,39,52,35,52,14,79,1982,1991
94,4/8/15,42,36,48,34,53,17,77,1982,1991
95,4/9/15,40,35,45,34,52,22,80,1977,2013
96,4/10/15,44,37,50,35,54,25,68,1977,2008
97,4/11/15,50,41,60,34,53,24,66,1972,1987
98,4/12/15,45,33,57,34,55,21,84,1976,1977
99,4/13/15,44,34,55,34,54,23,76,1990,1977
100,4/14/15,56,46,69,36,54,26,70,1973,1977
101,4/15/15,59,45,71,36,54,24,78,1992,1960
102,4/16/15,44,34,55,39,57,28,81,1981,2003
103,4/17/15,53,45,62,39,57,28,84,2005,1976
104,4/18/15,55,41,69,39,58,25,80,1962,1964
105,4/19/15,48,42,55,38,58,30,78,1962,1976
106,4/20/15,47,43,52,38,57,28,80,1961,1976
107,4/21/15,55,46,64,39,58,26,74,1979,1987
108,4/22/15,47,37,59,40,59,31,79,1975,1960
109,4/23/15,44,39,50,40,60,27,81,1982,1973
110,4/25/15,43,34,53,41,58,31,79,1971,1960
111,4/26/15,46,36,55,40,60,30,80,1963,1985
112,4/27/15,54,48,59,40,59,28,82,2002,1990
113,4/29/15,58,45,72,40,61,30,79,2001,1974
114,4/30/15,47,39,57,42,62,30,77,1967,1985
115,5/1/15,50,44,57,43,63,30,80,2008,1957
116,5/2/15,43,35,51,44,63,33,82,1964,2001
117,5/3/15,52,44,61,43,60,30,79,1966,2001
118,5/4/15,53,42,66,43,61,30,83,1966,1965
119,5/6/15,56,46,66,44,63,33,76,1969,1993
120,5/7/15,54,39,70,43,64,30,79,2001,2004
121,5/8/15,56,48,66,43,61,32,82,1974,1964
122,5/9/15,56,51,61,43,61,33,82,1977,1957
123,5/10/15,63,53,73,46,65,34,91,1966,1979
124,5/11/15,62,53,72,46,65,31,83,1966,1993
125,5/12/15,66,60,75,45,66,34,86,1972,1991
126,5/13/15,60,55,69,46,65,34,76,1963,1980
127,5/15/15,52,42,61,45,64,35,82,2013,1976
128,5/16/15,56,51,61,48,65,36,80,2002,1991
129,5/17/15,64,52,75,48,68,35,87,1959,1974
130,5/18/15,57,50,64,48,67,36,87,1983,1977
131,5/19/15,55,50,61,47,65,37,84,1981,1998
132,5/20/15,56,48,64,48,67,37,82,2002,1962
133,5/21/15,50,44,59,49,68,37,83,2002,1962
134,5/22/15,61,50,72,49,70,37,87,1990,1992
135,5/23/15,52,46,59,48,69,39,87,1967,1964
136,5/24/15,57,50,70,49,69,37,85,1963,1975
137,5/25/15,60,53,68,49,66,38,89,1963,1991
138,5/26/15,63,57,71,49,68,36,87,1972,1965
139,5/28/15,62,57,70,49,70,39,88,1990,1991
140,5/29/15,64,57,73,50,70,38,87,1962,1969
141,5/30/15,64,55,72,51,70,38,91,1970,1987
142,5/31/15,62,52,73,53,71,33,87,1961,1987
143,6/1/15,52,48,55,53,72,38,88,1967,1987
144,6/2/15,50,48,54,52,70,42,84,1971,1961
145,6/3/15,54,48,59,51,70,40,82,1986,1999
146,6/4/15,52,46,60,52,72,42,84,1957,1971
147,6/5/15,56,51,62,52,72,42,84,1958,1984
148,6/6/15,62,52,75,52,70,42,88,1964,1968
149,6/7/15,57,48,66,53,72,43,88,1958,1984
150,6/8/15,57,50,66,54,74,45,92,1960,1984
151,6/9/15,62,57,68,55,74,43,92,1980,1984
152,6/10/15,64,55,75,54,75,42,92,1957,1984
153,6/12/15,71,64,78,53,74,39,92,1972,1973
154,6/13/15,72,63,82,54,72,44,90,1979,1983
155,6/14/15,70,61,79,55,73,46,90,1970,2005
156,6/15/15,61,60,62,55,75,39,91,1978,1988
157,6/18/15,60,52,69,57,74,39,86,1958,2014
158,6/19/15,70,62,80,58,76,37,88,1997,1975
159,6/20/15,64,60,69,58,76,46,89,1959,2012
160,6/21/15,74,64,84,57,76,46,91,1970,1964
161,6/22/15,74,64,86,57,76,46,87,1963,1965
162,6/23/15,70,63,78,58,75,48,89,1992,1983
163,6/24/15,72,64,82,57,77,47,91,1958,1983
164,6/25/15,68,61,77,58,76,49,89,1979,1963
165,6/26/15,68,60,77,58,76,47,87,1986,1963
166,6/27/15,62,55,69,58,76,49,94,1965,1980
167,6/28/15,64,59,70,59,77,49,89,1970,2001
168,6/29/15,65,57,75,59,77,49,95,1970,1991
169,7/1/15,72,68,78,59,78,47,95,1988,1964
170,7/2/15,67,61,73,59,78,50,91,1962,1966
171,7/3/15,68,62,75,60,79,49,97,1957,1966
172,7/4/15,66,60,73,60,78,48,92,1986,1983
