"","date","actual_mean_temp","actual_min_temp","actual_max_temp","average_min_temp","average_max_temp","record_min_temp","record_max_temp","record_min_temp_year","record_max_temp_year"
"1","2015/01/07",15,5,24,21,38,5,55,2015,2012
"3","2015/01/25",32,24,39,23,40,0,53,1963,1978
"5","2015/03/01",17,6,28,25,43,5,59,1980,1972
"6","2015/03/05",27,19,35,28,44,9,63,2009,1985
"7","2015/03/11",42,35,54,27,46,9,63,1960,1986
"8","2015/03/14",36,28,45,30,46,16,66,1993,2012
"9","2015/04/13",44,34,55,34,54,23,76,1990,1977
"10","2015/05/07",54,39,70,43,64,30,79,2001,2004
"12","2015/06/19",70,62,80,58,76,37,88,1997,1975
"13","2015/06/24",72,64,82,57,77,47,91,1958,1983
"14","2015/08/01",74,64,86,63,81,51,92,1964,1975
"15","2015/08/02",71,62,82,64,82,54,99,1959,1975
"16","2015/08/17",74,68,82,62,80,49,90,1981,2002
"17","2015/08/19",76,71,82,60,78,49,89,1958,1966
"18","2015/10/22",59,50,69,40,61,25,74,1974,1975
"19","2015/10/31",42,30,54,36,56,22,70,1966,1982
"20","2015/11/19",56,53,60,33,51,21,65,1986,1991
"21","2015/12/24",58,51,64,21,38,0,64,1989,2015
"22","2015/12/27",52,46,57,19,34,4,60,1993,1973
"23","2015/12/30",39,32,46,22,39,-5,54,1962,1990
