row,date,actual_mean_temp,actual_min_temp,actual_max_temp,average_min_temp,average_max_temp,record_min_temp,record_max_temp,record_min_temp_year,record_max_temp_year
1,1/1/15,28,23,35,18,37,1,61,1963,1966
2,1/2/15,34,26,39,19,36,-5,58,1968,1979
3,1/3/15,29,24,34,19,36,3,61,1922,1998
4,1/4/15,40,30,50,19,34,-1,60,1981,1950
5,1/5/15,32,16,46,18,35,-4,59,1981,1993
6,1/6/15,17,15,19,17,35,1,71,1981,2007
7,1/7/15,14,3,24,18,35,2,66,1940,2008
8,1/8/15,10,1,19,18,35,-6,82,1942,2008
9,1/9/15,23,16,30,14,32,-9,64,1968,1937
10,1/10/15,18,15,21,16,33,-8,60,1942,1978
11,1/11/15,21,10,34,16,33,-10,59,1942,1924
12,1/12/15,34,33,36,13,32,-10,62,1981,1975
13,1/13/15,24,12,36,13,33,-7,59,1981,1932
14,1/14/15,14,9,19,14,33,-9,70,1981,1932
15,1/15/15,21,12,30,15,34,-7,61,1988,1932
16,1/16/15,27,16,37,13,31,-7,54,1920,1924
17,1/17/15,18,10,25,14,34,-6,59,1971,1990
18,1/18/15,30,19,41,15,33,-11,64,1954,1990
19,1/19/15,34,28,41,14,34,-16,64,1948,1973
20,1/20/15,32,25,37,15,34,-6,60,1920,1951
21,1/21/15,24,18,30,15,33,-15,60,1984,2006
22,1/22/15,32,27,36,15,33,-17,57,1961,1959
23,1/23/15,28,19,37,17,37,-8,58,1961,1967
24,1/24/15,33,32,34,19,38,-8,65,1948,1967
25,1/25/15,29,19,37,19,38,-5,58,1976,1938
26,1/26/15,19,15,23,19,37,-8,65,1948,1950
27,1/27/15,19,12,26,19,36,-4,59,1982,1978
28,1/28/15,20,12,27,17,36,-10,65,1961,1974
29,1/29/15,16,1,30,18,35,-6,64,1963,2002
30,1/30/15,26,14,35,18,36,-4,60,1961,1947
31,1/31/15,12,6,19,17,35,-12,61,1948,2013
32,2/1/15,22,12,33,18,35,-8,61,1948,2012
33,2/2/15,19,12,26,19,37,-10,65,1961,1989
34,2/3/15,12,0,23,18,38,-4,56,1955,1983
35,2/4/15,21,5,37,17,36,-8,60,1985,1991
36,2/5/15,22,10,34,16,34,-2,65,1985,1991
37,2/6/15,10,0,21,15,32,-1,67,1945,1991
38,2/7/15,20,12,28,15,33,-4,56,1948,1991
39,2/8/15,24,16,32,15,32,-11,63,1934,1933
40,2/9/15,18,16,19,14,36,-15,54,1934,1990
41,2/10/15,26,19,33,15,33,-7,57,1948,1990
42,2/11/15,22,15,28,14,36,-9,60,1948,2009
43,2/12/15,22,10,34,15,37,-10,61,1979,1981
44,2/13/15,8,1,16,16,35,-7,59,1979,1937
45,2/14/15,10,-4,24,18,37,-5,55,1979,1949
46,2/15/15,10,0,19,20,39,-18,69,1943,1954
