row,date,actual_mean_temp,actual_min_temp,actual_max_temp,average_min_temp,average_max_temp,record_min_temp,record_max_temp,record_min_temp_year,record_max_temp_year
1,1/1/15,28,21,36,24,37,5,55,1997,2005
2,1/2/15,34,30,39,24,37,6,55,1999,2000
3,1/3/15,31,25,39,24,37,3,60,2014,1998
4,1/4/15,46,39,53,24,36,0,61,1981,1993
5,1/5/15,32,17,46,24,36,6,62,1981,1993
6,1/6/15,18,15,19,23,36,7,69,1988,2007
7,1/7/15,14,7,21,23,36,3,60,2014,2012
8,1/8/15,12,5,19,22,35,5,61,2015,2008
9,1/9/15,24,17,30,22,35,-2,62,1981,2008
10,1/10/15,18,14,21,21,34,-2,55,2004,2000
11,1/11/15,24,14,34,21,34,-2,57,1982,1975
12,1/12/15,34,32,35,20,33,-5,55,1981,1975
13,1/13/15,22,10,34,20,32,0,57,1981,1992
14,1/14/15,19,10,28,26,39,7,64,1988,1995
15,1/15/15,24,19,30,19,31,-3,53,1988,1987
16,1/16/15,28,17,39,26,39,2,59,1994,1953
17,1/17/15,19,12,26,18,31,-7,56,1982,1990
18,1/18/15,32,23,42,18,31,-8,62,1982,1990
19,1/19/15,36,34,39,18,31,-1,52,1979,1986
20,1/20/15,32,26,35,18,31,0,57,1985,2006
21,1/21/15,28,21,34,18,31,-4,60,1985,2006
22,1/22/15,32,27,37,18,32,-6,54,1984,1986
23,1/23/15,28,19,36,18,32,-4,54,1976,1974
24,1/24/15,32,30,35,18,32,0,58,2005,1989
25,1/25/15,31,23,37,19,33,3,52,2004,1990
26,1/26/15,22,19,24,19,33,6,55,2007,1978
27,1/27/15,19,15,23,19,34,2,65,1982,1974
28,1/28/15,22,14,30,20,34,1,57,2003,2002
29,1/29/15,21,12,30,21,35,-3,66,1977,2002
30,1/30/15,26,18,35,21,35,4,60,1977,2006
31,1/31/15,16,9,23,21,35,4,57,1977,1974
32,2/1/15,26,17,34,22,36,4,65,1993,1989
33,2/2/15,22,12,30,22,36,4,55,1993,1983
34,2/3/15,16,10,23,22,36,8,63,1976,1991
35,2/4/15,24,12,36,22,36,4,65,1978,1991
36,2/5/15,22,10,35,22,37,1,68,1978,1991
37,2/6/15,16,8,24,22,37,2,62,1993,2008
38,2/7/15,23,16,30,27,41,5,52,1993,1951
39,2/8/15,30,25,34,22,37,9,55,2003,2009
40,2/9/15,22,21,24,22,37,1,59,1979,1990
41,2/10/15,30,23,37,22,37,-2,55,1979,2001
42,2/11/15,24,17,30,22,37,-10,61,1979,2009
