row,date,actual_mean_temp,actual_min_temp,actual_max_temp,average_min_temp,average_max_temp,record_min_temp,record_max_temp,record_min_temp_year,record_max_temp_year
1,1/1/15,34,28,41,26,38,10,55,1997,2005
2,1/2/15,40,32,44,26,38,8,54,1999,1979
3,1/3/15,34,24,44,26,37,6,57,2014,2000
4,1/4/15,44,35,54,26,37,-1,60,1981,1998
5,1/5/15,38,21,52,25,37,2,59,1981,2000
6,1/6/15,22,19,24,25,37,7,62,1988,2007
7,1/7/15,20,10,27,25,36,8,55,1988,2012
8,1/8/15,15,6,24,24,36,6,57,2015,1998
9,1/9/15,28,23,34,24,35,3,60,1970,2008
10,1/10/15,22,19,26,23,35,0,53,2004,1972
11,1/11/15,28,17,39,22,34,0,57,1982,1983
12,1/12/15,38,37,39,22,34,-1,58,1981,1975
13,1/13/15,28,17,39,21,33,3,57,1981,1992
14,1/14/15,20,15,25,21,33,0,57,1988,2013
15,1/15/15,28,19,36,20,32,-2,57,2004,1992
16,1/16/15,29,18,39,20,32,-2,54,2004,1989
17,1/17/15,22,14,32,20,32,1,54,1982,1990
18,1/18/15,34,21,46,23,37,-5,60,1982,2006
19,1/19/15,37,32,42,20,32,2,73,1983,1999
20,1/20/15,33,30,36,20,32,6,53,1983,1991
21,1/21/15,27,19,35,20,32,3,60,1985,1986
22,1/22/15,32,28,37,20,32,-2,52,1984,1986
23,1/23/15,31,26,36,20,32,6,53,2005,1974
24,1/24/15,35,33,37,20,33,0,59,2011,1989
25,1/25/15,32,23,39,20,33,3,57,2004,1989
26,1/26/15,22,19,24,20,34,5,56,2007,1978
27,1/27/15,20,15,26,21,34,3,66,2003,1974
28,1/28/15,22,15,28,21,35,3,65,2000,1974
29,1/29/15,22,12,33,21,35,0,64,2005,2002
30,1/30/15,26,16,35,22,36,8,57,1977,1975
31,1/31/15,16,9,23,22,36,5,59,1971,1988
32,2/1/15,20,6,34,23,36,6,42,2015,2014
33,2/2/15,22,15,30,23,37,15,46,2015,2014
34,2/3/15,16,8,24,24,38,0,54,1955,2006
35,2/4/15,22,8,37,23,37,8,37,2015,2015
36,2/5/15,24,12,36,24,37,12,36,2015,2015
37,2/6/15,16,9,24,24,37,9,28,2015,2014
38,2/7/15,26,21,30,24,37,21,32,2014,2014
39,2/8/15,28,19,36,24,37,19,36,2014,2015
40,2/9/15,19,17,21,24,37,17,28,2014,2014
41,2/10/15,28,21,34,24,37,19,34,2014,2015
42,2/11/15,23,18,28,25,39,-2,59,1962,2009
43,2/12/15,24,15,34,24,37,8,34,2014,2015
44,2/13/15,12,1,19,25,39,-2,54,1967,1951
45,2/14/15,16,0,32,24,37,0,42,2015,2014
46,2/15/15,12,3,21,25,40,2,60,1987,1954
47,2/16/15,10,0,19,25,38,0,32,2015,2014
