"","date","actual_mean_temp","actual_min_temp","actual_max_temp","average_min_temp","average_max_temp","record_min_temp","record_max_temp","record_min_temp_year","record_max_temp_year"
"1","2015/01/29",22,12,33,21,35,0,64,2005,2002
"2","2015/02/18",17,6,28,25,38,6,30,2015,2014
"3","2015/02/26",22,19,24,27,41,12,30,2014,2014
"4","2015/02/28",19,6,28,27,41,6,28,2015,2015
"5","2015/03/28",34,28,39,35,49,19,77,1982,1991
"7","2015/04/28",56,46,66,43,60,36,94,1972,1990
"8","2015/05/02",47,37,59,45,62,35,82,2005,2001
"9","2015/05/17",66,55,78,47,64,38,91,1983,1974
"10","2015/06/13",76,68,86,57,72,47,95,1974,1983
"11","2015/06/14",71,60,82,57,73,49,94,1978,1988
"12","2015/06/25",68,57,78,62,77,52,93,1979,1980
"13","2015/07/08",76,71,82,62,78,32,96,1999,1981
"14","2015/08/21",73,69,78,62,78,32,96,2001,1983
"15","2015/09/03",74,64,84,60,75,33,93,1998,1990
"16","2015/09/26",62,54,71,52,67,45,82,1974,1970
"18","2015/10/19",38,23,52,43,58,23,74,2015,1991
"19","2015/10/20",58,51,64,42,58,30,76,1972,1984
"20","2015/12/18",46,37,53,28,40,12,59,1988,1984
"21","2015/12/20",38,34,42,27,40,7,57,2004,2002
