row,date,actual_mean_temp,actual_min_temp,actual_max_temp,average_min_temp,average_max_temp,record_min_temp,record_max_temp,record_min_temp_year,record_max_temp_year
1,6/1/14,66,55,77,59,75,44,96,1945,1895
2,6/2/14,70,59,80,59,76,48,96,1946,1895
3,6/3/14,76,65,87,60,76,45,95,1929,1895
4,6/4/14,73,63,82,60,76,48,99,1926,1925
5,6/5/14,69,61,76,60,76,47,99,1945,1925
6,6/6/14,69,61,76,61,77,47,98,1945,1925
7,6/7/14,71,60,82,61,77,47,96,1879,1925
8,6/8/14,76,66,86,61,77,47,95,1932,1933
9,6/9/14,68,63,73,62,78,47,97,1980,1933
10,6/10/14,71,65,77,62,78,49,96,1972,2008
11,6/11/14,66,61,70,62,78,46,95,1972,1973
12,6/12/14,67,60,73,63,78,48,93,1979,1973
13,6/13/14,72,65,79,63,79,51,96,1953,1961
14,6/14/14,67,60,74,63,79,49,99,1875,1956
15,6/15/14,70,59,80,64,79,48,96,1933,1994
16,6/16/14,72,63,81,64,80,52,97,1927,1891
17,6/17/14,80,71,89,64,80,51,96,1926,1957
18,6/18/14,83,76,89,65,80,48,95,1950,1929
19,6/19/14,73,68,77,65,80,52,98,1920,1994
20,6/20/14,72,64,79,65,81,49,98,1914,1923
21,6/21/14,70,62,78,65,81,49,97,1897,1988
22,6/22/14,72,64,79,66,81,52,98,1940,1988
23,6/23/14,73,65,81,66,81,49,96,1918,1888
24,6/24/14,75,68,81,66,82,52,96,1932,1888
25,6/25/14,78,70,85,66,82,50,99,1873,1952
26,6/26/14,78,70,85,67,82,56,100,1979,1952
27,6/27/14,75,67,83,67,82,55,101,1940,1966
28,6/28/14,77,66,87,67,83,54,96,1995,1991
29,6/29/14,76,68,83,67,83,52,101,1919,1934
30,6/30/14,77,69,84,67,83,53,99,1919,1964
31,7/1/14,81,72,89,68,83,52,100,1943,1901
32,7/2/14,82,72,91,68,83,56,100,2001,1966
33,7/3/14,78,69,87,68,83,54,103,1933,1966
34,7/4/14,70,65,74,68,84,55,102,1986,1949
35,7/5/14,72,63,81,68,84,53,101,1979,1999
36,7/6/14,75,66,84,68,84,54,103,1979,2010
37,7/7/14,81,72,90,68,84,56,100,1914,2010
38,7/8/14,81,71,91,69,84,56,100,1894,1993
39,7/9/14,80,71,88,69,84,54,106,1963,1936
40,7/10/14,78,72,83,69,84,55,102,1890,1993
41,7/11/14,79,71,86,69,84,57,98,1898,1988
42,7/12/14,78,71,85,69,84,57,99,1926,1966
43,7/13/14,78,72,83,69,84,54,101,1888,1966
44,7/14/14,78,72,84,69,84,58,100,1926,1954
45,7/15/14,79,72,86,69,84,57,102,1930,1995
46,7/16/14,75,68,81,69,84,56,99,1946,1980
47,7/17/14,74,67,81,69,84,57,100,1892,1953
48,7/18/14,73,64,81,69,84,57,101,1925,1953
49,7/19/14,72,68,76,69,84,57,102,1924,1977
50,7/20/14,72,66,78,69,84,55,101,1890,1980
51,7/21/14,76,67,85,69,84,55,104,1890,1977
52,7/22/14,79,71,86,69,84,55,104,1873,2011
53,7/23/14,80,72,88,69,84,58,100,1890,2011
54,7/24/14,75,70,80,69,84,56,97,1893,1999
55,7/25/14,74,66,82,69,84,57,97,1953,1999
56,7/26/14,75,69,81,69,84,55,98,1920,1940
57,7/27/14,78,71,85,69,84,55,98,1920,1963
58,7/28/14,75,68,82,69,84,57,97,1903,1999
59,7/29/14,70,64,76,69,84,59,99,1914,1949
60,7/30/14,72,63,80,69,84,57,98,1956,1988
61,7/31/14,75,68,82,69,84,57,102,1914,1933
62,8/1/14,78,71,84,69,84,59,100,1964,1933
63,8/2/14,69,63,74,69,84,58,100,1924,1955
64,8/3/14,71,66,76,69,84,55,97,1927,2005
65,8/4/14,77,70,84,69,84,56,100,1886,1944
66,8/5/14,81,71,90,69,84,56,101,1951,1944
67,8/6/14,77,70,83,69,84,57,97,1994,1955
68,8/7/14,75,66,83,69,84,57,104,1994,1918
69,8/8/14,74,65,83,69,84,54,99,1903,2001
70,8/9/14,77,66,87,69,84,57,103,1989,2001
71,8/10/14,78,68,88,69,83,55,98,1879,1949
72,8/11/14,79,71,87,69,83,56,102,1962,1944
73,8/12/14,75,70,79,68,83,55,97,1889,1944
74,8/13/14,75,68,82,68,83,55,99,1930,2005
75,8/14/14,70,63,77,68,83,54,99,1964,1988
76,8/15/14,67,61,73,68,83,54,97,1964,1988
77,8/16/14,71,63,78,68,83,55,96,1880,1944
78,8/17/14,74,66,82,68,83,56,95,1979,1944
79,8/18/14,72,63,81,68,83,55,94,1915,2002
80,8/19/14,73,63,83,68,83,55,94,1924,2002
81,8/20/14,77,70,84,68,82,55,97,1949,1955
82,8/21/14,74,65,83,68,82,53,96,1922,1955
83,8/22/14,72,65,79,67,82,52,95,1895,1916
84,8/23/14,72,67,77,67,82,51,92,1923,1916
85,8/24/14,72,64,80,67,82,52,94,1890,1972
86,8/25/14,76,64,88,67,82,52,95,1940,1948
87,8/26/14,80,70,89,67,81,53,103,1887,1948
88,8/27/14,80,70,90,67,81,50,101,1885,1948
89,8/28/14,74,66,82,66,81,50,100,1885,1948
90,8/29/14,71,61,80,66,81,50,99,1986,1953
91,8/30/14,73,65,80,66,81,50,98,1965,1973
92,8/31/14,82,73,90,66,80,50,100,1976,1953
93,9/1/14,82,75,88,66,80,51,97,1872,1953
94,9/2/14,85,77,92,65,80,51,102,1886,1953
95,9/3/14,79,72,86,65,80,50,99,1893,1929
96,9/4/14,78,69,87,65,79,47,97,1883,1929
97,9/5/14,80,72,87,64,79,51,94,1963,1985
98,9/6/14,79,67,91,64,79,48,97,1924,1881
99,9/7/14,73,65,81,64,78,46,101,1888,1881
100,9/8/14,70,65,75,64,78,54,93,1955,1919
101,9/9/14,68,63,73,63,78,48,94,1883,1915
102,9/10/14,72,63,80,63,77,43,97,1883,1983
103,9/11/14,76,69,83,63,77,43,99,1917,1983
