"","date","actual_mean_temp","actual_min_temp","actual_max_temp","average_min_temp","average_max_temp","record_min_temp","record_max_temp","record_min_temp_year","record_max_temp_year"
"1","2014/6/1",58,42,74,49,71,30,90,2001,1937
"2","2014/6/2",62,44,80,49,71,36,93,1933,1937
"3","2014/6/3",69,53,84,49,71,33,92,1946,1934
"4","2014/6/4",66,58,73,50,72,35,92,1947,1930
"5","2014/6/5",62,53,70,50,72,34,93,1964,1930
"6","2014/6/6",61,52,69,50,72,33,96,1964,1930
"8","2014/6/8",65,50,80,51,73,35,90,1932,1938
"9","2014/6/9",64,58,69,51,73,37,91,1949,1933
"10","2014/6/10",69,59,78,52,73,38,99,1946,1933
"11","2014/6/11",60,56,63,52,73,39,91,1932,1927
"12","2014/6/12",59,54,64,52,73,35,91,1966,1933
"13","2014/6/13",64,61,67,53,74,42,89,1950,1942
"14","2014/6/14",59,53,65,53,74,39,91,1970,1942
"15","2014/6/15",61,51,71,53,74,35,90,1933,1930
"16","2014/6/16",64,49,79,53,74,36,93,1961,1930
"20","2014/6/20",61,50,71,54,75,38,91,1926,1931
"21","2014/6/21",57,43,71,55,76,40,93,1926,1931
"22","2014/6/22",61,46,75,55,76,41,91,1936,1934
"23","2014/6/23",64,49,79,55,76,36,92,1931,1941
"24","2014/6/24",66,55,76,55,76,39,90,1932,1938
"26","2014/6/26",69,61,77,55,77,37,94,1965,1938
"27","2014/6/27",68,55,80,56,77,41,93,1927,1930
"28","2014/6/28",68,54,82,56,77,42,93,1970,1941
"29","2014/6/29",68,54,82,56,77,41,95,1970,1933
"30","2014/6/30",69,57,81,56,77,42,100,1956,1933
"31","2014/7/1",74,61,86,56,78,41,93,1936,1933
"33","2014/7/3",75,65,85,56,78,41,95,1962,1966
"34","2014/7/4",62,57,66,56,78,42,96,1962,1934
"36","2014/7/6",66,53,78,56,78,41,95,1962,2010
"37","2014/7/7",74,65,82,56,78,43,95,1965,1935
"38","2014/7/8",74,64,83,56,78,45,96,1969,1925
"39","2014/7/9",72,63,81,56,79,43,98,1963,1936
"40","2014/7/10",65,55,75,56,79,41,99,1963,1936
"41","2014/7/11",65,52,77,56,79,43,98,1945,1936
"42","2014/7/12",67,51,82,56,79,42,98,1945,1936
"43","2014/7/13",69,62,76,56,79,46,93,1970,1935
"45","2014/7/15",73,67,78,56,79,44,93,1950,1927
"46","2014/7/16",68,60,75,56,79,40,92,1966,1927
"47","2014/7/17",63,53,73,57,79,41,93,1954,1927
"48","2014/7/18",63,50,75,57,79,43,92,1956,1953
"49","2014/7/19",63,53,73,57,79,46,93,1956,1930
"50","2014/7/20",66,56,76,57,79,44,93,1965,1934
"51","2014/7/21",67,54,80,57,79,41,93,1966,2011
"52","2014/7/22",71,58,84,57,79,46,98,1965,1930
"53","2014/7/23",76,66,86,57,79,47,101,1934,1926
"54","2014/7/24",66,57,74,57,79,47,97,1925,1933
"55","2014/7/25",63,51,75,57,79,43,93,1953,1933
"56","2014/7/26",67,56,77,57,79,46,92,1953,1937
"57","2014/7/27",70,61,78,57,79,43,93,2001,1934
"58","2014/7/28",67,58,76,57,79,44,90,2001,1931
"59","2014/7/29",62,54,69,57,79,49,95,1953,1931
"60","2014/7/30",63,54,72,57,79,46,97,1925,1931
"61","2014/7/31",63,51,75,57,79,42,97,1964,1933
"63","2014/8/2",67,58,75,57,79,43,100,1947,1933
"64","2014/8/3",66,55,77,57,79,41,91,1927,1930
"65","2014/8/4",69,60,78,57,79,40,95,1964,1936
"66","2014/8/5",70,58,81,57,79,45,94,1951,1955
"68","2014/8/7",62,51,72,57,78,42,93,1957,1931
"69","2014/8/8",63,51,75,57,78,45,93,1950,1937
"70","2014/8/9",65,51,79,57,78,46,93,1948,2001
"74","2014/8/13",64,60,68,57,78,40,93,1957,2002
"75","2014/8/14",61,53,68,56,78,40,93,1961,1935
"76","2014/8/15",55,47,62,56,78,44,90,1961,1936
"77","2014/8/16",58,47,69,56,78,41,92,1927,1938
"78","2014/8/17",64,55,72,56,77,40,92,1927,1935
"80","2014/8/19",60,45,75,56,77,41,92,1953,1935
"81","2014/8/20",65,50,79,56,77,38,92,1964,1935
"82","2014/8/21",67,62,72,56,77,42,93,1927,1937
"83","2014/8/22",64,61,66,55,77,42,94,1925,1937
"84","2014/8/23",62,53,70,55,76,43,89,1925,1935
"85","2014/8/24",65,52,78,55,76,44,91,1957,1935
"86","2014/8/25",67,51,82,55,76,38,91,1927,1948
"87","2014/8/26",68,54,81,55,76,37,94,1927,1948
"88","2014/8/27",70,59,81,54,76,38,91,1927,1932
"89","2014/8/28",61,50,71,54,75,37,93,1925,1948
"90","2014/8/29",60,46,74,54,75,38,90,1965,1953
"91","2014/8/30",61,47,74,54,75,34,92,1965,1953
"92","2014/8/31",71,66,76,53,75,32,90,1965,2010
"93","2014/9/1",75,65,84,53,74,33,90,1925,1937
"94","2014/9/2",74,63,84,53,74,38,95,1967,1953
"95","2014/9/3",65,54,76,52,74,38,94,1958,1953
"96","2014/9/4",66,51,80,52,74,36,92,1946,1937
"98","2014/9/6",73,61,85,51,73,37,86,1962,1930
"99","2014/9/7",62,50,73,51,73,32,88,1962,1945
"100","2014/9/8",60,48,71,51,72,36,88,1955,1945
"101","2014/9/9",58,47,69,50,72,37,88,1938,2002
"103","2014/9/11",64,56,72,50,71,32,90,1967,1931
"105","2014/9/13",50,42,57,49,70,31,87,1943,1925
"106","2014/9/14",49,39,59,49,70,32,89,1946,1931
"107","2014/9/15",51,39,62,48,70,35,93,1946,1931
"108","2014/9/16",54,45,62,48,69,29,85,1964,1931
"109","2014/9/17",51,38,64,47,69,31,87,1935,1942
"110","2014/9/18",54,39,68,47,68,32,85,1959,1946
"111","2014/9/19",47,36,58,47,68,29,82,1943,1946
"112","2014/9/20",53,38,68,46,67,32,85,1959,1946
"113","2014/9/21",66,58,73,46,67,28,85,1962,1965
"114","2014/9/22",52,44,59,46,67,27,87,1962,1965
"115","2014/9/23",53,41,65,45,66,28,84,1963,1931
"116","2014/9/24",55,42,67,45,66,23,86,1963,1961
"117","2014/9/25",57,48,66,44,65,26,82,1963,1937
"119","2014/9/27",62,43,80,44,65,26,82,1947,1934
"121","2014/9/29",62,50,73,43,64,25,79,2000,1948
"122","2014/9/30",60,55,64,43,63,25,78,1951,1959
"123","2014/10/1",58,55,60,42,63,29,80,1925,1927
"124","2014/10/2",61,53,69,42,63,30,85,1960,1927
"125","2014/10/3",55,42,68,41,62,26,85,1945,1927
"126","2014/10/4",52,46,57,41,62,23,78,1945,1959
"127","2014/10/5",45,34,56,41,61,26,82,1965,2007
"128","2014/10/6",48,32,64,40,61,25,85,1958,1941
"129","2014/10/7",61,54,67,40,61,26,85,1964,1963
"130","2014/10/8",57,48,66,40,60,24,78,1935,1927
"131","2014/10/9",51,40,62,39,60,24,79,2000,1949
"132","2014/10/10",48,39,57,39,60,24,81,1943,1949
"133","2014/10/11",48,39,57,39,59,22,82,1943,1949
"134","2014/10/12",45,31,59,38,59,24,81,1956,1954
"135","2014/10/13",44,30,57,38,59,24,81,2012,1938
"136","2014/10/14",64,55,72,38,58,21,77,1953,1930
"137","2014/10/15",70,66,74,37,58,24,82,2002,1956
"138","2014/10/16",62,55,69,37,58,26,80,1935,1956
"139","2014/10/17",60,53,66,37,57,22,80,1937,1947
"140","2014/10/18",53,46,59,37,57,25,79,1931,1938
"141","2014/10/19",39,32,46,36,57,21,80,1948,1963
"142","2014/10/20",41,30,52,36,57,22,78,1930,1965
"143","2014/10/21",47,42,51,36,56,20,72,1952,1949
"144","2014/10/22",49,47,51,35,56,19,78,1948,2007
"145","2014/10/23",46,43,48,35,56,21,72,1969,1936
"147","2014/10/25",50,41,59,34,55,21,79,2003,1963
"148","2014/10/26",45,42,48,34,55,20,79,1933,1963
"149","2014/10/27",45,35,54,34,54,18,79,1936,1963
"150","2014/10/28",49,33,65,34,54,14,73,1936,1947
"151","2014/10/29",47,37,56,33,54,21,78,1933,1927
"152","2014/10/30",42,32,51,33,53,21,75,1965,1946
"153","2014/10/31",38,28,48,33,53,16,69,1925,1946
"154","2014/11/1",41,36,45,33,53,15,76,1925,1950
"155","2014/11/2",37,30,43,32,52,19,78,2002,1927
"156","2014/11/3",40,28,51,32,52,18,71,1965,1927
"157","2014/11/4",48,34,61,32,52,12,68,1951,1927
"158","2014/11/5",48,37,58,32,51,14,68,1951,1948
"159","2014/11/6",42,37,46,31,51,14,69,1951,1935
"161","2014/11/8",37,30,43,31,50,14,73,1960,1938
"162","2014/11/9",39,28,50,31,50,15,69,1952,1938
"163","2014/11/10",40,27,53,30,49,14,64,1956,1948
"164","2014/11/11",44,30,57,30,49,11,64,1956,2002
"165","2014/11/12",48,34,61,30,49,16,68,1933,1931
"166","2014/11/13",35,30,40,30,48,18,69,1933,1964
"167","2014/11/14",29,25,33,29,48,16,63,1942,1959
"168","2014/11/15",26,20,32,29,47,11,70,1933,1956
"169","2014/11/16",26,17,35,29,47,4,66,1933,2006
"170","2014/11/17",37,31,42,29,46,8,65,1933,1926
"171","2014/11/18",27,17,36,28,46,12,67,1959,1963
"172","2014/11/19",22,15,28,28,45,6,65,1936,1953
"173","2014/11/20",28,19,36,28,45,14,69,1966,1941
"174","2014/11/21",22,16,28,28,44,9,65,1933,1934
"175","2014/11/22",25,12,37,27,44,12,67,1969,1931
