,date,actual_mean_temp,actual_min_temp,actual_max_temp,average_min_temp,average_max_temp,record_min_temp,record_max_temp,record_min_temp_year,record_max_temp_year
1,6/1/14,56,39,73,48,67,39,86,2001,2006
2,6/2/14,62,46,78,48,67,42,87,1998,2007
3,6/3/14,64,50,78,49,67,44,82,2002,2008
4,6/4/14,60,51,68,49,68,42,84,1998,2005
5,6/5/14,56,51,60,49,68,41,89,2011,2005
6,6/6/14,61,51,71,50,69,41,77,1997,2003
7,6/7/14,68,55,80,50,69,41,93,2007,2011
8,6/8/14,68,55,82,51,69,42,89,2002,2008
9,6/9/14,65,57,73,51,70,39,93,1997,2008
10,6/10/14,68,59,78,51,70,48,95,2001,2008
11,6/11/14,62,55,69,52,70,44,104,2004,2013
12,6/12/14,60,55,66,52,70,41,87,2004,2005
13,6/13/14,64,60,69,53,71,48,89,2000,2005
14,6/14/14,62,57,66,53,71,48,87,2000,2005
16,6/16/14,73,71,75,54,72,44,84,1997,2004
17,6/17/14,73,64,82,54,73,48,87,2003,2000
18,6/18/14,73,64,82,59,78,45,94,1965,1929
19,6/19/14,68,57,80,55,74,46,87,2012,2006
20,6/20/14,60,48,73,56,75,46,91,2005,2012
22,6/22/14,60,48,73,57,76,48,91,2014,2012
23,6/23/14,62,48,77,57,76,48,86,2014,1999
24,6/24/14,66,51,80,57,77,48,87,2004,2010
25,6/25/14,72,62,82,58,77,53,91,2011,2003
26,6/26/14,71,59,82,58,77,51,91,2015,2003
27,6/27/14,64,51,77,58,77,48,91,2015,2007
28,6/28/14,66,51,82,62,81,49,96,1995,1991
29,6/29/14,68,53,82,58,78,51,89,2015,2008
30,6/30/14,71,60,82,62,81,48,98,1919,1945
31,7/1/14,75,66,84,63,82,48,97,1988,1964
32,7/2/14,78,69,87,59,77,50,91,2007,2002
33,7/3/14,78,68,87,58,77,46,93,2001,2002
34,7/4/14,66,60,71,63,82,51,99,1986,1949
35,7/5/14,67,57,77,58,77,51,93,2005,1999
37,7/7/14,74,66,82,58,77,51,91,2001,2010
38,7/8/14,78,69,87,58,77,50,87,2000,2002
39,7/9/14,76,69,82,58,77,53,86,2000,2002
40,7/10/14,70,62,78,58,77,53,89,2003,2007
41,7/11/14,70,60,80,58,77,51,89,2002,2005
42,7/12/14,70,55,84,58,77,46,87,2002,1997
43,7/13/14,71,62,80,58,77,51,87,2001,1997
44,7/14/14,74,69,80,58,77,48,89,1999,1997
45,7/15/14,74,71,78,58,77,53,89,1999,2013
46,7/16/14,70,66,73,58,77,55,91,2011,1999
47,7/17/14,69,59,78,58,77,51,93,2002,1999
49,7/19/14,65,55,75,65,83,55,100,1956,1977
50,7/20/14,67,57,75,58,76,51,89,1997,2008
51,7/21/14,66,55,78,58,76,50,89,2000,2011
52,7/22/14,73,60,86,58,76,51,96,1996,2011
53,7/23/14,77,68,86,58,76,53,91,2000,2002
54,7/24/14,68,62,75,58,76,48,87,1997,2001
55,7/25/14,66,53,78,65,83,53,96,1953,2001
56,7/26/14,70,59,80,58,76,51,91,1997,2005
58,7/28/14,72,64,80,59,77,46,87,2001,1999
59,7/29/14,64,53,75,59,77,51,89,2005,1999
60,7/30/14,64,53,75,59,77,50,89,1997,2002
61,7/31/14,68,57,78,59,77,50,87,2001,2002
64,8/3/14,66,60,71,59,77,57,93,2011,2006
65,8/4/14,70,60,80,59,77,57,89,2013,2002
66,8/5/14,72,60,84,59,77,51,93,2013,2005
67,8/6/14,73,62,82,59,77,48,87,2013,2001
68,8/7/14,66,53,78,60,77,50,91,2004,2001
69,8/8/14,66,53,80,60,77,51,91,1997,2001
70,8/9/14,68,55,82,60,77,53,96,2004,2001
71,8/10/14,70,57,84,60,77,46,89,1999,2001
73,8/12/14,68,59,77,60,77,51,89,2006,2002
74,8/13/14,68,64,71,60,77,46,95,2006,2005
75,8/14/14,62,53,71,64,82,47,98,1964,2002
76,8/15/14,61,51,71,60,76,51,87,2014,2002
77,8/16/14,63,53,73,60,76,53,91,2014,2002
78,8/17/14,68,59,77,59,76,53,91,2013,2002
79,8/18/14,65,53,75,59,76,53,91,2007,2002
80,8/19/14,62,46,77,59,76,44,91,2007,2002
81,8/20/14,66,51,80,63,81,47,97,1981,1937
82,8/21/14,64,51,77,58,75,50,86,2008,2005
83,8/22/14,66,60,71,58,75,53,87,2004,2003
84,8/23/14,61,51,71,58,75,51,84,2004,1996
85,8/24/14,64,50,77,58,74,46,86,2003,1998
86,8/25/14,70,55,84,57,74,48,89,2004,2007
87,8/26/14,68,55,82,57,74,46,84,2004,2011
88,8/27/14,72,60,84,57,73,48,84,2008,2014
89,8/28/14,68,59,77,57,73,50,84,2010,2007
90,8/29/14,62,51,73,56,73,48,89,2003,2010
91,8/30/14,60,48,73,56,73,48,86,2014,2007
92,8/31/14,71,62,80,56,73,51,89,1999,2010
93,9/1/14,76,69,84,56,73,48,89,1999,2010
94,9/2/14,78,69,87,56,73,44,89,2001,2010
95,9/3/14,70,60,80,56,73,50,84,2001,1996
96,9/4/14,68,53,82,56,73,46,82,1997,1999
97,9/5/14,72,60,84,55,72,42,84,1997,2014
98,9/6/14,78,69,84,55,72,42,84,2013,2014
99,9/7/14,64,53,75,55,72,42,87,2000,2007
100,9/8/14,62,51,73,55,72,51,89,2000,2007
101,9/9/14,61,53,69,55,72,39,89,2013,2002
102,9/10/14,65,57,73,58,76,41,94,1917,1983
103,9/11/14,68,60,75,54,71,46,89,2005,2013
104,9/12/14,61,51,71,54,71,41,87,2006,2005
105,9/13/14,57,48,66,53,71,42,86,2006,2005
106,9/14/14,56,46,66,53,70,46,84,2014,2005
107,9/15/14,55,44,66,53,70,42,80,2001,2011
108,9/16/14,55,44,66,53,70,39,77,2001,1998
109,9/17/14,56,42,69,55,74,37,90,1960,1941
110,9/18/14,58,42,73,55,74,39,89,1990,1906
111,9/19/14,49,39,59,52,68,39,78,2014,2005
112,9/20/14,52,35,68,51,68,35,80,2014,2000
113,9/21/14,67,59,75,51,67,42,78,1997,2002
116,9/24/14,60,53,68,49,66,37,78,1998,2006
117,9/25/14,55,50,60,52,71,36,89,1950,1920
118,9/26/14,62,50,73,48,65,42,87,1996,2007
119,9/27/14,66,50,82,48,64,39,82,2000,2014
120,9/28/14,68,53,82,47,64,41,82,1997,2014
121,9/29/14,66,57,75,46,63,33,78,2000,2010
122,9/30/14,57,55,59,46,63,35,77,2000,2010
123,10/1/14,56,55,57,49,69,34,87,1974,1927
124,10/2/14,52,48,57,44,62,33,82,1997,2002
125,10/3/14,50,44,57,44,62,30,75,2003,2000
126,10/4/14,58,51,64,43,61,30,82,1996,2007
127,10/5/14,49,37,59,43,61,32,82,1996,2007
128,10/6/14,50,35,64,43,61,32,84,1996,2007
129,10/7/14,61,51,71,43,61,30,78,1999,2005
130,10/8/14,63,55,71,43,60,28,77,1999,2011
131,10/9/14,52,39,64,43,60,28,82,2001,2011
132,10/10/14,51,42,60,42,60,33,80,2000,2011
133,10/11/14,42,35,50,42,59,35,73,1996,2001
134,10/12/14,48,35,60,42,59,28,75,1996,2001
135,10/13/14,50,37,62,41,59,30,71,2012,2000
136,10/14/14,66,59,73,41,58,30,78,2006,2000
137,10/15/14,70,62,77,40,58,28,77,1999,2014
138,10/16/14,64,59,69,40,57,30,71,2006,1996
139,10/17/14,62,55,69,43,63,30,88,1978,1947
140,10/18/14,60,51,69,39,57,35,75,1997,2007
141,10/19/14,45,37,53,43,62,24,81,1974,1945
142,10/20/14,42,28,55,39,56,26,73,2003,2012
143,10/21/14,50,39,62,38,56,33,73,2002,2000
144,10/22/14,50,48,53,38,55,28,78,2002,2007
146,10/24/14,50,46,53,38,55,26,75,1997,2001
147,10/25/14,52,39,64,41,60,27,75,2003,1963
148,10/26/14,48,39,57,37,55,26,75,2013,2010
149,10/27/14,52,41,62,37,54,30,69,2006,2007
150,10/28/14,53,37,69,40,59,24,80,1976,1919
151,10/29/14,62,50,73,37,54,26,73,2001,2014
152,10/30/14,46,35,57,40,59,24,79,1980,1946
153,10/31/14,44,35,53,36,53,26,71,2008,1999
154,11/1/14,42,37,46,39,58,26,78,1925,1974
155,11/2/14,37,33,41,36,52,24,71,2002,2001
156,11/3/14,40,30,51,35,52,24,75,2002,2003
157,11/4/14,48,35,62,35,51,23,66,2013,2005
159,11/6/14,46,44,48,34,50,24,60,2012,1999
160,11/7/14,42,37,48,33,50,26,64,2002,2004
162,11/9/14,44,33,55,32,48,21,66,2003,2011
163,11/10/14,44,30,59,32,48,19,71,2003,1999
164,11/11/14,48,35,60,32,48,24,64,2003,2002
166,11/13/14,42,33,50,31,47,19,62,2001,2005
167,11/14/14,34,28,41,36,54,16,75,1905,1993
168,11/15/14,30,24,37,36,54,18,78,1905,1993
169,11/16/14,29,19,39,31,47,17,69,1996,2001
170,11/17/14,45,35,55,31,47,19,64,1967,2006
171,11/18/14,35,23,46,31,46,23,64,2014,2013
172,11/19/14,27,19,35,31,46,19,62,2005,2004
173,11/20/14,35,24,46,31,46,19,66,2008,1999
174,11/21/14,28,21,35,31,46,15,60,2008,1999
175,11/22/14,30,17,42,31,46,17,64,2008,2007
176,11/23/14,48,39,57,31,45,19,66,2005,1999
177,11/24/14,52,42,62,31,45,14,66,2000,1999
179,11/26/14,38,32,44,30,45,17,64,2005,2001
180,11/27/14,32,28,35,30,44,19,62,1996,2006
181,11/28/14,29,21,35,29,44,12,60,2002,2001
182,11/29/14,25,17,33,29,44,17,59,2014,2005
183,11/30/14,44,32,55,28,43,12,66,2013,2006
184,12/1/14,52,39,64,28,43,17,69,2007,2001
185,12/2/14,36,32,39,28,42,15,62,2007,1998
187,12/4/14,34,26,42,30,46,2,71,1940,1998
188,12/5/14,31,21,41,27,41,15,66,2003,2001
189,12/6/14,40,35,44,26,41,15,71,2006,2001
190,12/7/14,28,19,37,26,40,12,75,2002,1998
191,12/8/14,22,19,24,26,40,12,53,2008,2004
192,12/9/14,35,24,46,29,44,5,66,1934,1991
193,12/10/14,37,35,39,26,40,8,60,2000,2012
194,12/11/14,32,28,35,26,40,17,55,2013,2012
195,12/12/14,30,24,37,26,40,10,60,2013,2008
196,12/13/14,34,28,39,25,40,10,51,2005,2006
197,12/14/14,36,28,44,25,40,6,55,2005,2006
198,12/15/14,35,26,42,25,39,6,60,2005,2008
199,12/16/14,32,26,39,25,39,12,57,2004,2008
200,12/17/14,42,37,48,24,39,5,62,2013,2000
201,12/18/14,37,33,41,24,38,8,57,2007,1996
202,12/19/14,30,24,35,25,41,-4,57,1942,1990
203,12/20/14,28,23,33,23,37,6,60,2004,2002
204,12/21/14,31,30,32,23,37,1,57,2004,1999
205,12/22/14,36,30,41,22,37,12,62,1997,2013
206,12/23/14,40,37,44,22,36,10,57,2008,2004
207,12/24/14,50,39,62,22,36,12,62,2000,2014
208,12/25/14,50,41,60,22,36,8,60,1999,2014
209,12/26/14,38,30,46,22,36,5,53,2000,2005
210,12/27/14,40,30,51,22,35,12,55,2004,2011
211,12/28/14,42,35,50,22,35,6,59,2004,2008
212,12/29/14,34,26,41,22,35,12,55,2000,2003
213,12/30/14,24,17,30,22,35,12,53,1998,2003
214,12/31/14,20,12,28,21,35,6,53,1998,2010
215,1/1/15,22,14,30,22,35,0,60,1997,2011
216,1/2/15,32,26,39,22,35,0,55,1999,2000
217,1/3/15,26,21,32,22,35,3,62,2008,1998
218,1/4/15,42,32,53,22,35,1,60,2008,2000
219,1/5/15,30,14,46,21,34,14,60,2001,2007
221,1/7/15,13,1,23,21,34,1,59,2015,2012
222,1/8/15,8,-2,17,20,34,-2,66,2015,2008
223,1/9/15,20,12,28,20,33,1,59,2004,2008
224,1/10/15,14,8,21,19,32,-5,53,2004,2000
225,1/11/15,20,8,33,18,32,8,55,2015,2008
227,1/13/15,22,10,33,17,31,10,53,2015,2005
231,1/17/15,20,17,24,16,29,0,48,2000,1999
232,1/18/15,36,21,50,16,29,-2,57,2003,2006
233,1/19/15,36,30,41,16,29,-2,46,1997,1999
234,1/20/15,30,24,37,16,29,6,57,2000,2006
235,1/21/15,25,17,33,16,29,0,59,2005,2006
236,1/22/15,32,26,37,16,30,-7,48,2005,1997
237,1/23/15,27,17,37,21,37,-13,64,1976,1906
238,1/24/15,30,28,33,16,30,-5,60,2011,1999
239,1/25/15,26,17,35,21,37,-3,60,1945,1990
240,1/26/15,19,12,26,17,31,0,50,2007,2002
241,1/27/15,16,12,19,17,32,3,57,2007,2002
242,1/28/15,16,10,23,21,38,-5,63,1935,1947
243,1/29/15,19,6,32,18,33,5,69,2005,2002
245,1/31/15,14,10,19,19,33,5,60,1999,2013
246,2/1/15,18,6,30,20,34,6,59,2015,2012
247,2/2/15,14,10,19,20,34,10,53,2015,2014
248,2/3/15,12,3,21,20,34,3,53,2015,2006
249,2/4/15,22,6,37,20,34,6,50,2015,2006
250,2/5/15,20,6,35,20,35,3,53,2009,2006
251,2/6/15,8,-2,19,20,35,-2,48,2015,2012
252,2/7/15,20,15,26,20,35,8,53,2007,2005
253,2/8/15,20,12,28,20,35,8,51,2000,2009
254,2/9/15,16,14,17,20,35,10,50,2011,2005
255,2/10/15,22,14,30,20,35,8,50,2007,2001
256,2/11/15,14,5,23,20,35,3,60,2011,2009
257,2/12/15,16,3,30,20,35,1,57,2014,1999
258,2/13/15,10,1,19,20,35,1,53,2003,2008
259,2/14/15,10,-5,26,20,36,-5,55,2015,2000
260,2/15/15,8,-2,19,24,40,-14,64,1943,1939
261,2/16/15,5,-5,15,21,36,-5,60,2015,2006
262,2/17/15,14,8,21,21,36,6,57,2014,2011
263,2/18/15,19,10,28,21,36,6,60,2014,2008
264,2/19/15,15,6,24,21,36,5,62,2006,1997
265,2/20/15,9,1,17,21,37,1,53,2015,2001
266,2/21/15,14,-5,33,21,37,-5,57,2015,1997
267,2/22/15,32,26,39,22,37,6,62,2001,1997
268,2/23/15,14,1,28,22,38,1,53,2015,2012
269,2/24/15,4,-9,17,22,38,-9,42,2015,1997
270,2/25/15,16,0,33,23,38,0,51,2015,2002
271,2/26/15,16,10,21,23,38,3,60,2003,2002
272,2/27/15,16,5,26,23,39,5,60,2015,2009
273,2/28/15,18,5,30,23,39,5,53,2015,1998
274,3/1/15,17,6,28,23,39,5,59,2014,2004
275,3/2/15,27,21,33,23,39,17,62,2009,2004
