Category,Courtney,Delauro,Esty,Himes,Larson
payroll,62583,136121,71629,52906,80188
fundraising,59226,,52168,6660,149997
consulting,,1000,35000,96780,
accounting/legal,10877,16079,34000,23290,10136
miscellaneous,56298,55690,28624,89963,105144
phone/computer,6433,18500,19664,10200,20743
catering,,29500,19149,28106,41318
printing,27996,10319,13160,5676,29944
travel,11730,5356,8768,2524,43430
postage,5167,6422,6512,1388,10178
restaurant/food/drink,19709,,2612,763,43441
supplies,10073,2245,1436,117,5090
contr. to other cand.,6100,19000,1000,5500,63093
dues,11000,180000,,110250,155000
rent,1147,7836,,,
flowers/gifts,,6290,,,28878
event tickets,,4125,,7825,18020
advertising,750,1750,,2900,2400
storage space rental,,474,,,
car purchase,25377,,,,27125
charitable donations,500,,,,
entertainment,,,,,350
