Category,Cat
"accounting, legal",accounting/legal
accounting. Legal,accounting/legal
accounting/legal,accounting/legal
advertising,advertising
car purchase,car purchase
catering,catering
charitable donations,charitable donations
consultant,consulting
consulting,consulting
contribution to other candidates ,contr. to other cand.
dccc dues,DCCC dues 
DCCC dues ,DCCC dues 
DCCC fees,DCCC dues 
donations to other candiates,contr. to other cand.
donations to other candidates,contr. to other cand.
entertainment,entertainment
event tickets,event tickets
flowers,flowers/gifts
fundraising,fundraising
gifts,flowers/gifts
mileage,travel
payroll,payroll
"phone, computer",phone/computer
"phone, computer services",phone/computer
phone/computer,phone/computer
phones/computer,phone/computer
postage,postage
printing,printing
printing ,printing
rent,rent
restaurant/food/drink,restaurant/food/drink
storage space rental,storage space rental
supplies,supplies
travel,travel
uncategorized,uncategorized
