Category,Purpose
DCCC dues ,UNLIMITED TRANSFER TO A PARTY COMMITTEE
payroll,PAYROLL
payroll,PAYROLL TAXES
uncategorized,CREDIT CARD PAYMENT
catering,CATERING
DCCC dues ,UNLIMITED TRANSFER
donations to other candidates,CONTRIBUTION
accounting/legal,ACCOUNTING SERVICES
printing,PRINTING
rent,OFFICE RENT
phone/computer,SOFTWARE LICENSE FEE
postage,POSTAGE
phone/computer,CAMPAIGN SOFTWARE
flowers,FLOWERS
travel,TRAVEL
event tickets,EVENT TICKETS
uncategorized,MERCHANT FEES
supplies,OFFICE SUPPLIES
uncategorized,SHIPPING
uncategorized,PETTY CASH REPLENISHMENT
uncategorized,INSURANCE
uncategorized,EVENT SUPPLIES
phone/computer,INTERNET SERVICES
uncategorized,EVENT ARTWORK
uncategorized,BANK SERVICE CHARGE
consulting,SOCIAL MEDIA CONSULTING
catering,EVENT CATERING AND SUPPLIES
uncategorized,MILEAGE REIMBURSEMENT
event tickets,EVENT TICKET
advertising,PRINT ADVERTISMENT
phone/computer,PHONE BILL
catering,EVENT CATERING
phone/computer,REIMBURSEMENT FOR CELL PHONE
phone/computer,TELEPHONE SERVICES
uncategorized,STORAGE
advertising,PRINT ADVERTISEMENT
phone/computer,SOFTWARE
gifts,THANK YOU GIFTS
storage space rental,STORAGE SPACE RENTAL
uncategorized,INTERPRETING SERVICE
phone/computer,WEBSITE HOSTING
phone/computer,MEDIA PRODUCTION
phone/computer,WEBSITE MAINTENANCE
catering,EVENT SPACE AND CATERING
phone/computer,EVENT BEVERAGES
advertising,PRINT ADVERTISEMENT & MEMBERSHIP
uncategorized,CREDIT CARD PROCESSING FEE
mileage,MILEAGE
gifts,GIFTS FOR SUPPORTERS
uncategorized,EVENT SPONSORSHIP
supplies,MEETING SUPPLIES
uncategorized,PAYROLL PROCESSING FEE
uncategorized,REIMBURSEMENT
postage,STAMPS
uncategorized,PARTIAL REFUND OF 12/15/14 CHARGE
