"","Purpose","Total"
"1","UNLIMITED TRANSFER TO A PARTY COMMITTEE",155000
"2","PAYROLL",90874
"3","PAYROLL TAXES",45247
"4","CREDIT CARD PAYMENT",40831
"5","CATERING",27320
"6","UNLIMITED TRANSFER",25000
"7","CONTRIBUTION",19000
"8","ACCOUNTING SERVICES",16079
"9","PRINTING",10319
"10","OFFICE RENT",7836
"11","SOFTWARE LICENSE FEE",6450
"12","POSTAGE",6412
"13","CAMPAIGN SOFTWARE",6000
"14","FLOWERS",5640
"15","TRAVEL",5176
"16","EVENT TICKETS",3225
"17","MERCHANT FEES",2906
"18","OFFICE SUPPLIES",2207
"19","SHIPPING",2166
"20","PETTY CASH REPLENISHMENT",1867
"21","INSURANCE",1768
"22","EVENT SUPPLIES",1678
"23","INTERNET SERVICES",1549
"24","EVENT ARTWORK",1200
"25","BANK SERVICE CHARGE",1143
"26","SOCIAL MEDIA CONSULTING",1000
"27","EVENT CATERING AND SUPPLIES",980
"28","MILEAGE REIMBURSEMENT",958
"29","EVENT TICKET",900
"30","PRINT ADVERTISMENT",900
"31","PHONE BILL",894
"32","EVENT CATERING",859
"33","REIMBURSEMENT FOR CELL PHONE",835
"34","TELEPHONE SERVICES",788
"35","STORAGE",675
"36","PRINT ADVERTISEMENT",600
"37","SOFTWARE",524
"38","THANK YOU GIFTS",512
"39","STORAGE SPACE RENTAL",474
"40","INTERPRETING SERVICE",413
"41","WEBSITE HOSTING",382
"42","MEDIA PRODUCTION",375
"43","WEBSITE MAINTENANCE",375
"44","EVENT SPACE AND CATERING",341
"45","EVENT BEVERAGES",328
"46","PRINT ADVERTISEMENT & MEMBERSHIP",250
"47","CREDIT CARD PROCESSING FEE",192
"48","MILEAGE",180
"49","GIFTS FOR SUPPORTERS",138
"50","EVENT SPONSORSHIP",125
"51","MEETING SUPPLIES",38
"52","PAYROLL PROCESSING FEE",24
"53","REIMBURSEMENT",17
"54","STAMPS",10
"55","PARTIAL REFUND OF 12/15/14 CHARGE",-273
