Category,Purpose
fundraising,FUNDRAISING CONSULTING
payroll,SALARY
payroll,PAYROLL TAXES
"accounting, legal",FINANCIAL COMPLIANCE
consulting,MEDIA CONSULTING
catering,CATERING
uncategorized,CREDIT CARD PROCESSING FEES
printing,PRINTING
consulting,CAMPAIGN MANAGEMENT FEE
"accounting, legal",LEGAL SERVICES
"phone, computer",DATABASE SOFTWARE
travel,TRAVEL EXPENSES
postage,POSTAGE
uncategorized,UNLIMITED TRANSFER
"phone, computer",WEBSITE SERVICES
"phone, computer",INTERNET TECHNOLOGY
uncategorized,VOTER RECORDS
"phone, computer",TELEPHONE SERVICE
restaurant/food/drink,FOOD AND BEVERAGE
uncategorized,EVENT SPONSORSHIP
uncategorized,STORAGE UNIT
travel,TRAVEL EXPENSES - MILEAGE
supplies,OFFICE SUPPLIES
payroll,HEALTH INSURANCE
payroll,PAYROLL
donations to other candiates,CONTRIBUTION
payroll,PAYROLL PROCESSING
fundraising,FUNDRAISING EVENT EXPENSES
uncategorized,CAMPAIGN EVENT EXPENSES
restaurant/food/drink,FOOD AND BEVERAGE AND DUES
fundraising,FACILITY USAGE AND CATERING
fundraising,FUNDRAISING EVENT SUPPLIES
"phone, computer",TELEPHONE
uncategorized,POST OFFICE BOX RENTAL FEE
uncategorized,SHIPPING
uncategorized,WEB SERVICES
uncategorized,MEMBERSHIP FEES
uncategorized,MEMBERSHIP DUES
