Category,Purpose
DCCC fees,TRANSFER OF FUNDS
uncategorized,CREDIT CARD PAYMENT (SEE BELOW)
fundraising,FUND RAISING
donations to other candidates,CONTRIBUTION
payroll,SALARY
catering,CATERING
fundraising,FUND RAISING FEES AND EXPENSES
car purchase,PURCHASE OF VEHICLE
payroll,TAXES
fundraising,FUND RAISING FEE AND EXPENSES
restaurant/food/drink,POLITICAL MEALS
fundraising,FUND RAISING AND EXPENSES
travel,TRAVEL
printing ,PRINTING AND POSTAGE
event tickets,EVENT TICKETS
travel,TRAVEL - OFFICIALLY CONNECTED
gifts,CALENDARS
printing ,PRINTING
travel,OFFICIALLY CONNECTED - TRAVEL
uncategorized,CREDIT CARD PAYMENT - SEE BELOW
accounting/legal,COMPLIANCE ADVICE
restaurant/food/drink,FOOD AND BEVERAGE
postage,OVERNIGHT COURIER
restaurant/food/drink,RENT
uncategorized,INSURANCE
phone/computer,WEB SERVICES
phone/computer,CELL PHONE SERVICE
fundraising,FUNDRAISING
gifts,MEMENTOS
event tickets,FACILITY FEE AND EVENT TICKETS
gifts,HOLIDAY CARDS
uncategorized,INSURANCE PREMIUM
phone/computer,WEB DESIGN SERVICES
gifts,DEPOSIT - MEMENTOS
phone/computer,INTERNET
flowers,FLOWERS
uncategorized,SERVICE CHARGE
uncategorized,CREDIT CARD PAYMENT (SEE BELOW) - OFFICIALLY CONNECTED
supplies,WATER
supplies,BOOKS
uncategorized,GASOLINE
uncategorized,EQUIPMENT
advertising,ADVERTISEMENT
restaurant/food/drink,BEVERAGES
restaurant/food/drink,IN-KIND - FOOD AND BEVERAGE
supplies,SUPPLIES
uncategorized,SERVICE FEE
restaurant/food/drink,REIMBURSEMENT - FOOD AND BEVERAGE
travel,TRAVEL - IN-KIND CONTRIBUTION
catering,DEPOSIT - CATERING
printing ,REIMBURSEMENT - PRINTING AND POSTAGE
restaurant/food/drink,"FOOD, BEVERAGE AND GREEN FEES"
phone/computer,INTERNET SERVICE
postage,POSTAGE
donations to other candidates,TRAVEL - IN-KIND CONTRIBUTION TO CROWLEY FOR CONGRESS
uncategorized,STORAGE
restaurant/food/drink,OFFICIALLY CONNECTED - FOOD AND BEVERAGE
advertising,ADVERTISING
phone/computer,CELL PHONE
uncategorized,REIMBURSEMENT - EQUIPMENT
postage,SHIPPING
phone/computer,LAPTOP
entertainment,ENTERTAINMENT
gifts,GIFT CERTIFICATES
payroll,PAYROLL SERVICE
fundraising,IN-KIND - STAFF TIME FOR EVENT
phone/computer,SOFTWARE
donations to other candidates,TRAVEL - IN-KIND CONTRIBUTION TO DOYLE FOR CONGRESS COMMITTEE
uncategorized,REIMBURSEMENT - VARIOUS
gifts,MEMORABILIA
gifts,GIFTS
fundraising,DEPOSIT FOR EVENT
travel,OFFICIALLYY CONNECTED - TRAVEL
uncategorized,BLANK
gifts,GIFT CARD
restaurant/food/drink,POLITICALA MEALS
restaurant/food/drink,REIMBURSEMENT - POLITICAL MEALS
uncategorized,SUBSCRIPTION
phone/computer,WEB SERVICE
gifts,GIFT
restaurant/food/drink,FOOD
uncategorized,CLEANING SERVICE
uncategorized,AUTOMOBILE SERVICE
uncategorized,BUILDING FUND
travel,TRAVEL - OFFICALLY CONNECTED
restaurant/food/drink,FOOD AND BEVERAG
restaurant/food/drink,POLITICAL EMALS
supplies,REIMBURSEMENT - SUPPLIES
restaurant/food/drink,FOOD AND BEVEERAGE
uncategorized,BOOK
uncategorized,REIMBURSEMENT - PARKING
