"","x"
"1","Seattle"
"2","Seattle"
"3","Seattle"
"4","Seattle"
"5","Seattle"
"6","Seattle"
"7","Seattle"
"8","Seattle"
"9","Seattle"
"10","Seattle"
"11","Seattle"
"12","Seattle"
"13","Seattle"
"14","Seattle"
"15","Seattle"
"16","Newark"
"17","Newark"
"18","Newark"
"19","Newark"
"20","Newark"
"21","Newark"
"22","Newark"
"23","Newark"
"24","Newark"
"25","Newark"
"26","Newark"
"27","Newark"
"28","Newark"
"29","Newark"
"30","Newark"
"31","Newark"
"32","Newark"
"33","Newark"
"34","Newark"
"35","Newark"
"36","Newark"
"37","Newark"
"38","Newark"
"39","Newark"
"40","Newark"
"41","Newark"
"42","Newark"
"43","Newark"
"44","Vienna"
"45","Centreville"
"46","Newark"
"47","Newark"
"48","Newark"
"49","Newark"
"50","Newark"
"51","Newark"
"52","Newark"
"53","Newark"
"54","Newark"
"55","Newark"
"56","Newark"
"57","Newark"
"58","Newark"
"59","Bradenton"
"60","Atlanta"
"61","Atlanta"
"62","Atlanta"
"63","Atlanta"
"64","Atlanta"
"65","Atlanta"
"66","San Francisco"
"67","Des Moines"
"68","Des Moines"
"69","Des Moines"
"70","Des Moines"
"71","Des Moines"
"72","Des Moines"
"73","Des Moines"
"74","Des Moines"
"75","Des Moines"
"76","Des Moines"
"77","Des Moines"
"78","Centreville"
"79","Centreville"
"80","Dallas"
"81","Philadelphia"
"82","Long Island City"
"83","Long Island City"
"84","Long Island City"
"85","Long Island City"
"86","New York"
"87","New York"
"88","Hagerstown"
"89","Hagerstown"
"90","Hagerstown"
"91","Hagerstown"
"92","Hagerstown"
"93","Hagerstown"
"94","Hagerstown"
"95","Hagerstown"
"96","Hagerstown"
"97","Hagerstown"
"98","Hagerstown"
"99","Hagerstown"
"100","Hagerstown"
"101","Hagerstown"
"102","Hagerstown"
"103","Hagerstown"
"104","Hagerstown"
"105","Hagerstown"
"106","Hagerstown"
"107","Hagerstown"
"108","Hagerstown"
"109","Hagerstown"
"110","Hagerstown"
"111","Hagerstown"
"112","Hagerstown"
"113","Hagerstown"
"114","Hagerstown"
"115","Hagerstown"
"116","Hagerstown"
"117","Hagerstown"
"118","Hagerstown"
