State,Courtney,Delaruo,Esty,Himes,Larson,,,,,,,
AZ,2795,2021,984,,2000,,,Courtney,Delaruo,Esty,Himes,Larson
CA,2353,4548,1054,372,7709,,Outside CT,"$186,280","$342,699","$237,074","$390,426","$497,786"
,,,,,,,Inside CT,"$127,686","$155,008","$56,648","$52,422","$330,689"
DC,84310,214791,102827,262513,295108,,,,,,,
DE,,8874,,,,,,59.33%,68.86%,80.71%,88.16%,60.08%
FL,702,1000,,442,2297,,,,,,,
GA,,,10810,,150,,,,,,,
IA,,,,,1832,,,,,,,
IL,225,5721,,650,5003,,,,,,,
KY,,,,,1940,,,,,,,
MA,25069,2839,10626,742,1000,,,,,,,
MD,,4859,53703,12767,14460,,,,,,,
ME,,1000,5511,,2000,,,,,,,
MI,,-273,,,,,,,,,,
NC,47618,31022,,,10072,,,,,,,
NJ,6433,775,1158,1244,61901,,,,,,,
NY,2110,7696,20864,35294,10834,,,,,,,
OH,,,,71718,2000,,,,,,,
OK,2059,,,,,,,,,,,
OR,,512,,,,,,,,,,
PA,1150,4716,1150,1150,52169,,,,,,,
RI,26,,,,848,,,,,,,
TN,,,35,,,,,,,,,
TX,1744,,2855,,5938,,,,,,,
UT,,,192,,,,,,,,,
VA,5508,52598,25305,3534,5811,,,,,,,
WA,4178,,,,14714,,,,,,,
,186280,342699,237074,390426,497786,,,,,,,
,127686,155008,56648,52422,330689,,,,,,,
