Town,Courtney,Delaruo,Esty,Himes,Larson
Manchester,,,,,86736
Hartford,12105,14470,7761,16725,63826
Clinton,,,,,34986
East Hartford,,,,,33969
West Hartford,15522,,,,32335
Windsor Locks,,,,,23660
Plainville,,,,,10131
Middletown,,,,,6876
Montville,12474,,,,6680
Wallingford,,1289,,,5928
Glastonbury,1492,450,,,4154
New Britain,250,,11988,,3753
South Windsor,,,,,3622
Rocky Hill,,,,,2770
Cheshire,,,21106,,2000
Wethersfield,,,846,,1982
Mansfield,,,,5423,1925
Berlin,,,,,1739
Bloomfield,,,,,1000
Simsbury,,,,,1000
New Haven,,74445,1361,,767
Bristol,,,,,500
Avon,,,,,350
Haddam,,,,18794,
Bridgeport,,,,4103,
Stamford,,,,2149,
Ansonia,,,,1500,
Greenwich,,,2848,1387,
Norwalk,,,789,1375,
Westport,,,,661,
Fairfield,,,,305,
Litchfield,,,2840,,
Meriden,,,2808,,
Branford,,7028,1518,,
Washington,,,1498,,
Farmington,,,673,,
Goshen,,,418,,
Woodbury,,,131,,
Waterbury,,250,63,,
Shelton,,46255,,,
Hamden,,4700,,,
North Haven,4656,2202,,,
Trumbull,,1819,,,
Guilford,391,1634,,,
Milford,,341,,,
East Haven,,125,,,
Vernon,44481,,,,
New London,25377,,,,
Waterford,7500,,,,
Ledyard,1962,,,,
Sprague,610,,,,
Colchester,556,,,,
Tolland,310,,,,
