Month,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Jan,67900,54900,48500,50600,47800,51900,49100,54300,57600,60700,64000,65000,65300,62000,63300,66800,66700,68400,69400,59100,49500,50900,52500,53100,53900,55800
Feb,67500,53500,48000,50500,47600,51500,50400,54800,57900,60600,63400,65100,65400,61000,63200,66400,67500,67600,69100,58000,48900,51100,52700,53400,54100,55500
Mar,66600,52800,47900,49400,47600,51500,51100,54800,58100,60500,65300,65000,65400,60900,64300,66200,67400,67800,68900,57100,49000,51400,52600,53500,54400,54700
Apr,64600,52600,46400,45800,48600,50900,51600,55500,58000,59800,64200,65500,64600,60400,65200,66000,67200,68300,67800,54500,50000,51000,51400,53600,55500,56000
May,63900,52200,46800,46700,48900,50300,52300,55900,57900,59800,64200,65800,64000,61200,65800,66000,66900,68700,66500,54500,49900,51100,50600,53600,55700,58300
Jun,62600,51700,47200,46600,48600,50300,53000,56400,58300,60000,64400,65900,63700,61300,65900,66200,67000,69000,65800,54300,49900,51300,50600,53800,55900,60500
Jul,61700,51000,48200,47000,49100,49900,53400,55900,58400,60400,64400,66100,63000,62000,65800,66200,67200,69000,64900,53600,50100,51500,50800,53900,56300,58600
Aug,60500,50500,47700,47300,49600,49800,53600,56000,58900,60600,64500,66000,62600,62300,66300,65900,67200,68900,64300,53100,50200,51700,50900,53900,56400,58800
Sep,60500,50300,47600,47700,49800,49900,53300,56300,58900,60500,64900,65600,62300,62400,66800,65800,67100,68700,63700,53200,50200,51800,51100,54100,56400,57300
Oct,58200,49700,48000,47300,50800,49900,54100,56500,59000,61900,65000,65200,62000,62900,67100,65300,67300,69200,62800,52500,50400,51800,51900,53900,56200,57100
Nov,57100,49100,48100,47700,51000,50300,54200,56600,59300,62500,65200,64800,61900,63700,67100,65600,67000,69300,61300,52300,50600,52400,51800,54200,55700,57500
Dec,56100,48600,48200,48700,51700,50100,54200,57100,59700,63100,65600,64900,61200,63200,67100,65200,67600,68800,60300,52100,51000,52300,52400,53800,54900,
