Month,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Jan,193900,204800,207400,212100,218500,225000,225600,233300,235900,240200,244900,250000,256900,263300,266500,270800,276500,284000,292700,300700,303500,312900,315800,319700,322300,331500
Feb,193400,205500,204300,212200,217500,225900,226500,234300,236600,240300,244300,250500,257300,262700,266600,271600,276500,284900,293900,302500,303400,311600,316800,320600,321100,329600
Mar,194100,206800,204400,212800,218700,226800,226200,234600,235100,241600,245200,250700,257800,262300,266700,271800,277100,285100,295000,301400,304200,312400,317000,318800,322400,329600
Apr,195400,205800,204600,214900,220500,223900,227900,234500,235700,240500,245200,250300,258600,263000,268000,273000,277800,286100,295100,299800,305900,313000,315900,321300,323300,330100
May,196100,206000,205000,216100,220800,224400,229200,234200,237100,241700,245300,247900,258800,263500,269200,272800,278500,286700,295700,300800,306100,313500,317000,321200,324000,330100
Jun,197200,205900,206100,215300,221000,224600,230200,234000,238600,242200,246100,251800,259100,263700,269100,272900,279000,288800,296700,301300,306500,313500,317600,321700,324400,329000
Jul,198600,205300,209800,214900,220900,225100,230800,233600,238600,244100,246900,252600,259600,264100,268500,273000,280200,288200,296700,302500,307000,314000,317500,321400,325400,330400
Aug,199200,205200,210000,215900,221300,225300,232900,234000,238900,245000,246000,253300,260100,263900,268900,273700,281500,288600,297200,303500,307500,313800,317500,322000,325900,333500
Sep,199800,204700,210700,216400,221500,225800,233200,234300,238900,244500,245700,255600,260500,263500,269700,274400,281800,289300,298000,303100,307900,313800,318200,322100,326200,332000
Oct,200400,205100,210200,218500,223000,226600,231800,234900,239100,242500,244300,255400,261800,265200,270800,275100,281600,289700,298900,303400,309500,312800,318700,322000,327100,332700
Nov,201400,204900,210900,218500,223300,226900,232800,235300,239600,243200,244200,256100,262500,265800,270700,275400,281900,290300,300400,303300,309900,313400,318700,323400,327600,333200
Dec,201700,205000,211400,219100,224300,226900,233000,236100,239500,243700,245200,256900,262800,266200,270900,275900,283300,291300,300700,304200,310600,314800,320900,321400,328700,
